시도,시군구,레벨01,항목,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년
경기,연천군,묘지,면적,1678347,1682221,1696622,1715400,1720909,1730239,1735916.3,1749881.3,1758769.3,1765951.3
경기,가평군,계,면적,843621640.7,843663883.7,843708790.3,843724879.5,843271028.3,843690574.7,843664736.1,843581888.6,843580706.5,842821965.6
경기,가평군,전,면적,43598992,43525999,43324458.1,43093023.7,42867629,42840418,42739432.8,42575363.3,42339466.2,41855209.7
경기,가평군,답,면적,26865608,26630939,26353642.5,25974017.5,25741267.9,25529274.4,25356949.4,25128850.2,24884088.9,24434911.3
경기,가평군,묘지,면적,759305,760572,761661,761699,760137,767357,772614,774722,781272.6,784492.6
경기,양평군,계,면적,877777975,877690919,877691672,877693097.4,877727400.4,877651359.5,877693229.3,877789696.5,877779462.6,877819526.3
경기,양평군,전,면적,57839739.5,56815281.8,56460682,56308993.2,56277596.1,56037622.9,55997297.2,55794517.2,55505852.7,55264582.8
경기,양평군,답,면적,69955894.4,68319533.8,67428772.4,66968572.9,66549454.8,65980258.8,65477637.6,64978824.3,64539181.9,63974508.8
경기,양평군,묘지,면적,1957936,1957030,1952172,1971587,1972358,1970304,1986432,1984909,1985577,1978902
강원,춘천시,계,면적,1116382140,1116364203,1116409986,1116403403,1116358004,1116373900,1116401657,1116417910,1116409316,1116415790
강원,춘천시,전,면적,67652259.4,66889915.4,66568626.9,66324104,66218755,66171409.6,66056467.2,65827818.7,65531165.3,65269706.2
강원,춘천시,답,면적,34707407.5,34168488.5,33880109.1,33426925.6,32877439.4,32589464.2,32437476.2,32214076.2,32007118.2,31739454.5
강원,춘천시,묘지,면적,1479708.4,1479230.4,1474095.4,1469529.4,1467759.6,1467873.6,1465067.6,1602170.7,1599647.5,1604053.3
강원,원주시,계,면적,867973342.5,867815241.9,868283081.3,868269599.3,868267721.7,868240237.8,868228515.5,868251129.7,868281603.3,868285190.5
