연번,상가유형,호선,역명,상가번호,면적(제곱미터),영업업종,계약시작일자,계약종료일자,월임대료,사업진행단계
1266,공실,7호선,어린이대공원역,726-103,34.61,,,,,2단계. 시설물 점검
1267,공실,7호선,어린이대공원역,726-104,70,,,,,1단계. 사업계획 수립중
1268,공실,7호선,어린이대공원역,726-105,60,,,,,2단계. 시설물 점검
1269,공실,7호선,어린이대공원역,726-201,37,,,,,2단계. 시설물 점검
1270,공실,7호선,어린이대공원역,726-202,37,,,,,2단계. 시설물 점검
1271,공실,7호선,어린이대공원역,726-203,56,,,,,2단계. 시설물 점검
1272,공실,7호선,어린이대공원역,726-204,46,,,,,2단계. 시설물 점검
1273,임대진행,7호선,어린이대공원역,726-205,30,,,,,3단계. 감정평가
1274,임대진행,7호선,어린이대공원역,726-206,22,,,,,3단계. 감정평가
1275,개별(대형),7호선,건대입구(7)역,727-101,867.64,기타,2020-09-15,2025-09-14,18989000,
1276,개별(일반),7호선,건대입구(7)역,727-201,76,의약업,2020-01-09,2025-02-07,25650000,
1277,네트워크,7호선,건대입구(7)역,727-202,37.36,편의점,2020-02-13,2025-04-12,13409110,
1278,개별(일반),7호선,건대입구(7)역,727-204,75,의약업,2023-03-29,2028-04-28,16100000,
1279,임대진행,7호선,건대입구(7)역,727-205,58.21,,,,,3단계. 감정평가
1280,네트워크,7호선,건대입구(7)역,727-301,26,플라워,2022-10-21,2028-02-18,2058651,
1281,네트워크,7호선,건대입구(7)역,727-302,32,식음료,2022-12-02,2028-04-01,2419901,
1282,네트워크,7호선,뚝섬유원지역,728-001,29.89,편의점,2020-02-13,2025-04-12,5262400,
1283,임대진행,7호선,청담역,729-103,33,,,,,5단계. 입찰공고
1284,임대진행,7호선,청담역,729-104,81,,,,,5단계. 입찰공고
1285,공실,7호선,청담역,729-301,69.7,,,,,1단계. 사업계획 수립중
1286,공실,7호선,청담역,729-302,23.4,,,,,2단계. 시설물 점검
1287,공실,7호선,청담역,729-303,97.44,,,,,2단계. 시설물 점검
1288,네트워크,7호선,청담역,729-306,65.36,식음료,2021-02-25,2026-04-26,3417040,
1289,개별(일반),7호선,청담역,729-307,37.11,패션잡화,2021-03-18,2026-04-17,1500200,
1290,네트워크,7호선,청담역,729-308,52.34,편의점,2020-02-13,2025-04-12,16639480,
1291,개별(일반),7호선,청담역,729-326,35.2,기타,2019-08-24,2024-09-22,1301600,
1292,공실,7호선,청담역,729-327,101.37,,,,,2단계. 시설물 점검
1293,임대진행,7호선,청담역,729-331,25,,,,,5단계. 입찰공고
1294,네트워크,7호선,청담역,729-333,55,화장품,2022-08-01,2027-12-29,3305896,
1295,네트워크,7호선,청담역,729-334,35,플라워,2022-10-21,2028-02-18,1775339,
1296,네트워크,7호선,청담역,729-335,43,화장품,2022-08-01,2027-12-29,1999415,
1297,개별(대형),7호선,청담역,729-340,178,패션잡화,2023-12-21,2029-02-04,4880000,
1298,네트워크,7호선,강남구청역,730-101,63.8,편의점,2020-02-13,2025-04-12,16140410,
1299,개별(대형),7호선,강남구청역,730-102,355.7,의약업,2019-04-22,2026-09-23,4901000,
1300,복합,7호선,강남구청역,730-103,472,기타,2021-06-14,2026-09-12,16671500,
1301,복합,7호선,강남구청역,730-104,,기타,2021-06-14,2026-09-12,,
1302,복합,7호선,강남구청역,730-105,,기타,2021-06-14,2026-09-12,,
1303,복합,7호선,강남구청역,730-106,,기타,2021-06-14,2026-09-12,,
1304,복합,7호선,강남구청역,730-107,,기타,2021-06-14,2026-09-12,,
1305,복합,7호선,강남구청역,730-108,,기타,2021-06-14,2026-09-12,,
1306,복합,7호선,강남구청역,730-109,,기타,2021-06-14,2026-09-12,,
1307,복합,7호선,강남구청역,730-110,,기타,2021-06-14,2026-09-12,,
1308,개별(일반),7호선,강남구청역,730-111,22,의약업,2019-04-19,2026-01-13,3010000,
1309,네트워크,7호선,강남구청역,730-202,57,패션잡화,2023-07-17,2028-08-31,4053754,
1310,개별(일반),7호선,강남구청역,730-204,9.2,패션잡화,2024-04-29,2029-05-29,1200000,
1311,개별(일반),7호선,강남구청역,730-205,28,패션잡화,2019-10-24,2024-11-22,2000000,
1312,네트워크,7호선,강남구청역,730-206,55,플라워,2022-10-27,2028-02-24,2288553,
1313,개별(일반),7호선,강남구청역,730-207,30,패션잡화,2023-03-03,2028-04-02,2425600,
1314,개별(일반),7호선,강남구청역,730-210,41,패션잡화,2024-05-16,2029-06-15,3000000,
1315,네트워크,7호선,강남구청역,730-211,41,패션잡화,2022-12-16,2028-04-15,1677122,
1316,임대진행,7호선,학동역,731-102,16,,,,,5단계. 입찰공고
1317,네트워크,7호선,학동역,731-201,55.45,편의점,2020-02-13,2025-04-12,15504060,
1318,개별(일반),7호선,학동역,731-202,16.4,플라워,2024-05-02,2029-06-01,3000000,
1319,개별(일반),7호선,학동역,731-203,17.54,식음료,2019-12-21,2025-01-19,4680000,
1320,개별(일반),7호선,학동역,731-205,31.39,패션잡화,2020-02-24,2025-03-25,2683000,
1321,네트워크,7호선,학동역,731-206,29.44,기타,2024-06-07,2029-08-16,1982690,
1322,네트워크,7호선,학동역,731-208,58,패션잡화,2023-07-17,2028-08-31,3599152,
1323,개별(일반),7호선,학동역,731-209,68.55,식음료,2022-07-08,2027-08-07,3800000,
1324,복합,7호선,학동역,731-210,51,의약업,2023-05-30,2028-09-27,3749900,
1325,공실,7호선,학동역,731-211,25,,,,,2단계. 시설물 점검
1326,네트워크,7호선,학동역,731-212,44,식음료,2022-07-18,2027-10-16,7619428,
1327,복합,7호선,학동역,731-213,145,의약업,2023-05-30,2028-09-27,7385300,
1328,개별(일반),7호선,논현역,732-102,63.44,식음료,2019-12-10,2025-01-08,5606500,
1329,개별(일반),7호선,논현역,732-103,37.8,패션잡화,2022-04-28,2027-05-28,2910000,
1330,네트워크,7호선,논현역,732-104,44.65,편의점,2020-02-13,2025-04-12,13317590,
1331,임대진행,7호선,논현역,732-107,35,,,,,3단계. 감정평가
1332,개별(일반),7호선,논현역,732-108,29,패션잡화,2024-08-19,2029-09-18,2166600,
1333,네트워크,7호선,논현역,732-201,29.92,식음료,2021-09-06,2026-11-05,3906413,
1334,개별(일반),7호선,논현역,732-202,30,패션잡화,2023-08-28,2028-08-27,5720000,
1335,네트워크,7호선,논현역,732-203,23,화장품,2020-12-23,2026-03-23,2077017,
1336,개별(일반),7호선,논현역,732-207,50,패션잡화,2023-10-26,2028-11-25,2416600,
1337,복합,7호선,논현역,732-208,50,의약업,2023-05-30,2028-09-27,3864400,
1338,개별(일반),7호선,논현역,732-209,33,식음료,2024-02-23,2029-03-24,3401200,
1339,개별(일반),7호선,논현역,732-210,25,기타,2024-02-13,2029-03-14,2100000,
1340,복합,7호선,논현역,732-212,110,의약업,2023-05-30,2028-09-27,6339500,
1341,개별(일반),7호선,논현역,732-213,57.7,패션잡화,2024-01-12,2029-02-11,6350000,
1342,복합,7호선,반포역,733-102,277.14,기타,2023-03-02,2028-03-01,6005626,
1343,복합,7호선,반포역,733-103,75.48,기타,2023-03-02,2028-03-01,2100604,
1344,복합,7호선,반포역,733-111,1260.58,기타,2023-03-02,2028-03-01,7765170,
1345,복합,7호선,반포역,733-112,,기타,2023-03-02,2028-03-01,,
1346,복합,7호선,반포역,733-113,,식음료,2023-03-02,2028-03-01,,
1347,복합,7호선,반포역,733-114,,사무실,2023-03-02,2028-03-01,,
1348,복합,7호선,반포역,733-115,,기타,2023-03-02,2028-03-01,,
1349,개별(일반),7호선,반포역,733-138,40,패션잡화,2020-06-04,2025-07-04,2700000,
1350,네트워크,7호선,반포역,733-154,40.36,편의점,2020-02-13,2025-04-12,7854990,
1351,개별(일반),7호선,반포역,733-156,30,패션잡화,2023-09-04,2028-10-04,1541600,
1352,개별(일반),7호선,반포역,733-201,43,기타,2023-09-20,2028-10-20,1176800,
1353,개별(일반),7호선,반포역,733-202,42,기타,2023-09-20,2028-10-20,1280500,
1354,개별(일반),7호선,고속터미널(7)역,734-101,556,기타,2021-01-05,2026-04-05,6666600,
1355,네트워크,7호선,고속터미널(7)역,734-140,95,플라워,2022-10-27,2028-02-24,3235240,
1356,개별(일반),7호선,고속터미널(7)역,734-201,44,기타,2019-06-25,2029-08-13,3169300,
1357,복합,7호선,고속터미널(7)역,734-202,123.69,패션잡화,2023-04-10,2028-07-19,25890480,
1358,복합,7호선,고속터미널(7)역,734-203,,패션잡화,2023-04-10,2028-07-19,,
1359,복합,7호선,고속터미널(7)역,734-204,,패션잡화,2023-04-10,2028-07-19,,
1360,복합,7호선,고속터미널(7)역,734-205,44.31,식음료,2023-04-10,2028-07-19,8910360,
1361,복합,7호선,고속터미널(7)역,734-206,62.77,식음료,2023-04-10,2028-07-19,12272760,
1362,복합,7호선,고속터미널(7)역,734-207,,식음료,2023-04-10,2028-07-19,,
1363,복합,7호선,고속터미널(7)역,734-208,,식음료,2023-04-10,2028-07-19,,
1364,개별(일반),7호선,고속터미널(7)역,734-209,266.9,기타,2022-08-12,2027-08-31,3521500,
1365,복합,7호선,고속터미널(7)역,734-210,231.28,패션잡화,2023-04-10,2028-07-19,36145800,
1366,복합,7호선,고속터미널(7)역,734-211,,기타,2023-04-10,2028-07-19,,
1367,복합,7호선,고속터미널(7)역,734-212,,기타,2023-04-10,2028-07-19,,
1368,복합,7호선,고속터미널(7)역,734-213,,패션잡화,2023-04-10,2028-07-19,,
1369,복합,7호선,고속터미널(7)역,734-214,376.56,패션잡화,2023-04-10,2028-07-19,84900600,
1370,네트워크,7호선,고속터미널(7)역,734-215,60.27,편의점,2020-02-13,2025-04-12,23453430,
1371,네트워크,7호선,고속터미널(7)역,734-216,71.53,식음료,2021-09-06,2026-11-05,7914283,
1372,개별(일반),7호선,내방역,735-101,45,패션잡화,2022-08-26,2027-09-25,3850000,
1373,네트워크,7호선,내방역,735-103,62.21,편의점,2020-02-13,2025-04-12,15240940,
1374,개별(일반),7호선,내방역,735-201,30.78,패션잡화,2022-06-09,2027-07-09,2179000,
1375,네트워크,7호선,내방역,735-202,34,밀키트,2023-06-23,2028-09-01,1259909,
1376,네트워크,7호선,내방역,735-203,28,화장품,2022-08-01,2027-12-29,1619492,
1377,네트워크,7호선,내방역,735-204,28,식음료,2022-07-18,2027-10-16,3967708,
1378,개별(대형),7호선,이수(7)역,736-101,592,기타,2018-12-20,2029-04-18,11450200,
1379,개별(일반),7호선,이수(7)역,736-102,48,사무실,2023-07-24,2028-08-23,650000,
1380,네트워크,7호선,이수(7)역,736-103,51,기타,2024-06-07,2029-08-16,1395230,
1381,임대진행,7호선,이수(7)역,736-104,51,,,,,5단계. 입찰공고
1382,공실,7호선,이수(7)역,736-112,74,,,,,2단계. 시설물 점검
1383,네트워크,7호선,이수(7)역,736-301,62.03,패션잡화,2022-12-16,2028-04-15,6522657,
1384,공실,7호선,이수(7)역,736-303,129.35,,,,,2단계. 시설물 점검
1385,네트워크,7호선,이수(7)역,736-307,54.05,편의점,2020-02-13,2025-04-12,14677520,
1386,개별(일반),7호선,이수(7)역,736-308,9.84,패션잡화,2020-03-02,2025-04-01,2250000,
1387,네트워크,7호선,이수(7)역,736-310,27.22,식음료,2021-02-25,2026-04-26,4532176,
1388,개별(일반),7호선,이수(7)역,736-311,74.41,패션잡화,2024-01-26,2029-02-25,5183300,
1389,네트워크,7호선,이수(7)역,736-313,22.5,플라워,2018-11-27,2029-01-25,2039400,
1390,개별(일반),7호선,이수(7)역,736-316,35,패션잡화,2024-06-27,2029-07-27,2520000,
1391,임대진행,7호선,이수(7)역,736-317,25,,,,,5단계. 입찰공고
1392,네트워크,7호선,남성역,737-101,45.25,편의점,2020-02-13,2025-04-12,9788350,
1393,네트워크,7호선,남성역,737-204,65,식음료,2023-02-27,2028-05-28,7166003,
1394,네트워크,7호선,숭실대입구역,738-101,39.29,편의점,2020-02-13,2025-04-12,9835540,
1395,네트워크,7호선,숭실대입구역,738-102,22.02,식음료,2021-09-06,2026-11-05,3552070,
1396,네트워크,7호선,숭실대입구역,738-201,37,패션잡화,2023-07-17,2028-08-31,2126327,
1397,네트워크,7호선,숭실대입구역,738-202,35.7,화장품,2022-08-01,2027-12-29,1781442,
1398,개별(일반),7호선,숭실대입구역,738-203,42,기타,2018-11-20,2028-12-19,1365000,
1399,네트워크,7호선,숭실대입구역,738-204,28,기타,2023-06-05,2028-08-14,1331754,
1400,공실,7호선,숭실대입구역,738-213,30,,,,,2단계. 시설물 점검
1401,네트워크,7호선,상도역,739-101,112.57,편의점,2020-02-13,2025-04-12,21907600,
1402,네트워크,7호선,상도역,739-201,59.2,화장품,2023-08-09,2028-09-23,2814300,
1403,네트워크,7호선,상도역,739-202,50,패션잡화,2022-12-16,2028-04-15,2266228,
1404,네트워크,7호선,상도역,739-204,26,식음료,2023-02-27,2028-05-28,3015091,
1405,네트워크,7호선,장승배기역,740-101,36.18,편의점,2020-02-13,2025-04-12,8185320,
1406,개별(일반),7호선,장승배기역,740-201,35.52,패션잡화,2019-06-25,2024-07-24,2710000,
1407,네트워크,7호선,신대방삼거리역,741-101,51.49,편의점,2020-02-13,2025-04-12,13025870,
1408,개별(일반),7호선,신대방삼거리역,741-102,55,패션잡화,2022-09-01,2027-10-01,2801000,
1409,네트워크,7호선,신대방삼거리역,741-201,25.06,패션잡화,2023-07-17,2028-08-31,1471298,
1410,개별(일반),7호선,신대방삼거리역,741-202,34,패션잡화,2024-02-13,2029-03-14,3220000,
1411,개별(일반),7호선,신대방삼거리역,741-203,61,패션잡화,2024-03-04,2029-04-03,2710000,
1412,임대진행,7호선,신대방삼거리역,741-206,49,,,,,5단계. 입찰공고
1413,개별(일반),7호선,신대방삼거리역,741-207,27,무인프린트,2022-10-31,2027-11-30,1139500,
1414,네트워크,7호선,신대방삼거리역,741-208,42,화장품,2022-08-01,2027-12-29,1762389,
1415,네트워크,7호선,신대방삼거리역,741-209,42,밀키트,2022-06-20,2027-08-19,1771200,
1416,네트워크,7호선,신대방삼거리역,741-210,42,기타,2022-09-07,2028-02-04,1768200,
1417,네트워크,7호선,보라매역,742-103,27.58,편의점,2020-02-13,2025-04-12,6309160,
1418,네트워크,7호선,보라매역,742-105,38,식음료,2022-07-18,2027-10-16,3799002,
1419,네트워크,7호선,보라매역,742-106,39,화장품,2022-08-01,2027-12-29,1857653,
1420,개별(일반),7호선,보라매역,742-107,32,패션잡화,2023-09-18,2028-10-18,2750000,
1421,개별(일반),7호선,신풍역,743-103,30,패션잡화,2019-12-17,2025-01-15,2020000,
1422,네트워크,7호선,신풍역,743-104,32.82,편의점,2020-02-13,2025-04-12,8322600,
1423,공실,7호선,신풍역,743-106,47,,,,,2단계. 시설물 점검
1424,임대진행,7호선,신풍역,743-108,40,,,,,3단계. 감정평가
1425,임대진행,7호선,신풍역,743-109,45,,,,,3단계. 감정평가
1426,임대진행,7호선,신풍역,743-110,45,,,,,3단계. 감정평가
1427,임대진행,7호선,신풍역,743-111,30,,,,,3단계. 감정평가
1428,네트워크,7호선,신풍역,743-112,30,기타,2024-06-07,2029-08-16,807760,
1429,복합,7호선,대림(7)역,744-001,41.1,패션잡화,2017-05-22,2027-09-19,18124700,
1430,네트워크,7호선,대림(7)역,744-002,21.05,화장품,2020-12-23,2026-03-23,3920862.036,
1431,개별(일반),7호선,대림(7)역,744-003,22,패션잡화,2023-06-19,2028-07-19,6740000,
1432,공실,7호선,대림(7)역,744-004,22,,,,,2단계. 시설물 점검
1433,네트워크,7호선,대림(7)역,744-101,49.58,플라워,2018-11-27,2029-01-25,7324453,
1434,개별(일반),7호선,대림(7)역,744-102,44.74,패션잡화,2020-06-08,2025-07-08,6600000,
1435,복합,7호선,대림(7)역,744-103,68,패션잡화,2017-05-22,2027-09-19,12446500,
1436,네트워크,7호선,대림(7)역,744-104,29.51,편의점,2020-02-13,2025-04-12,13230360,
1437,네트워크,7호선,대림(7)역,744-106,39,패션잡화,2022-12-16,2028-04-15,3349711,
1438,네트워크,7호선,대림(7)역,744-107,39,플라워,2022-10-27,2028-02-24,2515781,
1439,개별(일반),7호선,대림(7)역,744-108,30,패션잡화,2023-03-06,2028-04-05,1721000,
1440,네트워크,7호선,남구로역,745-101,33.67,편의점,2020-02-13,2025-04-12,8428420,
1441,개별(일반),7호선,남구로역,745-103,40,패션잡화,2023-03-03,2028-04-02,2000000,
1442,개별(일반),7호선,남구로역,745-104,32,패션잡화,2023-06-19,2028-07-19,1700000,
1443,임대진행,7호선,남구로역,745-201,69.14,,,,,5단계. 입찰공고
1444,임대진행,7호선,남구로역,745-202,22,,,,,5단계. 입찰공고
1445,개별(일반),7호선,가산디지털단지역,746-101,34,식음료,2024-02-08,2029-02-07,13751200,
1446,네트워크,7호선,가산디지털단지역,746-103,69,화상면접,2022-09-06,2028-01-04,975346,
1447,네트워크,7호선,가산디지털단지역,746-301,41.97,플라워,2018-11-27,2029-01-25,4196536,
1448,네트워크,7호선,가산디지털단지역,746-302,35.8,편의점,2020-02-13,2025-04-12,16485040,
1449,네트워크,7호선,철산역,747-101,36.61,편의점,2020-02-13,2025-04-12,12851410,
1450,복합,7호선,철산역,747-102,30,식음료,2023-06-07,2026-07-31,2686255,
1451,복합,7호선,철산역,747-103,18,패션잡화,2023-06-07,2026-07-31,1653080,
1452,복합,7호선,철산역,747-105,63,식음료,2023-06-07,2026-07-31,5785780,
1453,복합,7호선,철산역,747-106,15.5,기타,2023-06-07,2026-07-31,3398000,
1454,복합,7호선,철산역,747-107,21.5,식음료,2023-06-07,2026-07-31,,
1455,복합,7호선,철산역,747-108,35,플라워,2023-06-07,2026-07-31,3214320,
1456,복합,7호선,철산역,747-109,41,패션잡화,2023-06-07,2026-07-31,3926065,
1457,네트워크,7호선,광명사거리역,748-101,45.74,식음료,2021-02-25,2026-04-26,5844784,
1458,네트워크,7호선,광명사거리역,748-102,34.27,편의점,2020-02-13,2025-04-12,12292280,
1459,네트워크,7호선,광명사거리역,748-103,13,무인프린트,2022-08-30,2028-01-27,1204446,
1460,네트워크,7호선,광명사거리역,748-201,37.17,화장품,2020-12-23,2026-03-23,3849143,
1461,임대진행,7호선,광명사거리역,748-203,44,,,,,3단계. 감정평가
1462,네트워크,7호선,광명사거리역,748-204,37,기타,2022-09-07,2028-02-04,3143467,
1463,네트워크,7호선,광명사거리역,748-205,40,플라워,2022-10-21,2028-02-18,3897086,
1464,네트워크,7호선,광명사거리역,748-206,40,식음료,2022-12-02,2028-04-01,3079874,
1465,네트워크,7호선,광명사거리역,748-207,41,패션잡화,2022-12-16,2028-04-15,2708482,
1466,네트워크,7호선,천왕역,749-101,36.93,편의점,2020-02-13,2025-04-12,6160440,
1467,개별(일반),7호선,천왕역,749-201,900.39,기타,2016-09-12,2027-03-10,1313400,
1468,개별(일반),7호선,온수역,750-101,13.5,식음료,2021-03-19,2026-04-18,2040000,
1469,개별(일반),7호선,온수역,750-103,23.1,패션잡화,2018-10-23,2028-11-21,3312900,
1470,네트워크,7호선,온수역,750-104,29.81,편의점,2020-02-13,2025-04-12,6966960,
1471,임대진행,7호선,온수역,750-105,41,,,,,3단계. 감정평가
1472,개별(일반),7호선,온수역,750-106,35,사무실,2021-12-21,2027-01-20,795000,
1473,네트워크,8호선,암사역,810-101,36.54,기타,2023-06-05,2028-08-14,2288301,
1474,공실,8호선,암사역,810-102,24,,,,,2단계. 시설물 점검
1475,네트워크,8호선,암사역,810-103,35,편의점,2022-02-03,2027-05-04,10014441,
1476,개별(일반),8호선,암사역,810-104,27.37,패션잡화,2020-12-31,2026-01-30,2150000,
1477,네트워크,8호선,암사역,810-105,46.46,기타,2022-09-07,2028-02-04,2750533,
1478,네트워크,8호선,강동구청역,812-101,30,편의점,2022-02-03,2027-05-04,6354679,
1479,개별(일반),8호선,강동구청역,812-102,36.96,패션잡화,2022-08-29,2027-09-28,1833000,
1480,공실,8호선,강동구청역,812-201,37.45,,,,,2단계. 시설물 점검
1481,개별(일반),8호선,강동구청역,812-202,46.69,식음료,2020-06-10,2025-07-10,2500000,
1482,네트워크,8호선,몽촌토성역,813-101,36,편의점,2022-02-03,2027-05-04,5389832,
1483,복합,8호선,잠실(8)역,814-101,191,식음료,2022-10-08,2026-04-10,14620318,
1484,복합,8호선,잠실(8)역,814-102,118,기타,2022-10-08,2026-04-10,9032448,
1485,복합,8호선,잠실(8)역,814-103,16,식음료,2022-10-08,2026-04-10,1224739,
1486,복합,8호선,잠실(8)역,814-104,225,식음료,2022-10-08,2026-04-10,17222887,
1487,복합,8호선,잠실(8)역,814-105,52,편의점,2022-10-08,2026-04-10,3980400,
1488,복합,8호선,잠실(8)역,814-106,708,기타,2022-10-08,2026-04-10,54194684,
1489,복합,8호선,잠실(8)역,814-107,40,의약업,2022-10-08,2026-04-10,3061847,
1490,복합,8호선,잠실(8)역,814-109,48,패션잡화,2022-10-08,2026-04-10,3674216,
1491,복합,8호선,잠실(8)역,814-110,24,패션잡화,2022-10-08,2026-04-10,1837108,
1492,복합,8호선,잠실(8)역,814-111,144,화장품,2022-10-08,2026-04-10,11022647,
1493,복합,8호선,잠실(8)역,814-112,24,식음료,2022-10-08,2026-04-10,1837108,
1494,복합,8호선,잠실(8)역,814-113,48,패션잡화,2022-10-08,2026-04-10,3674216,
1495,복합,8호선,잠실(8)역,814-114,14.23,식음료,2022-10-08,2026-04-10,1089252,
1496,복합,8호선,잠실(8)역,814-115,26,식음료,2022-10-08,2026-04-10,1990200,
1497,복합,8호선,잠실(8)역,814-116,56,식음료,2022-10-08,2026-04-10,4286585,
1498,복합,8호선,잠실(8)역,814-117,56,기타,2022-10-08,2026-04-10,4286585,
1499,복합,8호선,잠실(8)역,814-118,56,패션잡화,2022-10-08,2026-04-10,4286585,
1500,복합,8호선,잠실(8)역,814-119,45,패션잡화,2022-10-08,2026-04-10,3444578,
1501,복합,8호선,잠실(8)역,814-120,48,기타,2022-10-08,2026-04-10,3674216,
1502,복합,8호선,잠실(8)역,814-121,20,식음료,2022-10-08,2026-04-10,1530923,
1503,복합,8호선,잠실(8)역,814-122,20,식음료,2022-10-08,2026-04-10,1530923,
1504,복합,8호선,잠실(8)역,814-123,20,식음료,2022-10-08,2026-04-10,1530923,
1505,개별(일반),8호선,잠실(8)역,814-201,28.6,패션잡화,2022-12-14,2028-01-13,8200000,
1506,복합,8호선,잠실(8)역,814-202,29,식음료,2022-10-08,2026-04-10,2219839,
1507,복합,8호선,잠실(8)역,814-203,13.5,식음료,2022-10-08,2026-04-10,1033373,
1508,복합,8호선,잠실(8)역,814-204,9.36,식음료,2022-10-08,2026-04-10,716470,
1509,개별(일반),8호선,석촌역,815-101,30,기타,2022-02-05,2027-03-04,2500000,
1510,네트워크,8호선,석촌역,815-102,38,편의점,2022-02-03,2027-05-04,7290691,
1511,개별(일반),8호선,송파역,816-101,17.87,식음료,2023-03-31,2028-04-30,1510000,
1512,네트워크,8호선,송파역,816-102,32.2,편의점,2022-02-03,2027-05-04,3999566,
1513,네트워크,8호선,가락시장(8)역,817-102,33,편의점,2022-02-03,2027-05-04,5233461,
1514,개별(일반),8호선,가락시장(8)역,817-105,52.16,패션잡화,2019-04-09,2029-05-08,4272800,
1515,개별(일반),8호선,가락시장(8)역,817-106,19.84,기타,2020-02-11,2025-03-11,1012000,
1516,개별(일반),8호선,가락시장(8)역,817-107,24.61,식음료,2019-12-18,2025-01-16,2186000,
1517,네트워크,8호선,문정역,818-101,30,편의점,2022-02-03,2027-05-04,3992468,
1518,네트워크,8호선,장지역,819-101,35.2,편의점,2022-02-03,2027-05-04,8275943,
1519,개별(일반),8호선,장지역,819-102,38.82,식음료,2023-12-04,2029-01-03,4998300,
1520,개별(일반),8호선,장지역,819-103,12.85,플라워,2020-08-03,2025-09-02,2500000,
1521,임대진행,8호선,장지역,819-104,251.23,,,,,3단계. 감정평가
1522,네트워크,8호선,복정역,820-101,50,편의점,2022-02-03,2027-05-04,6487761,
1523,네트워크,8호선,산성역,821-101,30,편의점,2022-02-03,2027-05-04,4358445,
1524,개별(일반),8호선,남한산성입구역,822-101,34.32,기타,2021-05-13,2026-06-12,2300000,
1525,네트워크,8호선,남한산성입구역,822-201,36,편의점,2022-02-03,2027-05-04,8863280,
1526,개별(일반),8호선,남한산성입구역,822-202,22.09,식음료,2019-12-10,2025-01-08,1590000,
1527,네트워크,8호선,남한산성입구역,822-203,54.76,식음료,2024-01-15,2029-03-25,2060400,
1528,네트워크,8호선,남한산성입구역,822-204,34.18,패션잡화,2023-07-17,2028-08-31,1809246,
1529,개별(일반),8호선,남한산성입구역,822-205,17,식음료,2022-04-28,2027-05-28,1200000,
1530,개별(일반),8호선,단대오거리역,823-102,36.78,기타,2021-01-21,2026-02-20,1700000,
1531,네트워크,8호선,단대오거리역,823-201,32.5,편의점,2022-02-03,2027-05-04,6235459,
1532,네트워크,8호선,단대오거리역,823-203,54.03,기타,2024-06-07,2029-08-16,2643590,
1533,개별(일반),8호선,단대오거리역,823-204,75.09,패션잡화,2021-03-18,2026-04-17,3780000,
1534,네트워크,8호선,신흥역,824-101,40,편의점,2022-02-03,2027-05-04,4391715,
1535,네트워크,8호선,수진역,825-101,40,편의점,2022-02-03,2027-05-04,4036829,
1536,네트워크,8호선,모란역,826-101,50,편의점,2022-02-03,2027-05-04,3770665,
1537,공실,8호선,남위례역,827-001,34.13,,,,,1단계. 사업계획 수립중
1538,공실,8호선,남위례역,827-002,25.97,,,,,1단계. 사업계획 수립중
