"동별(1)",동별(2),2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72773,37980,14468,10247,7545,1904,464,118,29,7,11
"종로구",사직동,4593,2334,924,659,509,116,30,17,2,-,2
"종로구",삼청동,1143,558,256,146,124,41,13,5,-,-,-
"종로구",부암동,4129,1640,981,761,548,143,42,11,2,-,1
"종로구",평창동,7258,2326,1802,1478,1197,336,85,21,11,-,2
"종로구",무악동,3019,705,743,695,689,154,22,9,-,1,1
"종로구",교남동,4383,1648,1058,895,621,130,21,8,-,2,-
"종로구",가회동,1948,930,417,313,211,53,19,3,1,-,1
"종로구",종로1.2.3.4가동,4957,3957,503,269,174,38,11,3,1,1,-
"종로구",종로5.6가동,3576,2564,494,288,181,40,7,2,-,-,-
"종로구",이화동,4319,2798,753,410,268,64,19,4,-,2,1
"종로구",창신1동,2700,1609,565,296,160,54,12,4,-,-,-
"종로구",창신2동,4010,2021,949,553,364,95,24,3,1,-,-
"종로구",창신3동,2785,950,708,587,398,116,23,2,1,-,-
"종로구",숭인1동,2975,1482,679,428,294,71,19,2,-,-,-
"종로구",숭인2동,6593,4740,978,476,314,67,16,2,-,-,-
"종로구",청운효자동,5130,1971,1182,985,732,197,47,9,6,1,-
"종로구",혜화동,9255,5747,1476,1008,761,189,54,13,4,-,3
"중구",소계,63492,33368,13865,8665,5765,1361,328,91,29,4,16
"중구",소공동,1271,764,239,162,87,9,6,2,1,-,1
"중구",회현동,2556,1541,451,300,191,52,11,8,1,1,-
"중구",명동,1451,1014,211,120,81,13,4,4,1,-,3
"중구",필동,2427,1617,410,203,144,42,7,3,-,-,1
"중구",장충동,2852,1943,432,240,171,46,14,3,-,-,3
"중구",광희동,3608,2566,558,278,148,34,19,3,2,-,-
"중구",을지로동,1306,1070,150,53,23,7,3,-,-,-,-
"중구",신당5동,5336,2752,1224,702,510,120,19,6,2,1,-
"중구",황학동,7347,4285,1560,856,510,106,19,9,-,1,1
"중구",중림동,5737,2543,1298,995,702,155,31,10,3,-,-
"중구",신당동,4790,3173,873,413,241,63,21,4,2,-,-
"중구",다산동,6855,3303,1671,992,690,146,41,8,2,-,2
"중구",약수동,7779,3143,2133,1427,821,188,47,16,1,-,3
"중구",청구동,6188,2541,1604,1076,729,188,41,5,2,1,1
"중구",동화동,3989,1113,1051,848,717,192,45,10,12,-,1
"용산구",소계,109778,54101,23897,16379,11659,2786,693,179,50,17,17
"용산구",후암동,8307,4202,1824,1195,802,211,42,21,5,1,4
"용산구",용산2가동,5083,2824,1176,612,355,91,20,4,1,-,-
"용산구",남영동,5011,3846,615,294,191,46,12,6,-,1,-
"용산구",원효로2동,6137,2448,1394,1135,877,202,61,11,5,1,3
"용산구",효창동,4705,1727,1168,867,724,157,47,9,2,3,1
"용산구",용문동,5313,2125,1308,1024,665,145,33,9,2,2,-
"용산구",이촌1동,9158,1865,2231,2364,2104,443,108,29,10,2,2
"용산구",이촌2동,3609,1312,980,729,436,119,26,7,-,-,-
"용산구",이태원1동,3471,1983,754,410,246,54,20,3,1,-,-
"용산구",이태원2동,4831,2686,1074,600,346,89,32,2,2,-,-
"용산구",서빙고동,5109,1712,1163,923,926,305,59,18,3,-,-
"용산구",보광동,7049,3826,1635,931,515,115,23,3,-,1,-
"용산구",청파동,11114,6917,2094,1098,745,196,47,12,1,1,3
"용산구",원효로1동,9240,5049,1852,1251,857,183,33,9,4,1,1
"용산구",한강로동,11316,6079,2353,1586,1022,197,58,12,6,1,2
"용산구",한남동,10325,5500,2276,1360,848,233,72,24,8,3,1
"성동구",소계,133517,58565,30232,23342,16926,3417,766,191,52,15,11
"성동구",왕십리2동,7407,2987,1700,1394,1038,207,66,10,3,1,1
"성동구",마장동,10945,5316,2352,1643,1257,270,84,10,8,2,3
"성동구",사근동,8176,6124,966,544,427,95,11,9,-,-,-
"성동구",행당1동,6456,2823,1371,1195,851,171,30,10,4,1,-
"성동구",행당2동,9234,2460,2465,2197,1703,313,67,22,4,1,2
"성동구",응봉동,5948,1613,1468,1387,1200,218,45,11,4,2,-
"성동구",금호1가동,6535,2224,1677,1430,957,191,42,10,3,1,-
"성동구",금호4가동,6348,2278,1658,1334,865,168,36,7,2,-,-
"성동구",성수1가1동,7568,3267,1789,1289,988,183,43,5,4,-,-
"성동구",성수1가2동,5968,2773,1339,974,694,144,32,9,2,1,-
"성동구",성수2가1동,7873,3982,1762,1165,769,153,31,7,4,-,-
"성동구",성수2가3동,5326,2789,1097,712,550,140,27,9,1,-,1
"성동구",송정동,5457,3003,1137,697,474,120,18,6,-,1,1
"성동구",용답동,7415,5031,1216,602,437,93,29,5,-,-,2
"성동구",왕십리도선동,12176,5121,2661,2218,1724,346,74,25,5,1,1
"성동구",금호2.3가동,9937,3588,2589,2061,1347,277,52,17,5,1,-
"성동구",옥수동,10748,3186,2985,2500,1645,328,79,19,3,3,-
"광진구",소계,169648,84198,35229,25305,19712,4004,909,205,61,12,13
"광진구",화양동,18239,15034,1947,702,430,89,28,7,1,-,1
"광진구",군자동,11415,7044,2048,1305,800,161,43,9,3,1,1
"광진구",중곡1동,8583,4761,1905,1083,652,144,29,9,-,-,-
"광진구",중곡2동,10675,5181,2506,1590,1085,242,57,9,4,1,-
"광진구",중곡3동,8553,4414,2076,1110,750,171,23,6,3,-,-
"광진구",중곡4동,13120,5382,3354,2307,1620,348,83,21,3,1,1
"광진구",능동,6418,3799,1295,722,445,113,38,5,1,-,-
"광진구",구의1동,13113,7524,2658,1543,1081,245,52,6,2,-,2
"광진구",구의2동,11501,4384,2744,2163,1712,379,84,27,4,-,4
"광진구",구의3동,12109,4328,2727,2466,2069,397,95,17,9,-,1
"광진구",광장동,11797,2279,2080,3106,3566,604,123,25,10,2,2
"광진구",자양1동,11973,6622,2490,1500,1078,228,40,10,3,2,-
"광진구",자양2동,10860,4307,2607,2044,1481,321,73,20,6,-,1
"광진구",자양3동,11023,3207,2612,2451,2211,403,99,25,11,4,-
"광진구",자양4동,10269,5932,2180,1213,732,159,42,9,1,1,-
"동대문구",소계,170766,85451,35623,25409,18706,4338,934,222,58,17,8
"동대문구",회기동,6755,4768,913,516,438,92,22,3,2,-,1
"동대문구",휘경1동,7880,4765,1287,907,707,167,39,6,1,1,-
"동대문구",휘경2동,12684,6794,2387,1715,1397,313,57,16,3,1,1
"동대문구",청량리동,9750,4940,2303,1332,887,217,56,11,4,-,-
"동대문구",용신동,20313,12434,3662,2249,1540,333,74,18,2,1,-
"동대문구",제기동,13479,7765,2659,1634,1067,269,65,15,2,1,2
"동대문구",전농1동,14810,7502,3183,2200,1497,337,59,26,4,1,1
"동대문구",전농2동,7540,2340,1949,1594,1284,291,68,11,1,1,1
"동대문구",답십리2동,12517,4705,3233,2383,1700,380,89,18,8,1,-
"동대문구",장안1동,18511,8487,4201,3032,2116,540,95,28,8,4,-
"동대문구",장안2동,14166,5260,3269,2817,2200,472,117,23,4,2,2
"동대문구",이문1동,10785,7013,1713,1020,786,191,46,9,5,2,-
"동대문구",이문2동,8724,3333,2095,1589,1303,317,69,14,4,-,-
"동대문구",답십리1동,12852,5345,2769,2421,1784,419,78,24,10,2,-
"중랑구",소계,187776,83909,45724,30691,21436,4794,945,215,36,18,8
"중랑구",면목2동,12237,5949,2903,1873,1183,266,46,10,6,1,-
"중랑구",면목4동,8934,3918,2245,1457,1021,236,45,12,-,-,-
"중랑구",면목5동,6453,2220,1681,1384,949,184,24,9,1,1,-
"중랑구",면목7동,10616,4755,2652,1751,1165,233,48,8,3,1,-
"중랑구",상봉1동,10129,3420,2587,2091,1651,313,53,12,-,2,-
