"동별(1)",동별(2),2022. 02,2022. 02,2022. 02,2022. 02,2022. 02,2022. 02,2022. 02,2022. 02,2022. 02,2022. 02,2022. 02
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73763,38232,14545,10386,7913,2021,482,119,41,14,10
"종로구",사직동,4680,2338,956,701,514,115,35,17,1,-,3
"종로구",삼청동,1227,628,253,160,128,38,15,5,-,-,-
"종로구",부암동,4255,1679,998,775,583,170,35,9,2,2,2
"종로구",평창동,7498,2443,1845,1479,1274,341,81,16,14,4,1
"종로구",무악동,3065,707,720,738,697,166,26,9,-,1,1
"종로구",교남동,4447,1661,1058,900,657,129,30,8,2,2,-
"종로구",가회동,1995,963,422,311,213,59,21,3,2,-,1
"종로구",종로1.2.3.4가동,5287,4220,530,286,185,45,14,5,2,-,-
"종로구",종로5.6가동,3390,2431,498,251,167,35,7,1,-,-,-
"종로구",이화동,4353,2802,734,432,287,72,15,7,2,2,-
"종로구",창신1동,2851,1725,562,304,180,60,16,4,-,-,-
"종로구",창신2동,4052,2016,958,547,390,111,25,3,2,-,-
"종로구",창신3동,2801,937,708,605,403,122,23,1,2,-,-
"종로구",숭인1동,2992,1483,682,428,303,73,20,2,1,-,-
"종로구",숭인2동,6362,4493,950,489,334,80,11,5,-,-,-
"종로구",청운효자동,5251,2019,1188,990,781,206,48,9,7,3,-
"종로구",혜화동,9257,5687,1483,990,817,199,60,15,4,-,2
"중구",소계,63644,33044,13864,8804,5984,1446,367,87,25,4,19
"중구",소공동,1306,802,238,171,77,11,3,2,1,-,1
"중구",회현동,2728,1683,467,291,212,53,11,9,1,1,-
"중구",명동,1542,1084,223,128,77,18,4,3,2,-,3
"중구",필동,2486,1662,397,233,139,44,9,-,1,-,1
"중구",장충동,2761,1818,443,243,180,54,18,1,1,-,3
"중구",광희동,3390,2347,538,295,149,40,17,1,1,-,2
"중구",을지로동,1362,1118,154,50,27,10,2,1,-,-,-
"중구",신당5동,5379,2748,1210,735,523,130,24,6,2,1,-
"중구",황학동,7151,4090,1536,871,509,108,25,10,-,1,1
"중구",중림동,5659,2461,1275,1005,715,159,32,12,-,-,-
"중구",신당동,4754,3102,872,432,256,67,19,4,2,-,-
"중구",다산동,6907,3282,1673,1014,715,171,37,9,4,-,2
"중구",약수동,7844,3136,2155,1388,884,198,65,11,3,-,4
"중구",청구동,6302,2545,1638,1088,787,184,50,5,3,1,1
"중구",동화동,4073,1166,1045,860,734,199,51,13,4,-,1
"용산구",소계,111134,54481,23863,16660,12255,2899,714,175,53,16,18
"용산구",후암동,8474,4235,1828,1262,850,223,47,18,5,2,4
"용산구",용산2가동,5255,2896,1204,641,388,100,19,6,1,-,-
"용산구",남영동,5202,4001,618,309,209,41,15,6,2,1,-
"용산구",원효로2동,6032,2313,1367,1145,926,201,60,14,1,1,4
"용산구",효창동,4384,1624,1067,807,663,168,40,10,2,2,1
"용산구",용문동,5394,2115,1318,1031,729,151,38,8,2,2,-
"용산구",이촌1동,9541,2093,2269,2406,2150,466,114,29,10,3,1
"용산구",이촌2동,3681,1319,1006,728,466,120,31,9,2,-,-
"용산구",이태원1동,3606,2071,766,432,254,57,21,3,2,-,-
"용산구",이태원2동,4923,2697,1102,633,355,101,28,5,1,-,1
"용산구",서빙고동,5306,1795,1177,936,1010,310,63,13,2,-,-
"용산구",보광동,7404,4062,1651,952,567,134,32,3,3,-,-
"용산구",청파동,11157,6872,2046,1154,812,208,46,12,2,1,4
"용산구",원효로1동,8194,4135,1721,1217,894,181,31,8,4,2,1
"용산구",한강로동,11669,6317,2422,1583,1069,201,55,15,6,-,1
"용산구",한남동,10912,5936,2301,1424,913,237,74,16,8,2,1
"성동구",소계,134286,58012,30239,23733,17603,3605,806,205,57,17,9
"성동구",왕십리2동,7412,2935,1725,1393,1061,214,67,11,4,1,1
"성동구",마장동,11010,5269,2381,1675,1295,292,71,13,10,2,2
"성동구",사근동,7932,5850,970,541,437,108,17,8,1,-,-
"성동구",행당1동,6514,2806,1415,1172,893,174,40,11,2,1,-
"성동구",행당2동,9220,2385,2445,2207,1754,325,74,22,5,2,1
"성동구",응봉동,6044,1654,1421,1434,1239,229,48,11,6,1,1
"성동구",금호1가동,6543,2179,1669,1438,998,206,42,10,1,-,-
"성동구",금호4가동,6356,2267,1624,1345,912,163,34,8,3,-,-
"성동구",성수1가1동,7782,3363,1785,1314,1061,200,48,5,5,1,-
"성동구",성수1가2동,6122,2842,1343,1019,718,161,29,8,1,1,-
"성동구",성수2가1동,8147,4104,1805,1205,821,162,35,9,4,2,-
"성동구",성수2가3동,5563,2959,1100,719,578,156,39,10,1,-,1
"성동구",송정동,5623,3032,1174,747,506,130,26,7,-,1,-
"성동구",용답동,7059,4590,1217,651,466,100,25,8,-,1,1
"성동구",왕십리도선동,11962,4879,2578,2243,1797,347,82,25,8,2,1
