"동별(1)",동별(2),2024. 06,2024. 06,2024. 06,2024. 06,2024. 06,2024. 06,2024. 06,2024. 06,2024. 06,2024. 06,2024. 06
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72394,38156,14584,10104,7134,1812,422,121,35,15,11
"종로구",사직동,4559,2323,937,660,480,115,26,12,2,1,3
"종로구",삼청동,1113,553,257,136,109,41,10,6,1,-,-
"종로구",부암동,4115,1657,1009,731,518,148,36,12,3,-,1
"종로구",평창동,7127,2267,1817,1454,1126,347,77,24,11,3,1
"종로구",무악동,3006,714,754,686,660,156,25,6,3,1,1
"종로구",교남동,4333,1617,1043,902,624,120,16,9,-,2,-
"종로구",가회동,1886,913,394,311,192,54,18,2,1,-,1
"종로구",종로1.2.3.4가동,4932,3945,503,264,161,44,12,2,-,1,-
"종로구",종로5.6가동,3555,2564,491,288,165,38,6,3,-,-,-
"종로구",이화동,4321,2838,761,392,250,56,16,5,1,2,-
"종로구",창신1동,2602,1534,546,310,150,50,8,4,-,-,-
"종로구",창신2동,3961,2026,967,527,333,77,26,3,2,-,-
"종로구",창신3동,2765,941,739,572,396,97,16,4,-,-,-
"종로구",숭인1동,2992,1492,704,436,272,62,24,2,-,-,-
"종로구",숭인2동,6935,5058,1035,479,291,58,12,2,-,-,-
"종로구",청운효자동,4996,1952,1161,951,692,177,42,13,5,3,-
"종로구",혜화동,9196,5762,1466,1005,715,172,52,12,6,2,4
"중구",소계,65273,35093,14296,8706,5429,1301,312,92,23,8,13
"중구",소공동,1253,757,243,147,89,7,6,3,-,-,1
"중구",회현동,2491,1516,435,291,176,52,13,6,1,1,-
"중구",명동,1378,961,211,107,73,18,2,3,-,1,2
"중구",필동,2748,1884,457,219,136,42,5,3,1,-,1
"중구",장충동,2857,1944,455,229,158,49,16,3,1,1,1
"중구",광희동,3992,2919,602,286,124,41,14,3,3,-,-
"중구",을지로동,2157,1522,406,148,62,16,3,-,-,-,-
"중구",신당5동,5437,2840,1255,738,467,105,21,7,2,2,-
"중구",황학동,7549,4499,1627,821,466,111,19,4,-,1,1
"중구",중림동,5974,2795,1307,1032,644,150,38,6,2,-,-
"중구",신당동,4732,3165,879,381,220,60,19,8,-,-,-
"중구",다산동,6811,3379,1631,970,656,131,28,11,3,-,2
"중구",약수동,7764,3219,2115,1410,783,170,47,14,3,-,3
"중구",청구동,6135,2572,1592,1056,695,172,38,7,-,2,1
"중구",동화동,3995,1121,1081,871,680,177,43,14,7,-,1
"용산구",소계,104187,51493,22983,15516,10664,2630,639,172,51,17,22
"용산구",후암동,8268,4253,1841,1181,733,191,42,20,2,1,4
