"동별(1)",동별(2),2022. 04,2022. 04,2022. 04,2022. 04,2022. 04,2022. 04,2022. 04,2022. 04,2022. 04,2022. 04,2022. 04
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73773,38430,14526,10363,7811,1991,481,113,37,11,10
"종로구",사직동,4677,2344,952,708,501,117,33,18,1,-,3
"종로구",삼청동,1209,614,256,154,127,37,16,5,-,-,-
"종로구",부암동,4244,1691,993,766,579,163,40,6,3,1,2
"종로구",평창동,7492,2449,1846,1486,1260,338,82,16,11,3,1
"종로구",무악동,3058,716,724,730,686,167,22,11,-,1,1
"종로구",교남동,4440,1660,1061,905,644,131,29,6,2,2,-
"종로구",가회동,1986,960,424,303,215,57,21,3,2,-,1
"종로구",종로1.2.3.4가동,5297,4241,527,280,183,47,12,5,2,-,-
"종로구",종로5.6가동,3424,2474,488,258,159,37,6,2,-,-,-
"종로구",이화동,4353,2801,754,419,287,67,16,5,2,2,-
"종로구",창신1동,2872,1761,550,307,175,61,14,4,-,-,-
"종로구",창신2동,4054,2023,950,559,382,114,22,2,2,-,-
"종로구",창신3동,2798,953,703,599,398,118,25,1,1,-,-
"종로구",숭인1동,2994,1483,677,434,303,75,18,4,-,-,-
"종로구",숭인2동,6365,4497,958,489,328,74,15,4,-,-,-
"종로구",청운효자동,5224,2020,1184,979,776,196,50,10,7,2,-
"종로구",혜화동,9286,5743,1479,987,808,192,60,11,4,-,2
"중구",소계,63834,33278,13941,8770,5903,1450,357,88,23,4,20
"중구",소공동,1319,809,245,170,74,14,3,2,1,-,1
"중구",회현동,2712,1660,475,295,207,53,11,8,1,1,1
"중구",명동,1549,1091,231,120,76,19,4,3,2,-,3
"중구",필동,2486,1665,401,230,138,41,9,1,-,-,1
"중구",장충동,2805,1869,447,237,175,56,16,1,1,-,3
"중구",광희동,3421,2388,536,292,145,39,16,2,2,-,1
"중구",을지로동,1353,1110,156,50,24,10,2,1,-,-,-
"중구",신당5동,5375,2756,1212,729,514,133,21,7,2,1,-
"중구",황학동,7209,4143,1547,868,511,103,26,9,-,1,1
"중구",중림동,5680,2477,1288,1005,704,163,32,11,-,-,-
"중구",신당동,4797,3141,874,440,250,66,20,5,1,-,-
"중구",다산동,6927,3304,1688,1004,714,165,38,9,3,-,2
"중구",약수동,7843,3160,2149,1389,869,197,60,12,3,-,4
"중구",청구동,6294,2548,1640,1091,770,186,50,4,2,1,2
"중구",동화동,4064,1157,1052,850,732,205,49,13,5,-,1
"용산구",소계,111293,54762,23938,16627,12159,2839,713,168,54,15,18
"용산구",후암동,8447,4228,1848,1235,850,211,46,18,5,2,4
"용산구",용산2가동,5248,2900,1210,633,384,96,21,3,1,-,-
"용산구",남영동,5196,3998,623,300,210,41,15,7,1,-,1
"용산구",원효로2동,6070,2346,1385,1158,902,198,61,14,1,1,4
"용산구",효창동,4531,1663,1115,826,697,173,42,10,2,2,1
"용산구",용문동,5402,2141,1307,1037,722,146,37,7,3,2,-
"용산구",이촌1동,9542,2098,2281,2401,2147,461,114,26,10,3,1
"용산구",이촌2동,3673,1331,983,738,463,121,27,9,1,-,-
"용산구",이태원1동,3594,2087,754,422,254,52,19,4,2,-,-
"용산구",이태원2동,4918,2714,1089,630,348,101,28,6,2,-,-
"용산구",서빙고동,5314,1830,1169,934,993,310,63,12,3,-,-
"용산구",보광동,7380,4056,1658,939,573,119,30,3,2,-,-
"용산구",청파동,11179,6917,2061,1145,789,202,49,10,1,1,4
"용산구",원효로1동,8213,4165,1714,1232,879,174,33,9,4,2,1
"용산구",한강로동,11648,6328,2426,1579,1042,199,52,14,7,-,1
"용산구",한남동,10938,5960,2315,1418,906,235,76,16,9,2,1
"성동구",소계,134437,58376,30198,23740,17525,3537,785,195,57,14,10
"성동구",왕십리2동,7405,2946,1718,1389,1073,200,64,9,4,1,1
"성동구",마장동,11054,5327,2399,1664,1285,279,75,11,10,2,2
"성동구",사근동,8158,6071,985,538,431,109,15,8,1,-,-
"성동구",행당1동,6527,2835,1402,1170,893,174,38,11,3,1,-
"성동구",행당2동,9220,2404,2442,2195,1755,329,68,20,4,2,1
"성동구",응봉동,6040,1673,1423,1427,1227,224,46,11,7,1,1
"성동구",금호1가동,6513,2160,1660,1462,981,197,40,12,1,-,-
"성동구",금호4가동,6352,2263,1621,1365,899,161,33,8,2,-,-
"성동구",성수1가1동,7756,3340,1790,1321,1055,193,46,5,6,-,-
"성동구",성수1가2동,6093,2825,1347,1018,708,159,28,6,1,1,-
"성동구",성수2가1동,8115,4110,1785,1198,809,166,35,8,3,1,-
"성동구",성수2가3동,5574,2975,1115,710,576,149,37,10,1,-,1
"성동구",송정동,5609,3036,1160,762,492,128,24,6,-,1,-
"성동구",용답동,7056,4599,1205,659,461,98,25,7,-,-,2
"성동구",왕십리도선동,12053,4958,2583,2269,1785,345,77,26,7,2,1
"성동구",금호2.3가동,10067,3627,2620,2057,1404,285,53,17,3,-,1
"성동구",옥수동,10845,3227,2943,2536,1691,341,81,20,4,2,-
"광진구",소계,169638,83102,35183,25530,20433,4186,893,230,53,15,13
"광진구",화양동,18336,15003,2047,689,474,90,24,7,1,-,1
"광진구",군자동,11392,6979,2054,1326,800,170,47,12,2,1,1
"광진구",중곡1동,8367,4478,1922,1072,701,150,33,9,1,1,-
"광진구",중곡2동,10678,5035,2545,1643,1123,260,55,11,5,1,-
"광진구",중곡3동,8498,4345,2006,1145,796,176,20,8,2,-,-
"광진구",중곡4동,13178,5279,3340,2417,1659,376,82,18,4,2,1
"광진구",능동,6443,3811,1291,701,486,111,34,8,1,-,-
"광진구",구의1동,12863,7381,2593,1509,1078,244,43,11,1,-,3
"광진구",구의2동,11598,4356,2751,2175,1790,401,86,30,5,1,3
"광진구",구의3동,12177,4340,2687,2482,2137,418,84,22,5,1,1
"광진구",광장동,11908,2280,2101,3117,3618,626,127,28,8,2,1
"광진구",자양1동,11971,6528,2483,1555,1096,249,46,8,4,2,-
"광진구",자양2동,10999,4302,2630,2059,1573,337,73,20,3,1,1
"광진구",자양3동,11121,3225,2622,2407,2320,406,100,29,9,3,-
"광진구",자양4동,10109,5760,2111,1233,782,172,39,9,2,-,1
"동대문구",소계,169650,84160,35218,25481,19121,4402,959,228,55,16,10
"동대문구",회기동,6701,4655,937,539,443,96,24,4,2,1,-
"동대문구",휘경1동,7753,4588,1322,909,719,163,41,9,1,-,1
"동대문구",휘경2동,12230,6353,2244,1755,1458,336,65,13,4,-,2
"동대문구",청량리동,9698,4841,2269,1378,920,225,52,10,3,-,-
"동대문구",용신동,19513,12381,3420,1984,1338,298,73,16,3,-,-
"동대문구",제기동,13536,7670,2710,1649,1129,293,65,15,2,2,1
"동대문구",전농1동,14867,7504,3133,2246,1544,351,61,22,5,-,1
"동대문구",전농2동,7621,2356,1962,1595,1328,299,66,11,2,1,1
"동대문구",답십리2동,12587,4708,3215,2405,1746,392,93,20,7,1,-
"동대문구",장안1동,18459,8391,4172,3009,2201,551,99,26,7,3,-
"동대문구",장안2동,14110,5173,3236,2810,2288,445,122,28,4,2,2
"동대문구",이문1동,10691,6811,1744,1052,828,194,45,11,3,2,1
"동대문구",이문2동,8762,3331,2044,1630,1336,327,69,21,1,2,1
"동대문구",답십리1동,13122,5398,2810,2520,1843,432,84,22,11,2,-
"중랑구",소계,187953,83245,45187,31049,22173,5026,977,228,40,18,10
"중랑구",면목2동,12266,5983,2807,1888,1230,292,48,11,6,1,-
"중랑구",면목4동,9131,3968,2266,1557,1035,243,47,15,-,-,-
"중랑구",면목5동,6479,2205,1668,1398,974,196,28,10,-,-,-
"중랑구",면목7동,10584,4679,2627,1765,1201,244,54,9,4,1,-
"중랑구",상봉1동,10234,3421,2588,2133,1702,312,63,12,2,1,-
"중랑구",상봉2동,12264,7627,2446,1302,692,154,32,10,1,-,-
"중랑구",중화1동,9094,3620,2389,1670,1108,250,42,11,2,2,-
"중랑구",중화2동,13650,7370,3147,1765,1073,229,49,11,2,2,2
"중랑구",묵1동,15045,5593,3554,2844,2331,573,117,27,-,6,-
"중랑구",묵2동,9279,4247,2322,1478,957,216,51,6,-,1,1
"중랑구",망우3동,8234,3927,1979,1308,788,185,38,6,2,1,-
"중랑구",신내1동,14784,3934,3747,3073,2957,849,169,44,7,1,3
"중랑구",신내2동,9007,3203,2407,1799,1275,259,50,8,5,-,1
