"동별(1)",동별(2),2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72679,37998,14406,10275,7501,1877,458,114,31,8,11
"종로구",사직동,4588,2332,921,660,513,113,27,17,3,-,2
"종로구",삼청동,1144,564,253,147,121,41,13,5,-,-,-
"종로구",부암동,4122,1639,984,757,548,137,43,10,3,-,1
"종로구",평창동,7248,2336,1792,1475,1191,339,80,21,12,-,2
"종로구",무악동,3014,699,738,707,683,154,22,9,-,1,1
"종로구",교남동,4375,1648,1059,888,623,127,20,8,-,2,-
"종로구",가회동,1944,934,404,316,214,53,18,3,1,-,1
"종로구",종로1.2.3.4가동,4947,3953,504,263,170,40,12,3,1,1,-
"종로구",종로5.6가동,3593,2580,500,287,181,36,7,2,-,-,-
"종로구",이화동,4303,2796,737,415,263,66,19,4,-,2,1
"종로구",창신1동,2690,1605,562,299,154,53,13,4,-,-,-
"종로구",창신2동,4006,2025,949,552,362,89,26,2,1,-,-
"종로구",창신3동,2776,945,705,593,392,116,22,2,1,-,-
"종로구",숭인1동,2966,1464,690,432,289,71,19,1,-,-,-
"종로구",숭인2동,6584,4734,976,475,315,65,17,2,-,-,-
"종로구",청운효자동,5117,1968,1165,1000,731,191,46,9,5,2,-
"종로구",혜화동,9262,5776,1467,1009,751,186,54,12,4,-,3
"중구",소계,63862,33652,13964,8662,5768,1356,321,90,28,7,14
"중구",소공동,1262,760,241,155,87,9,6,2,1,-,1
"중구",회현동,2544,1537,444,301,192,50,10,8,1,1,-
"중구",명동,1447,1011,213,120,78,13,4,4,1,1,2
"중구",필동,2442,1621,416,207,144,42,7,4,-,-,1
"중구",장충동,2869,1951,444,234,173,47,14,3,-,1,2
"중구",광희동,3731,2675,582,269,149,33,19,2,2,-,-
"중구",을지로동,1500,1175,198,80,36,9,2,-,-,-,-
"중구",신당5동,5354,2759,1240,703,505,118,19,6,2,2,-
"중구",황학동,7398,4319,1576,851,518,103,21,8,-,1,1
"중구",중림동,5739,2554,1298,989,694,158,33,10,3,-,-
"중구",신당동,4785,3187,857,415,238,61,21,4,2,-,-
"중구",다산동,6838,3295,1662,995,689,149,36,8,2,-,2
"중구",약수동,7778,3148,2135,1430,816,182,46,16,2,-,3
"중구",청구동,6193,2544,1616,1062,736,185,41,5,2,1,1
"중구",동화동,3982,1116,1042,851,713,197,42,10,10,-,1
"용산구",소계,109735,54172,23905,16353,11594,2761,693,173,50,17,17
"용산구",후암동,8312,4235,1812,1189,796,208,42,20,5,1,4
"용산구",용산2가동,5081,2829,1180,610,348,92,18,3,1,-,-
"용산구",남영동,5027,3860,625,294,187,43,12,5,-,-,1
"용산구",원효로2동,6143,2462,1399,1130,872,200,60,11,5,1,3
"용산구",효창동,4721,1731,1177,875,722,153,50,7,2,4,-
"용산구",용문동,5321,2121,1329,1017,665,145,32,7,3,2,-
"용산구",이촌1동,9149,1868,2231,2379,2074,451,103,29,10,2,2
"용산구",이촌2동,3598,1311,983,724,428,115,29,8,-,-,-
"용산구",이태원1동,3473,1982,760,402,248,55,22,3,1,-,-
"용산구",이태원2동,4816,2683,1062,600,345,89,33,2,2,-,-
"용산구",서빙고동,5103,1692,1172,933,928,295,62,18,3,-,-
"용산구",보광동,7025,3820,1634,921,514,111,21,3,-,1,-
"용산구",청파동,11126,6927,2105,1095,739,196,47,12,1,1,3
"용산구",원효로1동,9256,5075,1857,1236,858,184,31,9,4,1,1
"용산구",한강로동,11315,6090,2340,1587,1025,194,59,12,5,1,2
"용산구",한남동,10269,5486,2239,1361,845,230,72,24,8,3,1
"성동구",소계,133513,58627,30252,23318,16878,3403,767,190,52,16,10
"성동구",왕십리2동,7397,2970,1702,1405,1039,203,63,11,2,1,1
"성동구",마장동,10935,5314,2364,1639,1243,266,87,9,8,2,3
"성동구",사근동,8297,6236,978,547,420,96,12,8,-,-,-
"성동구",행당1동,6469,2835,1362,1202,848,177,30,10,4,1,-
"성동구",행당2동,9242,2465,2457,2213,1699,314,66,21,4,1,2
"성동구",응봉동,5933,1605,1473,1385,1191,217,44,12,4,2,-
"성동구",금호1가동,6539,2249,1666,1416,962,191,40,11,3,1,-
"성동구",금호4가동,6372,2286,1663,1341,870,168,36,7,1,-,-
"성동구",성수1가1동,7486,3251,1764,1262,979,176,45,5,4,-,-
"성동구",성수1가2동,5968,2779,1343,963,696,143,32,9,2,1,-
"성동구",성수2가1동,7819,3946,1758,1156,762,152,32,8,5,-,-
"성동구",성수2가3동,5319,2789,1087,717,549,139,27,9,1,-,1
"성동구",송정동,5455,3007,1140,692,475,114,19,6,-,2,-
"성동구",용답동,7437,5025,1248,600,434,94,30,4,-,-,2
"성동구",왕십리도선동,12185,5112,2687,2222,1712,348,72,25,5,1,1
"성동구",금호2.3가동,9922,3583,2593,2042,1357,272,51,17,6,1,-
"성동구",옥수동,10738,3175,2967,2516,1642,333,81,18,3,3,-
"광진구",소계,169787,84456,35207,25343,19620,3978,889,208,60,14,12
"광진구",화양동,18273,15075,1951,687,437,87,27,7,1,-,1
"광진구",군자동,11396,7055,2032,1300,800,153,42,10,2,2,-
"광진구",중곡1동,8662,4833,1919,1079,654,142,26,9,-,-,-
"광진구",중곡2동,10641,5184,2491,1574,1081,241,56,10,3,1,-
"광진구",중곡3동,8552,4424,2079,1112,735,170,22,7,3,-,-
"광진구",중곡4동,13103,5377,3358,2301,1610,348,82,22,2,2,1
"광진구",능동,6435,3820,1303,713,446,111,36,5,1,-,-
"광진구",구의1동,13131,7543,2658,1550,1074,244,50,7,3,-,2
"광진구",구의2동,11508,4398,2746,2157,1710,378,85,26,4,-,4
"광진구",구의3동,12118,4353,2716,2478,2059,392,94,16,9,-,1
"광진구",광장동,11811,2292,2090,3126,3541,604,118,25,11,2,2
"광진구",자양1동,12024,6654,2490,1513,1081,229,41,11,3,2,-
"광진구",자양2동,10855,4298,2616,2051,1468,322,73,19,7,-,1
"광진구",자양3동,11002,3209,2585,2481,2193,398,96,27,9,4,-
"광진구",자양4동,10276,5941,2173,1221,731,159,41,7,2,1,-
"동대문구",소계,171140,85784,35764,25335,18673,4350,938,214,57,17,8
"동대문구",회기동,6775,4795,907,514,436,95,23,2,2,-,1
"동대문구",휘경1동,7873,4751,1297,905,709,164,38,7,1,1,-
"동대문구",휘경2동,12815,6903,2416,1710,1387,325,55,14,3,1,1
"동대문구",청량리동,9763,4967,2301,1318,890,215,58,10,4,-,-
"동대문구",용신동,20477,12536,3691,2257,1559,336,76,19,2,1,-
"동대문구",제기동,13492,7775,2679,1619,1068,265,67,13,3,1,2
"동대문구",전농1동,14844,7529,3200,2202,1487,332,62,25,5,1,1
"동대문구",전농2동,7553,2370,1927,1613,1269,294,67,10,1,1,1
"동대문구",답십리2동,12506,4706,3245,2360,1704,380,85,17,8,1,-
"동대문구",장안1동,18489,8488,4181,3028,2108,546,101,27,6,4,-
"동대문구",장안2동,14192,5269,3301,2806,2192,474,118,24,4,2,2
"동대문구",이문1동,10794,7016,1725,1019,785,188,45,10,4,2,-
"동대문구",이문2동,8707,3330,2096,1573,1304,320,66,14,4,-,-
"동대문구",답십리1동,12860,5349,2798,2411,1775,416,77,22,10,2,-
"중랑구",소계,187898,84067,45777,30689,21362,4797,934,211,36,17,8
"중랑구",면목2동,12219,5938,2917,1858,1180,262,46,11,6,1,-
"중랑구",면목4동,8937,3926,2260,1447,1017,230,46,11,-,-,-
"중랑구",면목5동,6459,2241,1664,1389,943,184,27,9,1,1,-
"중랑구",면목7동,10613,4783,2648,1730,1162,230,49,7,3,1,-
