"동별(1)",동별(2),2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07,2022. 07
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73756,38536,14539,10379,7696,1955,474,118,39,9,11
"종로구",사직동,4669,2352,953,686,512,113,31,16,3,-,3
"종로구",삼청동,1187,601,252,151,119,43,16,5,-,-,-
"종로구",부암동,4234,1693,981,790,564,153,39,8,3,1,2
"종로구",평창동,7439,2425,1843,1461,1256,330,88,21,12,1,2
"종로구",무악동,3052,712,737,715,693,163,20,10,-,1,1
"종로구",교남동,4437,1661,1072,898,641,128,25,9,1,2,-
"종로구",가회동,1980,963,421,307,206,55,22,3,2,-,1
"종로구",종로1.2.3.4가동,5299,4254,526,275,183,42,12,5,2,-,-
"종로구",종로5.6가동,3425,2488,480,261,153,36,5,2,-,-,-
"종로구",이화동,4367,2812,756,428,283,64,16,4,2,2,-
"종로구",창신1동,2856,1752,559,299,169,58,15,4,-,-,-
"종로구",창신2동,4046,2026,941,566,374,109,25,3,2,-,-
"종로구",창신3동,2804,957,711,597,392,123,22,1,1,-,-
"종로구",숭인1동,3003,1502,673,442,291,73,19,3,-,-,-
"종로구",숭인2동,6463,4602,948,495,325,76,14,3,-,-,-
"종로구",청운효자동,5195,1998,1187,992,756,194,49,10,7,2,-
"종로구",혜화동,9300,5738,1499,1016,779,195,56,11,4,-,2
"중구",소계,64040,33486,14016,8760,5854,1431,351,94,23,6,19
"중구",소공동,1298,793,244,167,76,11,3,2,1,-,1
"중구",회현동,2699,1657,461,301,200,58,10,9,1,1,1
"중구",명동,1562,1098,230,127,74,20,5,3,2,-,3
"중구",필동,2504,1673,417,225,132,43,12,1,-,-,1
"중구",장충동,2873,1928,458,241,172,52,16,2,1,-,3
"중구",광희동,3460,2425,544,284,144,40,17,3,2,1,-
"중구",을지로동,1353,1108,156,53,24,8,4,-,-,-,-
"중구",신당5동,5380,2751,1229,738,503,129,22,5,2,1,-
"중구",황학동,7216,4151,1557,849,518,104,25,10,-,1,1
"중구",중림동,5701,2474,1304,1012,704,164,33,8,2,-,-
"중구",신당동,4860,3199,888,440,242,66,18,5,1,1,-
"중구",다산동,6934,3323,1683,1005,711,159,39,10,2,-,2
"중구",약수동,7851,3185,2148,1388,860,199,48,17,2,-,4
"중구",청구동,6286,2550,1649,1082,765,182,50,3,2,1,2
"중구",동화동,4063,1171,1048,848,729,196,49,16,5,-,1
"용산구",소계,111948,55480,24012,16627,12076,2781,723,164,53,15,17
"용산구",후암동,8440,4259,1830,1241,826,208,48,16,6,2,4
"용산구",용산2가동,5221,2890,1213,626,376,90,22,3,1,-,-
"용산구",남영동,5146,3960,628,292,202,42,14,7,-,-,1
"용산구",원효로2동,6056,2357,1364,1158,894,202,63,13,1,1,3
"용산구",효창동,4693,1733,1149,856,728,167,44,11,2,2,1
"용산구",용문동,5394,2163,1292,1054,702,133,39,7,2,2,-
"용산구",이촌1동,9525,2093,2296,2414,2125,449,108,25,10,4,1
"용산구",이촌2동,3672,1338,976,740,464,120,25,8,1,-,-
"용산구",이태원1동,3607,2103,757,408,259,55,20,3,2,-,-
"용산구",이태원2동,4929,2742,1086,614,353,99,28,6,1,-,-
"용산구",서빙고동,5311,1814,1194,942,973,310,60,15,3,-,-
"용산구",보광동,7330,4040,1638,939,563,116,30,4,-,-,-
"용산구",청파동,11202,6951,2082,1128,783,189,52,11,1,1,4
"용산구",원효로1동,8899,4807,1771,1235,868,176,27,7,6,1,1
"용산구",한강로동,11629,6293,2426,1568,1064,198,60,12,7,-,1
"용산구",한남동,10894,5937,2310,1412,896,227,83,16,10,2,1
"성동구",소계,134387,58654,30206,23617,17332,3530,776,185,59,16,12
"성동구",왕십리2동,7387,2954,1715,1377,1058,207,62,9,3,1,1
"성동구",마장동,11066,5344,2405,1665,1274,276,77,11,9,2,3
"성동구",사근동,8206,6098,1009,537,433,107,14,8,-,-,-
"성동구",행당1동,6520,2840,1398,1177,880,175,37,9,3,1,-
"성동구",행당2동,9236,2444,2423,2200,1744,323,74,21,4,2,1
"성동구",응봉동,6033,1685,1437,1410,1210,228,45,9,6,2,1
"성동구",금호1가동,6506,2180,1647,1447,983,193,43,10,3,-,-
"성동구",금호4가동,6334,2255,1618,1375,887,159,30,8,2,-,-
"성동구",성수1가1동,7751,3360,1778,1330,1030,201,42,4,6,-,-
"성동구",성수1가2동,6009,2772,1346,1006,695,154,29,4,2,1,-
"성동구",성수2가1동,8108,4130,1791,1177,795,170,33,8,3,1,-
"성동구",성수2가3동,5570,2996,1105,699,572,150,37,8,1,1,1
"성동구",송정동,5535,3013,1141,733,493,126,22,6,-,1,-
"성동구",용답동,7142,4725,1201,639,446,99,23,7,-,-,2
"성동구",왕십리도선동,12115,4996,2626,2272,1761,345,76,28,8,1,2
"성동구",금호2.3가동,10058,3653,2601,2066,1379,286,52,17,3,-,1
"성동구",옥수동,10811,3209,2965,2507,1692,331,80,18,6,3,-
"광진구",소계,169985,83663,35251,25577,20150,4154,884,223,56,14,13
"광진구",화양동,18457,15165,2019,689,455,93,25,9,-,1,1
"광진구",군자동,11437,7026,2055,1340,795,160,45,12,2,1,1
"광진구",중곡1동,8349,4474,1918,1073,691,153,31,8,-,-,1
"광진구",중곡2동,10670,5092,2528,1615,1111,251,57,11,4,1,-
"광진구",중곡3동,8555,4408,2025,1143,771,177,20,8,3,-,-
"광진구",중곡4동,13144,5294,3330,2392,1651,374,80,17,3,2,1
"광진구",능동,6467,3829,1307,714,464,113,31,8,1,-,-
"광진구",구의1동,13027,7442,2648,1542,1090,245,48,8,2,-,2
"광진구",구의2동,11603,4395,2738,2195,1747,402,85,32,5,1,3
"광진구",구의3동,12157,4319,2710,2472,2134,409,89,16,7,-,1
"광진구",광장동,11882,2288,2098,3136,3570,622,128,27,9,2,2
"광진구",자양1동,11996,6579,2489,1550,1080,243,42,8,3,2,-
"광진구",자양2동,10950,4290,2618,2071,1541,335,70,20,4,1,-
"광진구",자양3동,11091,3222,2630,2409,2276,414,96,30,11,3,-
"광진구",자양4동,10200,5840,2138,1236,774,163,37,9,2,-,1
"동대문구",소계,170066,84724,35436,25322,18951,4388,943,219,57,17,9
"동대문구",회기동,6736,4701,936,541,431,96,25,3,2,1,-
"동대문구",휘경1동,7830,4667,1323,914,713,166,36,9,1,-,1
"동대문구",휘경2동,12260,6437,2241,1736,1430,337,59,14,4,-,2
"동대문구",청량리동,9725,4882,2296,1351,910,219,54,10,3,-,-
"동대문구",용신동,19611,12427,3476,1983,1341,297,69,15,3,-,-
"동대문구",제기동,13585,7743,2706,1655,1107,292,61,16,2,2,1
"동대문구",전농1동,14828,7508,3149,2215,1519,347,58,25,5,1,1
"동대문구",전농2동,7628,2371,1949,1599,1327,295,74,9,2,1,1
"동대문구",답십리2동,12586,4714,3209,2420,1736,392,89,19,6,1,-
"동대문구",장안1동,18458,8391,4225,2979,2188,536,98,28,11,2,-
"동대문구",장안2동,14126,5179,3277,2788,2268,463,120,25,3,1,2
"동대문구",이문1동,10789,6925,1760,1032,818,189,49,9,3,3,1
"동대문구",이문2동,8747,3326,2068,1611,1328,325,67,19,1,2,-
"동대문구",답십리1동,13157,5453,2821,2498,1835,434,84,18,11,3,-
"중랑구",소계,188269,83652,45547,30906,21938,4971,963,225,39,17,11
"중랑구",면목2동,12325,5988,2883,1882,1221,283,49,11,7,1,-
"중랑구",면목4동,9076,3947,2284,1514,1025,247,45,14,-,-,-
"중랑구",면목5동,6468,2212,1665,1399,967,190,25,10,-,-,-
"중랑구",면목7동,10584,4699,2636,1758,1186,241,51,9,3,1,-
"중랑구",상봉1동,10240,3432,2640,2102,1683,308,60,13,1,1,-
"중랑구",상봉2동,12258,7647,2413,1312,689,154,33,8,-,1,1
"중랑구",중화1동,9063,3607,2406,1655,1085,255,40,11,2,2,-
"중랑구",중화2동,13675,7430,3157,1737,1066,222,47,10,2,2,2
"중랑구",묵1동,15105,5651,3553,2861,2311,578,118,27,-,6,-
"중랑구",묵2동,9255,4246,2327,1463,952,214,44,6,2,-,1
"중랑구",망우3동,8276,3973,2019,1287,766,186,36,6,2,1,-
"중랑구",신내1동,14844,3959,3810,3086,2933,825,177,43,7,1,3
"중랑구",신내2동,9018,3215,2437,1782,1269,250,51,8,5,-,1
"중랑구",면목본동,17788,9156,4149,2531,1548,330,59,10,3,1,1
"중랑구",면목3.8동,12670,6173,3123,1839,1229,235,53,16,2,-,-
"중랑구",망우본동,17624,8317,4045,2698,2008,453,75,23,3,-,2
"성북구",소계,198258,82477,44182,34899,28648,6302,1301,306,86,28,29
"성북구",돈암1동,6097,1903,1659,1254,1006,211,51,9,1,2,1
"성북구",돈암2동,8567,1792,1984,2154,2050,444,107,25,7,2,2
"성북구",안암동,9728,6812,1403,794,570,114,25,7,1,1,1
"성북구",보문동,8145,3961,1703,1245,980,211,30,11,2,1,1
"성북구",정릉1동,7386,2330,1695,1656,1321,289,74,14,2,2,3
"성북구",정릉2동,9919,3452,2538,1991,1502,323,77,26,8,1,1
"성북구",정릉3동,8198,4654,1642,998,674,174,41,8,1,2,4
"성북구",정릉4동,10892,3975,2752,2115,1579,357,79,25,7,2,1
"성북구",길음1동,12463,2559,2573,3123,3426,633,112,20,9,2,6
"성북구",길음2동,8605,2574,1935,1894,1756,366,64,13,3,-,-
"성북구",월곡1동,10902,3513,2670,2270,1907,432,84,20,4,2,-
"성북구",월곡2동,9697,4786,2067,1410,1099,259,56,11,8,1,-
"성북구",장위1동,10764,4088,2655,1962,1610,360,68,17,2,2,-
"성북구",장위2동,6728,2985,1772,1080,659,174,46,9,1,2,-
"성북구",장위3동,6445,2105,1381,1369,1288,245,45,8,3,1,-
"성북구",성북동,8244,4092,1835,1184,816,228,59,19,5,-,6
"성북구",삼선동,11596,5984,2354,1565,1291,302,74,18,6,1,1
"성북구",동선동,9747,6627,1538,836,563,144,27,7,3,1,1
"성북구",종암동,17222,6830,3869,3146,2637,601,106,22,9,2,-
"성북구",석관동,16913,7455,4157,2853,1914,435,76,17,4,1,1
"강북구",소계,145198,65563,35359,23395,16155,3736,775,144,38,16,17
"강북구",번1동,10466,6028,2188,1270,785,154,37,3,-,1,-
"강북구",번2동,7556,3157,2155,1256,740,196,42,7,1,-,2
"강북구",번3동,7444,2573,2245,1370,959,234,55,6,2,-,-
"강북구",수유1동,10560,5166,2560,1560,967,234,56,9,2,2,4
"강북구",수유2동,9875,3959,2639,1754,1159,290,56,11,3,2,2
"강북구",수유3동,13363,7928,2647,1614,904,217,40,8,2,3,-
"강북구",삼양동,11083,4703,2761,1906,1313,313,73,9,3,2,-
"강북구",미아동,11671,6398,2541,1493,942,232,48,9,5,2,1
"강북구",송중동,14121,6291,3341,2341,1661,374,86,18,5,1,3
"강북구",송천동,13479,6630,3317,1909,1290,274,47,7,2,1,2
"강북구",삼각산동,11502,2684,2611,2757,2743,574,102,24,7,-,-
"강북구",우이동,9681,3947,2606,1669,1133,256,51,13,4,1,1
"강북구",인수동,14397,6099,3748,2496,1559,388,82,20,2,1,2
"도봉구",소계,139225,50032,36268,27036,20130,4546,895,221,65,25,7
"도봉구",쌍문1동,9463,3418,2541,1844,1213,350,74,16,3,4,-
"도봉구",쌍문2동,8625,3349,2345,1561,1061,240,52,11,4,-,2
"도봉구",쌍문3동,8268,3697,2001,1389,930,212,29,10,-,-,-
"도봉구",쌍문4동,7115,1729,1796,1690,1543,296,50,9,2,-,-
"도봉구",방학1동,13041,5253,3218,2248,1775,427,91,21,5,2,1
"도봉구",방학2동,9396,4023,2467,1582,996,261,52,11,2,2,-
"도봉구",방학3동,9981,2084,2656,2461,2148,496,97,26,7,4,2
"도봉구",창1동,10980,4144,2733,2081,1642,301,62,12,3,2,-
"도봉구",창2동,12633,4355,3408,2551,1760,433,80,31,11,3,1
"도봉구",창3동,6554,2714,1786,1078,753,182,25,12,4,-,-
"도봉구",창4동,10689,3178,2571,2394,2067,387,72,11,7,1,1
"도봉구",창5동,10279,3253,2684,2184,1701,354,77,16,6,4,-
"도봉구",도봉1동,10401,4639,2818,1663,971,237,52,14,6,1,-
"도봉구",도봉2동,11800,4196,3244,2310,1570,370,82,21,5,2,-
"노원구",소계,218652,76902,52406,43018,37375,7260,1293,283,74,22,19
"노원구",월계1동,10147,4606,2206,1621,1334,322,42,12,4,-,-
"노원구",월계2동,11847,4408,3187,2179,1643,350,66,8,3,2,1
"노원구",월계3동,12967,4392,3568,2673,1831,388,91,17,5,1,1
