"동별(1)",동별(2),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72644,38009,14406,10259,7481,1869,455,115,32,7,11
"종로구",사직동,4584,2330,919,654,520,112,28,16,3,-,2
"종로구",삼청동,1138,556,264,139,119,41,14,5,-,-,-
"종로구",부암동,4125,1642,983,750,551,140,44,11,3,-,1
"종로구",평창동,7238,2338,1786,1476,1184,338,80,22,12,-,2
"종로구",무악동,3014,702,740,698,687,155,22,8,-,1,1
"종로구",교남동,4377,1645,1055,899,622,126,19,9,1,1,-
"종로구",가회동,1938,929,411,314,210,51,18,3,1,-,1
"종로구",종로1.2.3.4가동,4951,3961,501,263,170,39,12,3,1,1,-
"종로구",종로5.6가동,3608,2597,499,284,181,37,7,3,-,-,-
"종로구",이화동,4292,2785,744,410,262,65,19,4,-,2,1
"종로구",창신1동,2703,1614,565,299,157,51,13,4,-,-,-
"종로구",창신2동,4001,2025,950,553,356,89,25,2,1,-,-
"종로구",창신3동,2776,949,704,594,389,115,22,2,1,-,-
"종로구",숭인1동,2974,1475,686,433,289,71,19,1,-,-,-
"종로구",숭인2동,6582,4734,978,473,314,65,16,2,-,-,-
"종로구",청운효자동,5109,1972,1163,997,726,193,42,9,5,2,-
"종로구",혜화동,9234,5755,1458,1023,744,181,55,11,4,-,3
"중구",소계,64081,33841,13980,8671,5755,1370,328,87,28,7,14
"중구",소공동,1262,764,232,158,88,11,5,2,1,-,1
"중구",회현동,2546,1537,447,297,192,52,10,9,1,1,-
"중구",명동,1439,1000,218,121,75,14,4,3,1,1,2
"중구",필동,2438,1623,414,205,142,42,7,4,-,-,1
"중구",장충동,2870,1955,447,231,170,47,14,3,-,1,2
"중구",광희동,3789,2727,584,273,149,33,18,3,2,-,-
"중구",을지로동,1684,1299,224,99,49,11,2,-,-,-,-
"중구",신당5동,5355,2756,1238,707,507,118,20,5,2,2,-
"중구",황학동,7426,4350,1585,847,509,104,21,8,-,1,1
"중구",중림동,5729,2551,1289,990,694,158,36,9,2,-,-
"중구",신당동,4774,3171,865,411,236,65,20,4,2,-,-
"중구",다산동,6829,3295,1659,994,688,145,35,8,3,-,2
"중구",약수동,7780,3151,2139,1429,807,186,47,16,2,-,3
"중구",청구동,6183,2553,1596,1060,736,186,45,3,2,1,1
"중구",동화동,3977,1109,1043,849,713,198,44,10,10,-,1
"용산구",소계,109712,54175,23928,16341,11565,2750,698,174,46,18,17
"용산구",후암동,8294,4226,1816,1176,796,206,43,22,4,1,4
"용산구",용산2가동,5085,2827,1190,610,345,90,19,3,1,-,-
"용산구",남영동,4994,3834,618,300,182,44,10,5,-,-,1
"용산구",원효로2동,6170,2477,1410,1133,872,199,58,11,6,1,3
"용산구",효창동,4724,1742,1178,866,722,152,50,7,2,5,-
"용산구",용문동,5318,2117,1336,1018,658,143,36,5,3,2,-
"용산구",이촌1동,9152,1870,2224,2386,2075,452,104,28,9,2,2
"용산구",이촌2동,3606,1313,1001,709,430,115,30,8,-,-,-
"용산구",이태원1동,3479,2007,739,402,250,56,22,2,1,-,-
"용산구",이태원2동,4819,2689,1058,594,350,91,33,2,2,-,-
"용산구",서빙고동,5104,1691,1173,941,923,294,62,18,2,-,-
"용산구",보광동,7006,3807,1639,913,510,110,22,4,-,1,-
"용산구",청파동,11114,6918,2104,1100,733,194,47,13,1,1,3
"용산구",원효로1동,9283,5102,1851,1252,851,181,31,10,3,1,1
"용산구",한강로동,11344,6108,2351,1587,1025,196,56,12,6,1,2
