"동별(1)",동별(2),2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08,2022. 08
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73866,38702,14536,10356,7680,1945,473,114,40,9,11
"종로구",사직동,4668,2362,951,677,508,115,33,15,4,-,3
"종로구",삼청동,1188,602,248,156,118,43,16,5,-,-,-
"종로구",부암동,4232,1696,981,785,565,152,39,8,3,1,2
"종로구",평창동,7418,2412,1848,1457,1248,331,88,20,12,-,2
"종로구",무악동,3049,714,741,711,692,157,22,10,-,1,1
"종로구",교남동,4434,1659,1062,905,644,130,23,8,1,2,-
"종로구",가회동,1968,961,417,305,202,57,18,4,2,1,1
"종로구",종로1.2.3.4가동,5322,4279,522,279,182,40,13,5,2,-,-
"종로구",종로5.6가동,3448,2514,482,259,149,36,6,2,-,-,-
"종로구",이화동,4315,2768,748,425,285,66,15,4,2,2,-
"종로구",창신1동,2864,1763,558,298,171,58,12,4,-,-,-
"종로구",창신2동,4042,2024,941,561,381,105,25,3,2,-,-
"종로구",창신3동,2803,960,715,592,389,123,22,1,1,-,-
"종로구",숭인1동,3002,1503,678,432,293,74,19,3,-,-,-
"종로구",숭인2동,6558,4684,957,501,321,78,14,3,-,-,-
"종로구",청운효자동,5198,2006,1184,995,753,193,50,8,7,2,-
"종로구",혜화동,9357,5795,1503,1018,779,187,58,11,4,-,2
"중구",소계,64011,33525,13981,8746,5857,1411,349,95,22,6,19
"중구",소공동,1303,798,246,165,77,9,4,2,1,-,1
"중구",회현동,2692,1651,459,299,200,59,11,10,1,1,1
"중구",명동,1565,1103,228,123,78,20,5,3,2,-,3
"중구",필동,2508,1682,414,222,135,42,11,1,-,-,1
"중구",장충동,2900,1957,453,243,176,48,17,2,1,-,3
"중구",광희동,3482,2444,547,280,147,38,20,3,2,1,-
"중구",을지로동,1344,1103,154,54,22,8,3,-,-,-,-
"중구",신당5동,5373,2745,1232,735,501,130,21,6,2,1,-
"중구",황학동,7221,4153,1559,854,515,105,23,10,-,1,1
"중구",중림동,5712,2490,1316,997,704,162,33,8,2,-,-
"중구",신당동,4863,3215,880,440,238,66,18,5,1,-,-
"중구",다산동,6919,3312,1679,1007,714,155,38,10,2,-,2
"중구",약수동,7766,3122,2132,1392,859,195,44,17,1,-,4
"중구",청구동,6292,2567,1645,1078,759,183,52,3,2,1,2
"중구",동화동,4071,1183,1037,857,732,191,49,15,5,1,1
"용산구",소계,112074,55666,24015,16607,12029,2785,717,169,54,14,18
"용산구",후암동,8433,4259,1824,1249,821,205,47,16,6,2,4
"용산구",용산2가동,5219,2906,1195,623,378,91,22,3,1,-,-
"용산구",남영동,5155,3968,625,297,201,43,13,7,-,-,1
"용산구",원효로2동,6083,2376,1374,1151,898,205,61,13,1,1,3
"용산구",효창동,4656,1712,1151,849,722,161,45,11,2,2,1
"용산구",용문동,5392,2170,1289,1053,693,137,38,8,2,2,-
"용산구",이촌1동,9522,2099,2289,2418,2120,442,112,27,10,3,2
"용산구",이촌2동,3666,1341,963,741,465,123,24,8,1,-,-
"용산구",이태원1동,3588,2089,752,414,249,60,20,2,2,-,-
"용산구",이태원2동,4932,2754,1083,608,356,96,29,5,1,-,-
"용산구",서빙고동,5294,1816,1195,933,964,307,58,18,3,-,-
"용산구",보광동,7309,4028,1636,935,562,117,27,4,-,-,-
"용산구",청파동,11225,6968,2097,1127,772,193,51,11,1,1,4
"용산구",원효로1동,9086,4946,1813,1237,868,177,29,8,6,1,1
"용산구",한강로동,11644,6305,2433,1558,1066,205,56,12,8,-,1
"용산구",한남동,10870,5929,2296,1414,894,223,85,16,10,2,1
"성동구",소계,134616,58961,30242,23551,17299,3507,782,186,60,16,12
"성동구",왕십리2동,7406,2974,1724,1372,1055,205,61,10,3,1,1
"성동구",마장동,11100,5382,2400,1665,1274,276,77,11,10,2,3
"성동구",사근동,8255,6157,1005,537,431,103,14,8,-,-,-
"성동구",행당1동,6503,2828,1408,1167,879,171,37,9,3,1,-
"성동구",행당2동,9257,2489,2414,2192,1739,320,73,22,5,2,1
"성동구",응봉동,6035,1680,1449,1407,1204,230,46,10,6,2,1
"성동구",금호1가동,6522,2200,1658,1439,976,193,44,9,2,1,-
"성동구",금호4가동,6325,2252,1615,1366,889,162,32,7,2,-,-
"성동구",성수1가1동,7747,3363,1781,1331,1016,203,42,4,7,-,-
"성동구",성수1가2동,5998,2770,1341,1005,693,151,31,4,2,1,-
"성동구",성수2가1동,8081,4111,1788,1180,788,170,32,8,3,1,-
"성동구",성수2가3동,5574,2998,1102,709,569,149,38,7,1,-,1
"성동구",송정동,5533,3019,1142,728,489,125,23,6,-,1,-
"성동구",용답동,7252,4843,1200,633,444,99,24,7,-,-,2
"성동구",왕십리도선동,12146,5010,2657,2256,1771,339,74,29,7,1,2
"성동구",금호2.3가동,10062,3661,2604,2058,1385,281,52,17,3,-,1
"성동구",옥수동,10820,3224,2954,2506,1697,330,82,18,6,3,-
"광진구",소계,170014,83796,35279,25546,20049,4132,907,218,61,14,12
"광진구",화양동,18433,15133,2035,688,450,91,25,9,-,1,1
"광진구",군자동,11461,7043,2065,1340,788,161,47,12,3,1,1
"광진구",중곡1동,8354,4486,1920,1075,680,155,30,8,-,-,-
"광진구",중곡2동,10658,5100,2523,1603,1104,255,58,10,4,1,-
"광진구",중곡3동,8562,4417,2029,1142,769,175,20,7,3,-,-
"광진구",중곡4동,13155,5337,3331,2370,1642,370,82,17,3,2,1
"광진구",능동,6481,3838,1308,717,461,116,32,8,1,-,-
"광진구",구의1동,13101,7520,2640,1548,1090,244,48,8,1,-,2
"광진구",구의2동,11549,4361,2730,2182,1751,393,91,32,5,1,3
"광진구",구의3동,12158,4325,2724,2477,2113,400,93,16,9,-,1
"광진구",광장동,11877,2280,2099,3131,3575,616,135,26,11,2,2
"광진구",자양1동,11999,6582,2503,1537,1073,247,43,9,3,2,-
"광진구",자양2동,10946,4303,2605,2088,1521,339,64,20,5,1,-
"광진구",자양3동,11085,3225,2626,2409,2275,407,102,27,11,3,-
"광진구",자양4동,10195,5846,2141,1239,757,163,37,9,2,-,1
"동대문구",소계,170413,85167,35444,25322,18843,4403,933,219,56,16,10
"동대문구",회기동,6825,4793,937,538,433,93,25,3,2,-,1
"동대문구",휘경1동,7873,4714,1315,913,718,166,36,9,1,-,1
"동대문구",휘경2동,12308,6496,2249,1740,1410,336,58,13,4,-,2
