"동별(1)",동별(2),2024. 09,2024. 09,2024. 09,2024. 09,2024. 09,2024. 09,2024. 09,2024. 09,2024. 09,2024. 09,2024. 09
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72341,38117,14676,10122,7030,1793,415,128,33,14,13
"종로구",사직동,4582,2340,950,658,473,117,25,14,2,-,3
"종로구",삼청동,1111,552,250,141,110,38,13,5,2,-,-
"종로구",부암동,4127,1670,1011,737,509,138,43,14,4,-,1
"종로구",평창동,7129,2256,1853,1450,1109,347,76,25,8,2,3
"종로구",무악동,2997,714,752,704,644,148,25,6,2,1,1
"종로구",교남동,4319,1611,1048,905,614,118,12,9,-,2,-
"종로구",가회동,1884,899,408,305,197,52,18,3,1,-,1
"종로구",종로1/2/3/4가동,4929,3941,498,271,158,46,11,3,-,1,-
"종로구",종로5/6가동,3550,2558,494,290,162,37,6,3,-,-,-
"종로구",이화동,4357,2862,772,398,250,51,16,5,1,2,-
"종로구",창신1동,2577,1505,562,297,154,48,7,4,-,-,-
"종로구",창신2동,3920,2007,955,522,320,85,27,2,2,-,-
"종로구",창신3동,2734,930,736,572,375,102,15,4,-,-,-
"종로구",숭인1동,2998,1495,713,438,266,63,20,2,1,-,-
"종로구",숭인2동,6913,5041,1033,484,286,56,10,3,-,-,-
"종로구",청운효자동,4981,1937,1175,944,693,172,40,12,4,4,-
"종로구",혜화동,9233,5799,1466,1006,710,175,51,14,6,2,4
"중구",소계,65378,35219,14359,8746,5316,1287,320,87,25,9,10
"중구",소공동,1259,756,247,150,86,10,6,3,-,-,1
"중구",회현동,2475,1497,449,293,167,49,13,5,1,1,-
"중구",명동,1359,944,210,108,73,15,3,3,-,2,1
"중구",필동,2763,1893,461,225,133,41,6,2,1,-,1
"중구",장충동,2869,1968,441,234,158,47,16,2,1,1,1
"중구",광희동,3979,2930,580,287,119,43,14,3,3,-,-
"중구",을지로동,2141,1489,424,145,65,15,3,-,-,-,-
"중구",신당5동,5401,2804,1269,728,466,103,21,8,1,1,-
"중구",황학동,7790,4704,1676,820,459,106,20,3,1,-,1
"중구",중림동,5989,2800,1321,1047,633,143,41,2,2,-,-
"중구",신당동,4706,3145,869,384,220,59,21,7,-,1,-
"중구",다산동,6794,3379,1621,985,635,130,27,12,3,-,2
"중구",약수동,7749,3231,2109,1413,752,175,49,14,4,1,1
"중구",청구동,6107,2535,1612,1045,688,180,37,7,-,2,1
"중구",동화동,3997,1144,1070,882,662,171,43,16,8,-,1
"용산구",소계,103860,51423,22939,15375,10616,2609,639,171,48,18,22
"용산구",후암동,8285,4309,1813,1156,744,194,42,21,2,1,3
"용산구",용산2가동,4983,2786,1192,568,327,88,17,5,-,-,-
"용산구",남영동,4813,3698,593,294,168,50,7,2,-,-,1
"용산구",원효로2동,6272,2618,1476,1128,803,182,40,15,6,2,2
"용산구",효창동,4707,1762,1207,873,662,141,44,12,1,4,1
"용산구",용문동,5287,2167,1352,968,618,148,26,3,3,-,2
