"동별(1)",동별(2),2023. 08,2023. 08,2023. 08,2023. 08,2023. 08,2023. 08,2023. 08,2023. 08,2023. 08,2023. 08,2023. 08
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72381,37946,14394,10238,7355,1837,448,108,33,9,13
"종로구",사직동,4562,2302,937,654,509,114,26,14,2,2,2
"종로구",삼청동,1119,548,263,136,111,43,14,3,1,-,-
"종로구",부암동,4126,1664,985,752,529,141,39,11,4,-,1
"종로구",평창동,7182,2299,1774,1467,1179,346,84,19,11,-,3
"종로구",무악동,3014,702,744,706,669,157,25,8,-,1,2
"종로구",교남동,4358,1636,1057,889,627,125,14,8,1,1,-
"종로구",가회동,1934,933,407,324,201,48,17,3,-,-,1
"종로구",종로1.2.3.4가동,4957,3982,482,267,174,35,13,3,-,1,-
"종로구",종로5.6가동,3609,2594,498,293,177,36,8,3,-,-,-
"종로구",이화동,4269,2787,722,415,254,67,18,2,2,1,1
"종로구",창신1동,2684,1600,563,315,142,49,11,4,-,-,-
"종로구",창신2동,3989,2031,968,532,348,81,26,2,1,-,-
"종로구",창신3동,2774,946,724,591,386,105,18,3,1,-,-
"종로구",숭인1동,2983,1488,687,438,278,69,22,1,-,-,-
"종로구",숭인2동,6564,4728,985,474,295,69,10,3,-,-,-
"종로구",청운효자동,5078,1968,1170,974,722,179,46,11,5,3,-
"종로구",혜화동,9179,5738,1428,1011,754,173,57,10,5,-,3
"중구",소계,64558,34294,14079,8736,5663,1329,321,84,31,9,12
"중구",소공동,1253,750,237,158,90,10,4,2,1,-,1
"중구",회현동,2542,1542,457,285,185,53,10,8,1,1,-
"중구",명동,1432,996,222,122,67,15,3,3,1,1,2
"중구",필동,2498,1683,415,208,139,40,8,3,1,-,1
"중구",장충동,2865,1943,458,232,165,46,14,4,-,2,1
"중구",광희동,3899,2833,585,283,141,34,17,4,2,-,-
"중구",을지로동,2039,1517,313,130,67,9,3,-,-,-,-
"중구",신당5동,5356,2784,1215,715,493,117,21,6,3,2,-
"중구",황학동,7452,4406,1578,836,497,106,21,6,-,1,1
"중구",중림동,5743,2554,1305,1006,672,162,36,5,3,-,-
"중구",신당동,4714,3129,868,406,222,66,17,4,2,-,-
"중구",다산동,6827,3315,1646,1000,682,138,33,8,3,-,2
"중구",약수동,7766,3157,2128,1444,805,165,46,16,2,-,3
"중구",청구동,6195,2572,1610,1052,730,180,41,6,2,2,-
"중구",동화동,3977,1113,1042,859,708,188,47,9,10,-,1
"용산구",소계,109527,54251,23989,16234,11392,2737,679,166,46,14,19
"용산구",후암동,8274,4256,1795,1177,763,212,43,21,3,-,4
"용산구",용산2가동,5087,2842,1192,603,333,92,21,3,1,-,-
"용산구",남영동,4910,3764,613,296,180,46,7,3,-,-,1
"용산구",원효로2동,6212,2521,1439,1129,860,189,50,14,5,2,3
"용산구",효창동,4739,1770,1178,862,716,150,48,8,2,4,1
"용산구",용문동,5317,2108,1343,1027,658,142,28,6,5,-,-
"용산구",이촌1동,9155,1842,2244,2408,2064,452,106,25,9,2,3
"용산구",이촌2동,3603,1319,1003,701,434,111,27,8,-,-,-
"용산구",이태원1동,3431,1974,732,407,236,59,20,2,1,-,-
"용산구",이태원2동,4841,2719,1078,582,338,86,32,4,2,-,-
"용산구",서빙고동,5107,1692,1193,929,924,289,62,14,4,-,-
"용산구",보광동,6905,3778,1612,885,500,105,21,2,1,1,-
"용산구",청파동,11159,6986,2138,1072,704,195,49,10,1,1,3
"용산구",원효로1동,9363,5203,1844,1244,849,176,35,7,3,1,1
"용산구",한강로동,11325,6098,2361,1562,1022,203,57,15,4,1,2
"용산구",한남동,10099,5379,2224,1350,811,230,73,24,5,2,1
"성동구",소계,133433,58938,30332,23273,16531,3343,762,183,48,14,9
"성동구",왕십리2동,7378,2983,1707,1396,1006,210,59,13,2,1,1
"성동구",마장동,10896,5345,2335,1643,1202,263,86,11,6,3,2
"성동구",사근동,8253,6213,975,544,415,87,11,8,-,-,-
"성동구",행당1동,6471,2838,1372,1198,848,172,30,9,3,1,-
"성동구",행당2동,9266,2473,2496,2220,1675,311,68,16,4,1,2
"성동구",응봉동,5952,1609,1482,1409,1174,220,41,12,4,1,-
"성동구",금호1가동,6540,2293,1659,1412,927,193,40,11,4,1,-
"성동구",금호4가동,6424,2343,1662,1345,863,163,39,8,1,-,-
"성동구",성수1가1동,7461,3273,1754,1263,935,183,41,8,3,-,1
"성동구",성수1가2동,5957,2810,1327,964,679,136,30,8,2,1,-
"성동구",성수2가1동,7700,3907,1751,1109,736,149,37,9,2,-,-
"성동구",성수2가3동,5267,2751,1099,699,548,132,28,9,1,-,-
"성동구",송정동,5407,2993,1152,671,459,108,17,5,-,2,-
"성동구",용답동,7582,5154,1262,611,430,91,29,2,1,1,1
"성동구",왕십리도선동,12238,5170,2700,2231,1702,329,78,20,6,1,1
"성동구",금호2.3가동,9878,3562,2623,2017,1340,260,50,20,5,-,1
"성동구",옥수동,10763,3221,2976,2541,1592,336,78,14,4,1,-
"광진구",소계,170210,85010,35373,25335,19403,3909,869,225,61,14,11
"광진구",화양동,18324,15131,1952,699,422,88,24,6,1,-,1
"광진구",군자동,11357,7040,2060,1273,777,154,37,12,3,1,-
"광진구",중곡1동,8615,4830,1930,1060,632,130,24,9,-,-,-
"광진구",중곡2동,10637,5246,2483,1553,1044,244,52,11,3,1,-
"광진구",중곡3동,8538,4461,2055,1107,717,171,18,7,2,-,-
"광진구",중곡4동,13088,5436,3351,2293,1554,341,82,24,5,1,1
"광진구",능동,6481,3893,1290,699,447,108,37,6,1,-,-
"광진구",구의1동,13130,7618,2618,1552,1043,240,47,9,1,-,2
"광진구",구의2동,11494,4381,2778,2156,1692,367,82,29,4,1,4
"광진구",구의3동,12070,4369,2731,2431,2035,384,93,19,7,-,1
"광진구",광장동,11837,2287,2115,3175,3514,581,125,26,12,2,-
"광진구",자양1동,12044,6660,2554,1465,1086,221,41,11,3,3,-
"광진구",자양2동,10859,4364,2589,2039,1448,321,72,18,8,-,-
"광진구",자양3동,10980,3246,2578,2494,2141,387,91,30,8,4,1
"광진구",자양4동,10756,6048,2289,1339,851,172,44,8,3,1,1
"동대문구",소계,172680,86525,36057,25852,18720,4301,940,204,53,20,8
"동대문구",회기동,6691,4726,895,525,426,92,22,2,2,-,1
"동대문구",휘경1동,7796,4676,1321,888,705,161,37,6,-,2,-
"동대문구",휘경2동,12779,6885,2442,1717,1334,325,59,11,3,2,1
"동대문구",청량리동,10120,5325,2323,1350,852,202,52,11,3,2,-
"동대문구",용신동,21623,12839,3965,2552,1800,361,84,17,3,2,-
"동대문구",제기동,13302,7761,2611,1565,1041,234,71,13,3,1,2
"동대문구",전농1동,15281,7631,3233,2360,1611,351,66,21,6,1,1
"동대문구",전농2동,7562,2378,1932,1637,1244,297,59,10,2,2,1
"동대문구",답십리2동,12502,4733,3255,2370,1656,379,86,18,5,-,-
"동대문구",장안1동,18340,8431,4156,2992,2092,533,104,24,5,2,1
"동대문구",장안2동,14340,5395,3309,2826,2189,469,117,26,6,2,1
"동대문구",이문1동,10742,7003,1712,1021,765,178,45,10,6,2,-
"동대문구",이문2동,8709,3357,2078,1598,1274,324,64,11,3,-,-
"동대문구",답십리1동,12893,5385,2825,2451,1731,395,74,24,6,2,-
"중랑구",소계,187877,84528,45999,30549,20967,4636,913,216,48,14,7
"중랑구",면목2동,12228,5944,2996,1805,1166,260,43,6,7,1,-
"중랑구",면목4동,8948,3959,2281,1437,991,217,51,11,1,-,-
"중랑구",면목5동,6423,2190,1700,1382,936,172,30,11,1,1,-
"중랑구",면목7동,10592,4797,2654,1704,1156,218,48,9,5,1,-
"중랑구",상봉1동,10151,3503,2574,2082,1617,314,47,10,2,2,-
"중랑구",상봉2동,12416,7849,2427,1297,665,136,30,10,1,1,-
"중랑구",중화1동,8963,3624,2380,1662,1020,227,36,11,2,-,1
"중랑구",중화2동,13538,7515,3131,1667,967,197,45,12,3,-,1
"중랑구",묵1동,14940,5617,3616,2826,2211,524,117,23,3,3,-
"중랑구",묵2동,9248,4307,2360,1420,901,209,42,6,3,-,-
"중랑구",망우3동,8195,3983,2016,1275,717,163,31,7,2,1,-
"중랑구",신내1동,14933,4015,3903,3170,2841,790,165,39,7,1,2
"중랑구",신내2동,8937,3201,2472,1761,1203,236,48,12,3,-,1
"중랑구",면목본동,17801,9286,4182,2508,1454,300,57,10,2,1,1
"중랑구",면목3.8동,12835,6290,3238,1823,1176,245,49,11,2,1,-
"중랑구",망우본동,17729,8448,4069,2730,1946,428,74,28,4,1,1
"성북구",소계,197673,83293,44429,34705,27486,6041,1279,308,76,26,30
"성북구",돈암1동,6053,1891,1642,1278,979,203,46,11,-,2,1
"성북구",돈암2동,8548,1778,2057,2132,1978,459,110,23,6,2,3
"성북구",안암동,9894,7074,1396,764,511,117,24,5,1,1,1
"성북구",보문동,8153,3960,1771,1242,936,195,37,9,1,1,1
"성북구",정릉1동,7348,2336,1729,1603,1304,291,62,18,1,2,2
"성북구",정릉2동,9945,3527,2564,2010,1423,310,76,25,7,2,1
"성북구",정릉3동,8302,4865,1646,964,620,152,39,8,3,2,3
"성북구",정릉4동,10785,3983,2775,2066,1518,328,85,21,6,2,1
"성북구",길음1동,12472,2569,2611,3173,3372,605,110,15,8,4,5
"성북구",길음2동,8726,2542,2036,1977,1720,370,65,11,5,-,-
"성북구",월곡1동,10800,3486,2716,2241,1840,405,85,20,5,1,1
"성북구",월곡2동,9715,4894,2050,1387,1069,240,56,13,5,1,-
"성북구",장위1동,10642,4117,2648,1946,1486,358,68,15,2,1,1
