"동별(1)",동별(2),2024. 08,2024. 08,2024. 08,2024. 08,2024. 08,2024. 08,2024. 08,2024. 08,2024. 08,2024. 08,2024. 08
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72377,38153,14679,10094,7053,1800,414,125,32,14,13
"종로구",사직동,4573,2326,948,664,478,114,25,13,2,-,3
"종로구",삼청동,1112,552,252,140,111,40,11,5,1,-,-
"종로구",부암동,4123,1659,1012,733,518,142,40,14,4,-,1
"종로구",평창동,7135,2267,1848,1452,1106,348,77,24,8,2,3
"종로구",무악동,2996,711,759,691,651,150,24,6,2,1,1
"종로구",교남동,4330,1625,1045,903,612,120,14,9,-,2,-
"종로구",가회동,1884,904,404,304,197,53,18,2,1,-,1
"종로구",종로1.2.3.4가동,4924,3935,493,274,162,46,10,3,-,1,-
"종로구",종로5.6가동,3551,2561,496,284,164,37,6,3,-,-,-
"종로구",이화동,4354,2872,767,392,246,53,16,5,1,2,-
"종로구",창신1동,2585,1508,567,299,151,48,8,4,-,-,-
"종로구",창신2동,3930,2015,959,516,326,86,24,2,2,-,-
"종로구",창신3동,2740,925,745,572,381,98,15,4,-,-,-
"종로구",숭인1동,2991,1496,701,442,268,60,21,2,1,-,-
"종로구",숭인2동,6939,5071,1036,477,284,56,12,3,-,-,-
"종로구",청운효자동,4992,1939,1179,945,693,176,39,13,4,4,-
"종로구",혜화동,9218,5787,1468,1006,705,173,54,13,6,2,4
"중구",소계,65373,35179,14371,8738,5341,1294,316,89,26,8,11
"중구",소공동,1256,750,246,155,86,9,6,3,-,-,1
"중구",회현동,2489,1513,440,299,167,49,14,5,1,1,-
"중구",명동,1359,949,206,107,72,16,3,3,-,1,2
"중구",필동,2752,1882,464,219,135,41,6,3,1,-,1
"중구",장충동,2864,1956,450,230,160,47,16,2,1,1,1
"중구",광희동,3975,2923,587,285,117,43,14,3,3,-,-
"중구",을지로동,2139,1490,418,149,64,15,3,-,-,-,-
"중구",신당5동,5425,2822,1274,731,463,102,21,9,2,1,-
"중구",황학동,7745,4670,1664,823,456,106,21,3,-,1,1
"중구",중림동,5996,2800,1320,1050,635,146,39,4,2,-,-
"중구",신당동,4703,3135,881,381,219,59,20,8,-,-,-
"중구",다산동,6804,3386,1615,983,644,132,27,11,4,-,2
"중구",약수동,7759,3227,2116,1411,763,175,47,14,4,1,1
"중구",청구동,6118,2544,1612,1046,691,179,36,7,-,2,1
"중구",동화동,3989,1132,1078,869,669,175,43,14,8,-,1
"용산구",소계,103992,51497,22967,15384,10628,2620,641,165,51,17,22
"용산구",후암동,8282,4300,1809,1167,746,193,41,20,2,1,3
"용산구",용산2가동,4990,2789,1195,566,331,86,18,5,-,-,-
"용산구",남영동,4835,3717,592,296,169,50,8,2,-,-,1
"용산구",원효로2동,6270,2612,1476,1122,815,179,41,15,6,2,2
"용산구",효창동,4729,1778,1205,876,666,143,45,10,1,4,1
"용산구",용문동,5284,2160,1342,980,615,152,26,4,3,-,2
"용산구",이촌1동,9107,1781,2304,2395,2025,453,110,28,5,3,3
"용산구",이촌2동,3580,1340,1018,680,407,103,24,8,-,-,-
"용산구",이태원1동,3451,1946,792,403,223,66,18,3,-,-,-
"용산구",이태원2동,4896,2731,1145,564,326,94,24,9,2,-,1
"용산구",서빙고동,5129,1675,1230,938,914,285,62,16,9,-,-
"용산구",보광동,4289,2442,972,525,264,62,20,3,1,-,-
"용산구",청파동,11213,7169,2090,1050,658,185,46,8,2,2,3
"용산구",원효로1동,9332,5276,1807,1206,817,175,36,6,5,1,3
"용산구",한강로동,11249,6068,2370,1546,988,192,62,12,9,1,1
"용산구",한남동,7356,3713,1620,1070,664,202,60,16,6,3,2
"성동구",소계,132969,59031,30789,23027,15883,3241,765,165,47,11,10
"성동구",왕십리2동,7426,3048,1789,1352,956,208,57,12,3,-,1
"성동구",마장동,10804,5306,2377,1627,1147,250,76,10,5,2,4
"성동구",사근동,8334,6307,979,520,414,89,16,9,-,-,-
"성동구",행당1동,6491,2857,1400,1166,839,179,34,11,3,2,-
"성동구",행당2동,9199,2448,2533,2189,1645,293,73,13,2,1,2
"성동구",응봉동,5922,1603,1503,1417,1125,220,41,8,4,1,-
"성동구",금호1가동,6455,2258,1677,1389,884,197,42,4,2,2,-
"성동구",금호4가동,6378,2348,1653,1361,812,155,39,8,2,-,-
"성동구",성수1가1동,7456,3323,1762,1264,889,169,40,6,3,-,-
"성동구",성수1가2동,5871,2738,1362,967,640,124,34,4,2,-,-
"성동구",성수2가1동,7539,3837,1743,1069,705,136,36,11,2,-,-
"성동구",성수2가3동,5128,2682,1087,663,534,126,30,5,1,-,-
"성동구",송정동,5341,2986,1154,649,436,93,19,4,-,-,-
"성동구",용답동,7856,5401,1336,600,391,96,26,4,-,1,1
"성동구",왕십리도선동,12162,5126,2741,2231,1624,329,82,21,6,1,1
"성동구",금호2.3가동,9841,3583,2638,2006,1286,264,41,16,7,-,-
"성동구",옥수동,10766,3180,3055,2557,1556,313,79,19,5,1,1
"광진구",소계,170449,85865,35786,25337,18587,3744,831,220,54,12,13
"광진구",화양동,18198,15080,1931,680,407,67,27,5,-,-,1
"광진구",군자동,11273,7076,2025,1228,739,146,40,15,2,2,-
"광진구",중곡1동,8675,4956,1945,1028,587,125,27,7,-,-,-
"광진구",중곡2동,10559,5299,2478,1499,994,227,49,9,2,1,1
"광진구",중곡3동,8491,4493,2044,1114,662,151,17,8,2,-,-
"광진구",중곡4동,13088,5443,3413,2315,1493,312,83,25,2,1,1
"광진구",능동,6470,3948,1282,681,415,100,37,6,1,-,-
"광진구",구의1동,13182,7767,2611,1538,975,235,39,12,2,2,1
"광진구",구의2동,11524,4498,2818,2134,1612,359,75,20,4,-,4
"광진구",구의3동,12075,4380,2787,2464,1952,380,87,14,7,2,2
"광진구",광장동,11863,2321,2126,3281,3406,578,107,31,12,1,-
"광진구",자양1동,12075,6752,2584,1436,1030,217,37,14,4,1,-
"광진구",자양2동,11010,4553,2636,2036,1405,292,65,19,4,-,-
"광진구",자양3동,11030,3275,2682,2501,2047,391,94,28,8,2,2
"광진구",자양4동,10936,6024,2424,1402,863,164,47,7,4,-,1
"동대문구",소계,173942,87452,36736,25970,18462,4153,871,206,61,20,11
"동대문구",회기동,6685,4730,910,522,410,89,19,3,1,-,1
"동대문구",휘경1동,7776,4700,1332,885,656,155,37,6,3,2,-
"동대문구",휘경2동,12827,7009,2422,1700,1329,297,53,9,5,1,2
"동대문구",청량리동,10113,5436,2316,1294,809,198,43,12,2,1,2
"동대문구",용신동,21899,12873,4105,2654,1815,349,77,20,5,1,-
"동대문구",제기동,12990,7633,2567,1505,985,228,53,11,3,4,1
"동대문구",전농1동,16584,8113,3505,2639,1846,366,78,27,7,1,2
"동대문구",전농2동,7500,2392,1967,1587,1192,295,55,8,2,2,-
"동대문구",답십리2동,12444,4749,3272,2372,1568,374,88,15,5,1,-
"동대문구",장안1동,18355,8536,4177,2985,2027,494,104,22,6,3,1
"동대문구",장안2동,14503,5504,3418,2808,2168,462,106,26,7,2,2
"동대문구",이문1동,10688,7006,1723,1014,708,178,42,10,6,1,-
"동대문구",이문2동,8590,3300,2094,1580,1242,303,56,15,-,-,-
"동대문구",답십리1동,12988,5471,2928,2425,1707,365,60,22,9,1,-
"중랑구",소계,188826,86159,46591,30368,20141,4419,887,202,40,13,6
"중랑구",면목2동,12175,5970,3000,1813,1121,209,44,10,7,1,-
"중랑구",면목4동,8954,4089,2241,1426,933,203,49,11,1,-,1
"중랑구",면목5동,6395,2229,1712,1332,913,174,21,10,2,2,-
"중랑구",면목7동,10533,4801,2678,1679,1097,217,48,9,4,-,-
"중랑구",상봉1동,10086,3561,2590,2051,1517,308,46,11,1,1,-
"중랑구",상봉2동,12980,8378,2550,1231,650,126,34,9,-,2,-
"중랑구",중화1동,8882,3674,2392,1589,970,209,37,8,1,1,1
"중랑구",중화2동,13450,7564,3126,1613,896,187,48,12,3,-,1
"중랑구",묵1동,14938,5690,3650,2790,2152,514,115,23,3,1,-
"중랑구",묵2동,9194,4330,2365,1387,857,208,33,11,3,-,-
"중랑구",망우3동,8167,4064,2008,1231,675,149,31,6,2,1,-
"중랑구",신내1동,14799,4040,3970,3179,2687,737,146,32,5,2,1
"중랑구",신내2동,8916,3271,2481,1748,1116,234,54,10,2,-,-
"중랑구",면목본동,17797,9426,4209,2452,1362,280,57,7,3,-,1
"중랑구",면목3.8동,12730,6344,3230,1794,1071,233,46,10,1,1,-
"중랑구",망우본동,18830,8728,4389,3053,2124,431,78,23,2,1,1
"성북구",소계,197429,84210,44529,34667,26583,5830,1201,294,68,22,25
"성북구",돈암1동,6005,1917,1632,1250,959,197,43,4,-,3,-
"성북구",돈암2동,8554,1778,2072,2213,1907,447,99,28,6,1,3
"성북구",안암동,10101,7379,1322,746,509,119,20,3,1,1,1
"성북구",보문동,8154,3975,1801,1258,885,187,38,8,1,-,1
"성북구",정릉1동,7314,2331,1739,1625,1241,295,66,13,1,1,2
"성북구",정릉2동,9829,3498,2561,1976,1376,301,80,31,3,3,-
"성북구",정릉3동,8316,4979,1638,919,583,137,45,8,2,2,3
"성북구",정릉4동,10805,4054,2833,2047,1440,322,76,23,6,3,1
"성북구",길음1동,12755,2618,2715,3269,3405,604,104,24,9,3,4
"성북구",길음2동,8492,2387,1971,2029,1663,361,62,15,4,-,-
"성북구",월곡1동,10726,3525,2707,2221,1780,390,81,18,2,2,-
"성북구",월곡2동,9641,4872,2061,1408,1002,232,49,11,6,-,-
"성북구",장위1동,10624,4204,2653,1887,1461,342,61,13,2,-,1
"성북구",장위2동,6570,3052,1713,1013,591,155,39,6,-,1,-
"성북구",장위3동,6461,2134,1424,1422,1216,230,27,7,-,1,-
"성북구",성북동,8122,4135,1804,1150,751,201,53,14,7,1,6
"성북구",삼선동,11457,6034,2333,1548,1180,274,61,19,7,-,1
"성북구",동선동,9810,6867,1485,797,524,106,23,5,2,-,1
"성북구",종암동,16984,6893,3885,3109,2423,552,93,22,7,-,-
"성북구",석관동,16709,7578,4180,2780,1687,378,81,22,2,-,1
"강북구",소계,143027,67041,35270,22119,14416,3234,739,136,43,10,19
"강북구",번1동,9691,5841,2007,1050,640,110,38,3,-,1,1
"강북구",번2동,7426,3259,2149,1188,627,161,33,5,1,-,3
