"동별(1)",동별(2),2022. 05,2022. 05,2022. 05,2022. 05,2022. 05,2022. 05,2022. 05,2022. 05,2022. 05,2022. 05,2022. 05
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73822,38514,14551,10387,7751,1967,484,109,39,9,11
"종로구",사직동,4676,2343,956,708,498,117,34,16,1,-,3
"종로구",삼청동,1204,616,254,154,121,39,15,5,-,-,-
"종로구",부암동,4235,1679,997,772,577,160,38,6,3,1,2
"종로구",평창동,7483,2455,1846,1475,1258,334,82,17,13,1,2
"종로구",무악동,3063,720,728,725,691,165,21,11,-,1,1
"종로구",교남동,4436,1663,1063,899,640,131,29,7,2,2,-
"종로구",가회동,1986,963,423,306,210,58,20,3,2,-,1
"종로구",종로1.2.3.4가동,5315,4259,533,276,186,41,13,5,2,-,-
"종로구",종로5.6가동,3409,2467,485,259,154,37,5,2,-,-,-
"종로구",이화동,4366,2811,757,418,291,65,16,4,2,2,-
"종로구",창신1동,2859,1752,554,305,171,58,15,4,-,-,-
"종로구",창신2동,4053,2025,947,565,377,110,25,2,2,-,-
"종로구",창신3동,2804,956,706,603,392,120,25,1,1,-,-
"종로구",숭인1동,3004,1497,680,436,292,77,19,3,-,-,-
"종로구",숭인2동,6422,4556,957,491,324,75,15,4,-,-,-
"종로구",청운효자동,5215,2004,1188,990,774,190,52,8,7,2,-
"종로구",혜화동,9292,5748,1477,1005,795,190,60,11,4,-,2
"중구",소계,63880,33347,13930,8787,5889,1437,352,90,24,5,19
"중구",소공동,1316,804,246,172,74,13,3,2,1,-,1
"중구",회현동,2704,1654,472,295,204,56,11,9,1,1,1
"중구",명동,1553,1093,231,121,77,19,4,3,2,-,3
"중구",필동,2494,1673,403,229,134,43,10,1,-,-,1
"중구",장충동,2828,1891,451,237,173,54,17,1,1,-,3
"중구",광희동,3429,2396,531,297,145,39,16,2,2,1,-
"중구",을지로동,1346,1105,154,50,25,9,2,1,-,-,-
"중구",신당5동,5375,2755,1210,739,510,130,21,7,2,1,-
"중구",황학동,7212,4157,1541,862,513,103,25,8,1,1,1
"중구",중림동,5682,2466,1297,1002,714,160,32,11,-,-,-
"중구",신당동,4822,3162,875,444,250,66,19,5,1,-,-
"중구",다산동,6925,3302,1685,1012,713,162,37,9,3,-,2
"중구",약수동,7855,3176,2144,1403,859,197,57,12,3,-,4
"중구",청구동,6285,2553,1635,1087,767,187,48,3,2,1,2
"중구",동화동,4054,1160,1055,837,731,199,50,16,5,-,1
"용산구",소계,111508,54977,23970,16658,12125,2815,714,165,51,14,19
"용산구",후암동,8439,4238,1832,1237,843,209,51,18,5,2,4
"용산구",용산2가동,5231,2888,1212,629,381,95,22,3,1,-,-
"용산구",남영동,5177,3991,614,299,208,42,14,8,-,-,1
"용산구",원효로2동,6064,2351,1371,1162,897,201,62,14,1,1,4
"용산구",효창동,4646,1709,1137,852,715,174,44,10,2,2,1
"용산구",용문동,5401,2155,1300,1041,717,140,36,7,3,1,1
"용산구",이촌1동,9542,2096,2284,2412,2138,463,112,23,10,3,1
"용산구",이촌2동,3673,1335,983,742,460,119,25,8,1,-,-
"용산구",이태원1동,3593,2094,749,417,255,54,19,3,2,-,-
"용산구",이태원2동,4921,2726,1082,630,351,97,28,6,1,-,-
"용산구",서빙고동,5312,1827,1163,942,992,310,61,15,2,-,-
"용산구",보광동,7362,4050,1651,945,565,117,30,3,1,-,-
"용산구",청파동,11169,6919,2067,1136,784,197,50,10,1,1,4
"용산구",원효로1동,8374,4304,1750,1236,868,171,30,8,4,2,1
"용산구",한강로동,11665,6325,2452,1566,1049,199,53,13,7,-,1
"용산구",한남동,10939,5969,2323,1412,902,227,77,16,10,2,1
"성동구",소계,134357,58378,30215,23766,17428,3501,791,194,57,17,10
"성동구",왕십리2동,7388,2934,1718,1387,1073,198,63,9,4,1,1
"성동구",마장동,11045,5315,2408,1663,1281,278,75,11,10,2,2
"성동구",사근동,8186,6104,986,533,433,107,15,8,-,-,-
"성동구",행당1동,6526,2840,1402,1167,891,172,40,10,3,1,-
"성동구",행당2동,9221,2412,2435,2208,1745,324,70,20,4,2,1
"성동구",응봉동,6032,1668,1436,1415,1228,220,46,10,6,2,1
"성동구",금호1가동,6518,2167,1668,1459,981,189,42,10,2,-,-
"성동구",금호4가동,6340,2262,1610,1371,896,156,35,8,2,-,-
"성동구",성수1가1동,7745,3329,1791,1332,1042,195,45,5,6,-,-
"성동구",성수1가2동,6073,2808,1351,1018,700,161,28,5,1,1,-
"성동구",성수2가1동,8102,4109,1779,1202,800,164,36,8,3,1,-
"성동구",성수2가3동,5561,2968,1110,709,574,150,37,10,1,1,1
"성동구",송정동,5599,3039,1163,750,488,127,24,7,-,1,-
"성동구",용답동,7023,4582,1195,654,459,100,24,7,-,-,2
"성동구",왕십리도선동,12082,4982,2593,2280,1767,344,77,28,8,2,1
"성동구",금호2.3가동,10074,3642,2609,2077,1389,282,54,17,3,-,1
"성동구",옥수동,10842,3217,2961,2541,1681,334,80,21,4,3,-
"광진구",소계,169769,83370,35186,25530,20321,4173,883,222,56,15,13
"광진구",화양동,18385,15069,2036,690,468,89,24,7,1,-,1
"광진구",군자동,11410,7004,2050,1328,800,164,48,12,2,1,1
"광진구",중곡1동,8355,4457,1945,1060,703,149,31,8,1,1,-
"광진구",중곡2동,10665,5039,2534,1644,1116,259,56,11,5,1,-
"광진구",중곡3동,8522,4379,2002,1147,785,178,20,9,2,-,-
"광진구",중곡4동,13140,5275,3318,2411,1656,376,81,17,3,2,1
"광진구",능동,6459,3835,1291,705,476,111,32,8,1,-,-
"광진구",구의1동,12920,7403,2605,1520,1092,243,43,11,1,-,2
"광진구",구의2동,11602,4367,2761,2166,1782,403,84,30,5,1,3
"광진구",구의3동,12179,4354,2687,2483,2128,412,88,19,6,1,1
"광진구",광장동,11898,2283,2110,3127,3593,616,131,25,9,2,2
"광진구",자양1동,11983,6558,2483,1544,1096,246,42,9,3,2,-
"광진구",자양2동,10995,4297,2635,2064,1559,344,71,19,4,1,1
"광진구",자양3동,11106,3236,2618,2405,2297,412,97,28,10,3,-
"광진구",자양4동,10150,5814,2111,1236,770,171,35,9,3,-,1
"동대문구",소계,169815,84357,35320,25419,19084,4384,947,220,57,17,10
"동대문구",회기동,6707,4661,936,546,438,97,23,3,2,1,-
"동대문구",휘경1동,7796,4623,1333,905,720,164,41,8,1,-,1
"동대문구",휘경2동,12240,6391,2241,1739,1454,335,62,12,4,-,2
"동대문구",청량리동,9709,4856,2284,1366,918,218,55,9,3,-,-
"동대문구",용신동,19570,12419,3451,1976,1336,298,72,15,3,-,-
"동대문구",제기동,13546,7687,2697,1668,1117,293,64,15,2,2,1
"동대문구",전농1동,14863,7514,3137,2235,1534,352,60,24,5,1,1
"동대문구",전농2동,7626,2368,1951,1599,1332,295,66,11,2,1,1
"동대문구",답십리2동,12581,4707,3225,2404,1737,391,90,21,5,1,-
"동대문구",장안1동,18464,8397,4185,3002,2203,541,100,24,10,2,-
"동대문구",장안2동,14104,5165,3268,2785,2283,451,117,27,4,2,2
"동대문구",이문1동,10716,6828,1756,1048,830,189,48,10,3,3,1
"동대문구",이문2동,8748,3330,2037,1636,1328,327,65,20,2,2,1
"동대문구",답십리1동,13145,5411,2819,2510,1854,433,84,21,11,2,-
"중랑구",소계,188134,83483,45293,30992,22105,5002,967,224,40,18,10
"중랑구",면목2동,12258,5971,2836,1874,1222,291,46,11,6,1,-
"중랑구",면목4동,9113,3974,2258,1536,1038,244,48,15,-,-,-
"중랑구",면목5동,6463,2189,1666,1400,976,197,25,10,-,-,-
"중랑구",면목7동,10593,4697,2633,1759,1194,243,53,10,3,1,-
"중랑구",상봉1동,10233,3432,2596,2121,1693,314,62,12,2,1,-
"중랑구",상봉2동,12290,7641,2450,1299,702,156,31,10,1,-,-
"중랑구",중화1동,9097,3631,2386,1668,1103,253,42,10,2,2,-
"중랑구",중화2동,13666,7408,3137,1763,1066,229,47,10,2,2,2
"중랑구",묵1동,15061,5600,3564,2857,2311,581,116,26,-,6,-
"중랑구",묵2동,9280,4254,2318,1475,960,218,46,6,1,1,1
"중랑구",망우3동,8255,3949,1993,1304,780,185,35,6,2,1,-
"중랑구",신내1동,14807,3952,3772,3074,2950,831,174,43,7,1,3
"중랑구",신내2동,9010,3206,2421,1796,1273,252,47,9,5,-,1
"중랑구",면목본동,17797,9167,4153,2499,1569,333,61,10,3,1,1
"중랑구",면목3.8동,12640,6129,3095,1876,1241,230,55,12,1,1,-
"중랑구",망우본동,17571,8283,4015,2691,2027,445,79,24,5,-,2
"성북구",소계,197884,82085,44110,34830,28757,6341,1320,299,87,25,30
"성북구",돈암1동,6091,1893,1652,1257,1012,213,51,9,1,2,1
"성북구",돈암2동,8563,1792,1973,2165,2045,445,109,24,6,2,2
"성북구",안암동,9710,6768,1419,799,574,114,26,7,1,1,1
"성북구",보문동,8057,3927,1680,1231,976,202,28,9,2,1,1
"성북구",정릉1동,7385,2324,1708,1636,1329,293,73,16,1,2,3
"성북구",정릉2동,9908,3441,2530,1972,1531,322,78,25,7,1,1
"성북구",정릉3동,8194,4645,1643,989,680,183,38,9,2,1,4
"성북구",정릉4동,10877,3954,2763,2089,1591,367,80,23,7,2,1
"성북구",길음1동,12462,2557,2570,3129,3425,632,113,21,7,2,6
"성북구",길음2동,8535,2596,1900,1867,1732,362,60,15,3,-,-
"성북구",월곡1동,10901,3493,2683,2245,1935,431,90,19,4,1,-
"성북구",월곡2동,9690,4774,2057,1422,1090,266,61,10,9,1,-
"성북구",장위1동,10758,4090,2628,1971,1609,369,71,16,2,2,-
"성북구",장위2동,6721,2968,1764,1090,664,174,48,10,1,2,-
"성북구",장위3동,6455,2117,1383,1372,1279,244,48,8,3,1,-
"성북구",성북동,8242,4094,1835,1168,832,227,57,17,6,-,6
"성북구",삼선동,11602,5958,2371,1562,1297,317,71,17,7,1,1
"성북구",동선동,9705,6556,1553,843,569,144,30,5,3,1,1
"성북구",종암동,17146,6751,3848,3143,2659,602,109,21,10,2,1
"성북구",석관동,16882,7387,4150,2880,1928,434,79,18,5,-,1
"강북구",소계,144866,65088,35336,23404,16239,3793,781,151,40,16,18
"강북구",번1동,10419,5960,2197,1271,792,158,36,4,-,1,-
"강북구",번2동,7565,3152,2143,1266,752,200,42,7,1,-,2
"강북구",번3동,7455,2573,2247,1358,978,236,54,7,2,-,-
"강북구",수유1동,10480,5104,2538,1573,955,237,56,9,2,1,5
"강북구",수유2동,9893,3949,2657,1746,1180,287,53,14,3,2,2
"강북구",수유3동,13265,7816,2646,1613,910,221,45,8,3,3,-
"강북구",삼양동,11093,4683,2752,1919,1331,319,73,9,4,3,-
"강북구",미아동,11667,6368,2548,1507,945,232,49,10,5,2,1
"강북구",송중동,13988,6207,3333,2314,1647,379,80,19,5,1,3
"강북구",송천동,13472,6601,3310,1921,1303,278,47,7,2,1,2
"강북구",삼각산동,11516,2686,2602,2748,2753,585,109,26,7,-,-
"강북구",우이동,9644,3908,2605,1661,1137,264,52,11,4,1,1
"강북구",인수동,14409,6081,3758,2507,1556,397,85,20,2,1,2
"도봉구",소계,138951,49572,36168,27099,20298,4582,909,227,62,28,6
"도봉구",쌍문1동,9426,3387,2533,1835,1224,350,76,15,3,3,-
"도봉구",쌍문2동,8610,3314,2347,1557,1075,246,55,11,3,-,2
"도봉구",쌍문3동,8164,3575,1995,1392,940,219,32,11,-,-,-
"도봉구",쌍문4동,7124,1738,1782,1689,1567,292,46,8,2,-,-
"도봉구",방학1동,13036,5196,3255,2242,1784,436,92,22,6,2,1
"도봉구",방학2동,9373,3986,2457,1585,1018,259,54,10,2,2,-
"도봉구",방학3동,9975,2060,2634,2471,2180,499,94,26,5,4,2
"도봉구",창1동,10965,4114,2720,2083,1660,303,65,14,4,2,-
"도봉구",창2동,12603,4300,3416,2548,1767,442,83,31,11,5,-
"도봉구",창3동,6550,2705,1769,1084,770,178,29,12,3,-,-
"도봉구",창4동,10675,3173,2549,2407,2059,395,70,13,7,1,1
"도봉구",창5동,10237,3221,2659,2187,1712,354,77,16,6,5,-
"도봉구",도봉1동,10386,4592,2837,1675,972,234,55,14,6,1,-
"도봉구",도봉2동,11827,4211,3215,2344,1570,375,81,24,4,3,-
"노원구",소계,218955,76927,52271,43141,37624,7313,1286,282,71,23,17
"노원구",월계1동,10237,4633,2237,1638,1351,319,42,13,4,-,-
"노원구",월계2동,11873,4405,3170,2213,1643,360,68,9,3,1,1
"노원구",월계3동,12975,4395,3523,2719,1835,388,91,17,5,1,1
"노원구",공릉2동,17693,6355,3682,3509,3364,634,113,26,7,2,1
"노원구",하계1동,12383,5366,2468,2060,2021,376,70,13,5,2,2
"노원구",하계2동,8193,1913,1919,1958,1999,343,46,13,-,2,-
"노원구",중계본동,8353,1890,1487,1860,2455,553,85,18,4,1,-
"노원구",중계1동,8940,1506,1487,2378,3043,455,53,11,7,-,-
"노원구",중계4동,8301,2802,2011,1577,1527,309,55,14,4,1,1
"노원구",상계1동,15638,4830,4077,3223,2716,625,130,25,6,1,5
"노원구",상계2동,8669,3377,1792,1629,1503,278,69,16,4,1,-
"노원구",상계5동,10929,4279,2825,2015,1412,315,63,14,4,1,1
"노원구",상계8동,9245,2544,2568,2175,1647,270,27,10,-,2,2
"노원구",상계9동,8363,2373,2286,1900,1495,260,36,9,2,2,-
"노원구",상계10동,7638,2131,2153,1719,1369,207,42,14,2,1,-
"노원구",상계3.4동,11958,4837,3073,2011,1536,393,82,19,6,1,-
"노원구",상계6.7동,13889,4703,3483,2874,2350,390,65,17,5,-,2
"노원구",중계2.3동,15217,5449,4171,2909,2227,398,51,9,1,1,1
"노원구",공릉1동,18461,9139,3859,2774,2131,440,98,15,2,3,-
"은평구",소계,216169,86478,52842,38648,29215,7019,1525,322,73,22,25
"은평구",녹번동,17664,7567,4435,3092,2014,439,91,22,4,-,-
"은평구",불광1동,17794,7065,4637,3234,2218,495,110,28,6,1,-
"은평구",갈현1동,10660,4927,2602,1678,1142,244,53,10,3,1,-
"은평구",갈현2동,12660,4767,3271,2365,1742,409,88,11,3,2,2
