"동별(1)",동별(2),2022. 10,2022. 10,2022. 10,2022. 10,2022. 10,2022. 10,2022. 10,2022. 10,2022. 10,2022. 10,2022. 10
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72758,37851,14403,10310,7637,1926,467,111,35,7,11
"종로구",사직동,4591,2330,910,683,503,115,31,13,3,-,3
"종로구",삼청동,1157,573,255,144,122,43,15,5,-,-,-
"종로구",부암동,4170,1658,977,781,552,150,38,9,3,-,2
"종로구",평창동,7302,2346,1806,1460,1239,329,88,22,10,-,2
"종로구",무악동,3025,708,735,707,688,154,21,10,-,1,1
"종로구",교남동,4398,1652,1044,901,636,132,22,8,1,2,-
"종로구",가회동,1939,923,417,315,205,56,16,4,1,1,1
"종로구",종로1.2.3.4가동,4924,3921,505,266,175,40,12,3,2,-,-
"종로구",종로5.6가동,3493,2513,489,273,171,38,7,2,-,-,-
"종로구",이화동,4301,2767,747,424,275,64,17,4,1,2,-
"종로구",창신1동,2726,1642,553,291,168,56,12,4,-,-,-
"종로구",창신2동,3998,1998,947,547,375,100,26,3,2,-,-
"종로구",창신3동,2780,945,697,602,394,118,22,1,1,-,-
"종로구",숭인1동,2970,1473,680,427,294,75,19,2,-,-,-
"종로구",숭인2동,6562,4702,955,497,316,75,15,2,-,-,-
"종로구",청운효자동,5150,1958,1193,991,748,194,50,8,7,1,-
"종로구",혜화동,9272,5742,1493,1001,776,187,56,11,4,-,2
"중구",소계,63206,32961,13889,8668,5822,1380,344,96,22,6,18
"중구",소공동,1299,788,246,167,81,8,5,2,1,-,1
"중구",회현동,2555,1529,457,288,199,57,13,9,1,1,1
"중구",명동,1499,1049,223,119,77,18,5,3,2,-,3
"중구",필동,2458,1638,414,214,139,41,9,2,-,-,1
"중구",장충동,2843,1925,439,241,171,45,16,2,1,-,3
"중구",광희동,3404,2393,535,271,141,38,20,3,2,1,-
"중구",을지로동,1294,1059,151,52,22,7,3,-,-,-,-
"중구",신당5동,5317,2718,1218,713,513,126,20,7,1,1,-
"중구",황학동,7165,4106,1561,848,515,100,24,9,-,1,1
"중구",중림동,5739,2518,1319,985,710,165,32,8,2,-,-
"중구",신당동,4816,3182,876,431,239,64,18,5,1,-,-
"중구",다산동,6809,3252,1653,1000,700,150,39,11,2,-,2
"중구",약수동,7789,3144,2131,1411,846,190,45,16,2,-,4
"중구",청구동,6214,2524,1628,1074,756,177,47,4,2,1,1
"중구",동화동,4005,1136,1038,854,713,194,48,15,5,1,1
"용산구",소계,109936,54026,23827,16465,11874,2783,699,172,55,18,17
"용산구",후암동,8284,4138,1813,1232,820,206,44,19,6,2,4
"용산구",용산2가동,5090,2799,1187,615,375,90,20,3,1,-,-
"용산구",남영동,5029,3859,616,293,196,44,12,8,-,1,-
"용산구",원효로2동,6072,2362,1391,1136,899,205,60,12,3,1,3
"용산구",효창동,4679,1713,1164,855,722,166,44,10,2,2,1
"용산구",용문동,5330,2131,1285,1053,669,145,34,9,2,2,-
"용산구",이촌1동,9171,1865,2217,2384,2111,442,111,27,9,3,2
"용산구",이촌2동,3601,1298,956,739,455,122,22,8,1,-,-
"용산구",이태원1동,3474,2000,741,403,250,56,21,2,1,-,-
"용산구",이태원2동,4849,2678,1084,602,352,97,31,3,2,-,-
"용산구",서빙고동,5172,1729,1179,938,947,302,55,19,3,-,-
"용산구",보광동,7121,3894,1618,920,540,117,28,3,-,1,-
"용산구",청파동,11081,6873,2077,1116,750,199,49,11,1,1,4
"용산구",원효로1동,9156,4974,1842,1249,868,175,31,8,6,2,1
"용산구",한강로동,11418,6145,2392,1558,1048,196,57,13,8,-,1
"용산구",한남동,10409,5568,2265,1372,872,221,80,17,10,3,1
"성동구",소계,133599,58323,30149,23448,17138,3495,777,188,54,16,11
"성동구",왕십리2동,7396,2971,1696,1394,1054,205,61,10,3,1,1
"성동구",마장동,10934,5251,2382,1663,1262,269,82,11,9,2,3
"성동구",사근동,8219,6145,982,542,430,99,13,8,-,-,-
"성동구",행당1동,6478,2827,1395,1172,862,173,34,11,3,1,-
"성동구",행당2동,9261,2496,2437,2185,1716,325,71,24,4,2,1
"성동구",응봉동,5923,1580,1455,1399,1192,232,47,10,5,2,1
"성동구",금호1가동,6521,2211,1659,1435,966,196,42,8,3,1,-
"성동구",금호4가동,6309,2254,1629,1338,877,172,30,7,2,-,-
"성동구",성수1가1동,7662,3311,1788,1311,1003,196,43,4,6,-,-
"성동구",성수1가2동,5947,2737,1336,996,693,147,30,5,2,1,-
"성동구",성수2가1동,7967,4032,1770,1165,792,164,32,8,3,1,-
"성동구",성수2가3동,5425,2868,1087,716,565,146,34,7,1,-,1
"성동구",송정동,5479,2978,1157,705,485,126,21,6,-,1,-
