"동별(1)",동별(2),2021. 09,2021. 09,2021. 09,2021. 09,2021. 09,2021. 09,2021. 09,2021. 09,2021. 09,2021. 09,2021. 09
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73652,37773,14519,10527,8075,2080,479,140,37,10,12
"종로구",사직동,4697,2361,947,702,513,121,32,16,2,-,3
"종로구",삼청동,1253,641,257,164,136,36,14,5,-,-,-
"종로구",부암동,4285,1699,992,762,609,163,41,13,2,1,3
"종로구",평창동,7472,2420,1811,1490,1283,357,75,19,12,4,1
"종로구",무악동,3072,690,729,740,699,174,25,13,-,1,1
"종로구",교남동,4450,1638,1068,905,666,133,31,6,2,1,-
"종로구",가회동,2015,939,444,323,223,57,21,5,2,-,1
"종로구",종로1.2.3.4가동,5242,4181,522,283,192,45,14,4,1,-,-
"종로구",종로5.6가동,3400,2424,495,263,170,40,6,2,-,-,-
"종로구",이화동,4305,2701,751,442,308,80,13,8,1,1,-
"종로구",창신1동,2851,1709,569,302,190,60,17,4,-,-,-
"종로구",창신2동,4049,1983,952,548,414,123,22,5,2,-,-
"종로구",창신3동,2817,923,706,619,403,136,28,-,2,-,-
"종로구",숭인1동,2970,1447,678,431,311,79,22,2,-,-,-
"종로구",숭인2동,6234,4331,958,500,345,81,15,4,-,-,-
"종로구",청운효자동,5255,2012,1158,1021,796,196,49,15,6,2,-
"종로구",혜화동,9285,5674,1482,1032,817,199,54,19,5,-,3
"중구",소계,63267,32316,13827,8926,6198,1492,375,86,24,6,17
"중구",소공동,1280,773,234,178,75,12,4,2,-,1,1
"중구",회현동,2782,1721,464,291,226,57,13,8,1,1,-
"중구",명동,1532,1069,226,125,79,20,5,3,2,-,3
"중구",필동,2501,1680,394,231,137,48,8,1,1,-,1
"중구",장충동,2739,1777,449,242,192,56,18,1,1,-,3
"중구",광희동,3337,2286,542,292,153,44,17,1,1,-,1
"중구",을지로동,1345,1095,154,52,31,10,2,1,-,-,-
"중구",신당5동,5359,2707,1208,739,538,130,28,5,3,1,-
"중구",황학동,6933,3839,1530,883,522,122,27,7,1,1,1
"중구",중림동,5672,2423,1281,1022,740,158,34,12,2,-,-
"중구",신당동,4679,3007,868,442,270,69,17,5,1,-,-
"중구",다산동,6895,3216,1672,1032,753,168,37,12,3,-,2
"중구",약수동,7847,3090,2143,1423,908,210,59,8,2,-,4
"중구",청구동,6270,2481,1616,1106,820,186,52,5,2,2,-
"중구",동화동,4096,1152,1046,868,754,202,54,15,4,-,1
"용산구",소계,111177,53920,23953,16800,12493,3031,707,177,52,20,24
"용산구",후암동,8434,4140,1836,1270,877,236,45,16,6,4,4
"용산구",용산2가동,5248,2865,1199,658,397,106,17,5,1,-,-
"용산구",남영동,5171,3973,613,292,225,46,15,6,-,-,1
"용산구",원효로2동,5963,2214,1335,1169,952,211,59,13,4,2,4
"용산구",효창동,4389,1612,1054,829,667,166,47,10,1,1,2
"용산구",용문동,5363,2046,1330,1030,731,173,41,7,3,2,-
"용산구",이촌1동,9693,2110,2297,2439,2202,485,110,35,11,3,1
"용산구",이촌2동,3707,1297,1025,739,476,133,24,10,3,-,-
"용산구",이태원1동,3635,2079,773,447,245,64,21,4,-,-,2
"용산구",이태원2동,4928,2679,1090,644,373,102,30,7,1,1,1
"용산구",서빙고동,5308,1780,1171,948,1022,314,59,12,1,-,1
"용산구",보광동,7480,4100,1664,949,593,137,33,3,1,-,-
"용산구",청파동,11051,6680,2079,1168,834,223,48,12,2,1,4
"용산구",원효로1동,8086,4033,1694,1212,923,177,35,5,4,2,1
"용산구",한강로동,11704,6321,2468,1571,1054,206,56,17,7,2,2
