"동별(1)",동별(2),2024. 02,2024. 02,2024. 02,2024. 02,2024. 02,2024. 02,2024. 02,2024. 02,2024. 02,2024. 02,2024. 02
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72294,37986,14471,10171,7225,1845,423,110,37,15,11
"종로구",사직동,4549,2311,924,665,486,119,24,14,2,1,3
"종로구",삼청동,1124,561,259,136,107,44,12,4,1,-,-
"종로구",부암동,4130,1683,987,739,525,143,38,11,3,-,1
"종로구",평창동,7121,2248,1801,1459,1152,344,81,18,14,2,2
"종로구",무악동,3010,710,743,693,674,151,27,9,1,1,1
"종로구",교남동,4344,1625,1056,887,624,126,14,9,1,2,-
"종로구",가회동,1907,909,405,326,194,51,18,2,1,-,1
"종로구",종로1.2.3.4가동,4889,3910,492,258,170,43,12,3,-,1,-
"종로구",종로5.6가동,3567,2565,492,293,172,36,6,3,-,-,-
"종로구",이화동,4267,2783,742,405,256,59,16,3,1,2,-
"종로구",창신1동,2618,1549,546,313,148,50,8,4,-,-,-
"종로구",창신2동,3976,2037,961,532,341,76,24,3,2,-,-
"종로구",창신3동,2765,941,737,576,386,105,16,4,-,-,-
"종로구",숭인1동,3009,1495,705,440,278,67,23,1,-,-,-
"종로구",숭인2동,6803,4942,1018,476,288,66,11,2,-,-,-
"종로구",청운효자동,5041,1967,1180,952,694,185,42,12,6,3,-
"종로구",혜화동,9174,5750,1423,1021,730,180,51,8,5,3,3
"중구",소계,64972,34802,14183,8705,5511,1317,313,88,32,8,13
"중구",소공동,1246,739,241,158,90,7,6,4,-,-,1
"중구",회현동,2504,1530,435,289,177,52,12,7,1,1,-
"중구",명동,1390,967,218,114,64,18,2,4,-,1,2
"중구",필동,2555,1725,429,212,135,41,8,3,1,-,1
"중구",장충동,2835,1918,453,236,160,45,16,4,1,1,1
"중구",광희동,4006,2939,596,274,135,39,18,2,3,-,-
"중구",을지로동,2150,1543,387,140,66,11,3,-,-,-,-
"중구",신당5동,5414,2825,1253,721,475,107,19,9,3,2,-
"중구",황학동,7453,4440,1585,816,476,112,17,4,1,1,1
"중구",중림동,6015,2824,1296,1037,664,153,32,6,3,-,-
"중구",신당동,4722,3142,882,389,217,70,16,5,1,-,-
"중구",다산동,6783,3306,1635,995,673,129,28,10,5,-,2
"중구",약수동,7758,3217,2110,1402,795,169,45,13,4,-,3
"중구",청구동,6153,2569,1587,1058,711,177,41,6,1,2,1
"중구",동화동,3988,1118,1076,864,673,187,50,11,8,-,1
"용산구",소계,106972,52988,23593,15834,10945,2707,654,167,49,17,18
"용산구",후암동,8279,4271,1822,1179,741,201,37,21,3,-,4
"용산구",용산2가동,5027,2783,1214,583,330,92,20,5,-,-,-
"용산구",남영동,4852,3721,604,297,172,46,9,2,-,-,1
"용산구",원효로2동,6257,2593,1450,1129,812,203,46,15,3,3,3
"용산구",효창동,4728,1788,1182,870,680,149,43,9,1,4,2
"용산구",용문동,5309,2127,1348,1010,642,147,27,4,4,-,-
"용산구",이촌1동,9117,1800,2270,2400,2045,453,107,27,10,3,2
"용산구",이촌2동,3603,1317,1051,677,420,108,21,8,-,1,-
"용산구",이태원1동,3440,1968,765,396,234,55,19,2,1,-,-
"용산구",이태원2동,4868,2718,1110,582,331,88,30,6,2,1,-
"용산구",서빙고동,5108,1667,1239,939,889,287,67,14,6,-,-
"용산구",보광동,5796,3237,1334,714,404,87,16,3,-,1,-
"용산구",청파동,11172,7071,2108,1055,684,189,49,9,2,2,3
"용산구",원효로1동,9309,5229,1795,1236,822,181,35,5,4,1,1
"용산구",한강로동,11246,6063,2361,1546,993,200,62,12,8,-,1
"용산구",한남동,8861,4635,1940,1221,746,221,66,25,5,1,1
"성동구",소계,133197,59166,30514,23025,16167,3317,754,187,47,10,10
"성동구",왕십리2동,7419,3045,1743,1382,965,208,58,13,4,-,1
"성동구",마장동,10877,5393,2329,1623,1174,258,78,11,6,2,3
"성동구",사근동,8215,6194,975,525,413,87,12,9,-,-,-
"성동구",행당1동,6455,2810,1391,1185,848,177,31,11,1,1,-
"성동구",행당2동,9238,2472,2523,2187,1663,301,68,18,3,1,2
"성동구",응봉동,5932,1617,1476,1407,1156,219,43,9,4,1,-
"성동구",금호1가동,6501,2293,1675,1374,911,192,42,11,2,1,-
"성동구",금호4가동,6398,2353,1678,1324,831,164,38,8,1,1,-
"성동구",성수1가1동,7457,3339,1738,1245,908,176,44,5,2,-,-
"성동구",성수1가2동,5900,2761,1332,979,663,123,33,6,2,1,-
"성동구",성수2가1동,7635,3888,1748,1080,729,139,38,9,3,-,1
"성동구",성수2가3동,5204,2721,1080,704,531,130,29,8,1,-,-
"성동구",송정동,5363,2982,1160,658,436,102,19,6,-,-,-
"성동구",용답동,7755,5317,1295,603,411,96,26,5,1,-,1
