"동별(1)",동별(2),2024. 03,2024. 03,2024. 03,2024. 03,2024. 03,2024. 03,2024. 03,2024. 03,2024. 03,2024. 03,2024. 03
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72404,38083,14526,10170,7206,1816,427,111,41,13,11
"종로구",사직동,4545,2307,925,668,483,118,25,13,2,1,3
"종로구",삼청동,1118,555,262,132,110,42,12,4,1,0,0
"종로구",부암동,4129,1673,994,735,531,143,38,11,3,0,1
"종로구",평창동,7105,2234,1811,1457,1145,341,78,21,15,2,1
"종로구",무악동,3014,711,751,692,673,148,28,7,2,1,1
"종로구",교남동,4340,1626,1042,897,623,126,15,8,1,2,0
"종로구",가회동,1900,914,403,321,190,50,17,3,1,0,1
"종로구",종로1.2.3.4가동,4918,3935,495,262,164,45,13,3,0,1,0
"종로구",종로5.6가동,3558,2556,491,297,168,37,6,3,0,0,0
"종로구",이화동,4316,2832,754,393,255,60,16,3,2,1,0
"종로구",창신1동,2621,1552,544,311,152,50,8,4,0,0,0
"종로구",창신2동,3974,2038,963,527,342,74,25,3,2,0,0
"종로구",창신3동,2768,949,736,576,385,102,16,4,0,0,0
"종로구",숭인1동,3014,1500,707,442,273,67,23,2,0,0,0
"종로구",숭인2동,6821,4960,1016,482,287,62,12,2,0,0,0
"종로구",청운효자동,5025,1950,1181,952,697,182,42,12,6,3,0
"종로구",혜화동,9238,5791,1451,1026,728,169,53,8,6,2,4
"중구",소계,65132,34935,14225,8690,5499,1329,310,93,29,9,13
"중구",소공동,1241,743,236,155,88,8,6,4,0,0,1
"중구",회현동,2496,1531,430,288,174,52,12,7,1,1,0
"중구",명동,1397,975,217,113,66,18,2,3,0,1,2
"중구",필동,2655,1803,446,218,135,42,6,3,1,0,1
"중구",장충동,2861,1943,456,234,158,46,17,4,1,1,1
"중구",광희동,4011,2947,594,275,132,41,16,3,3,0,0
"중구",을지로동,2154,1542,390,143,65,11,3,0,0,0,0
"중구",신당5동,5419,2823,1257,733,470,102,20,9,3,2,0
"중구",황학동,7460,4423,1602,822,476,112,19,4,0,1,1
"중구",중림동,6002,2809,1307,1033,656,153,32,8,3,1,0
"중구",신당동,4719,3151,878,381,216,70,15,6,2,0,0
"중구",다산동,6799,3328,1642,978,677,128,29,11,4,0,2
"중구",약수동,7767,3226,2106,1402,794,175,44,14,3,0,3
"중구",청구동,6157,2571,1589,1054,709,185,39,6,1,2,1
"중구",동화동,3994,1120,1075,861,683,186,50,11,7,0,1
"용산구",소계,106272,52693,23347,15760,10887,2694,644,162,50,17,18
"용산구",후암동,8254,4246,1824,1181,741,200,36,19,3,0,4
"용산구",용산2가동,5018,2797,1194,583,330,90,19,5,0,0,0
"용산구",남영동,4858,3732,601,297,169,47,9,2,0,0,1
"용산구",원효로2동,6266,2596,1469,1129,805,202,42,14,3,3,3
"용산구",효창동,4737,1795,1177,880,678,148,42,8,3,5,1
"용산구",용문동,5291,2131,1336,1001,640,146,29,4,4,0,0
"용산구",이촌1동,9118,1814,2251,2414,2039,454,107,25,8,4,2
"용산구",이촌2동,3610,1319,1051,683,418,109,22,7,0,1,0
"용산구",이태원1동,3439,1955,775,397,233,56,19,3,1,0,0
"용산구",이태원2동,4869,2712,1118,578,334,89,29,6,2,0,1
"용산구",서빙고동,5114,1665,1238,943,897,287,63,15,6,0,0
"용산구",보광동,5425,3056,1225,673,372,80,15,3,1,0,0
"용산구",청파동,11205,7124,2092,1051,681,192,49,9,2,2,3
"용산구",원효로1동,9307,5239,1789,1228,826,179,35,4,5,1,1
"용산구",한강로동,11256,6075,2359,1542,998,199,63,12,7,0,1
"용산구",한남동,8505,4437,1848,1180,726,216,65,26,5,1,1
"성동구",소계,133374,59351,30578,23016,16114,3312,753,184,47,10,9
"성동구",왕십리2동,7400,3024,1749,1385,957,206,61,13,4,0,1
"성동구",마장동,10888,5406,2335,1617,1175,256,77,11,6,2,3
