"동별(1)",동별(2),2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72584,38043,14398,10232,7422,1864,457,117,32,8,11
"종로구",사직동,4580,2325,920,656,514,115,30,15,2,1,2
"종로구",삼청동,1137,560,262,135,122,39,14,5,-,-,-
"종로구",부암동,4127,1655,983,749,544,139,42,10,4,-,1
"종로구",평창동,7215,2340,1774,1468,1171,345,80,23,12,-,2
"종로구",무악동,3013,705,737,700,684,154,23,8,-,1,1
"종로구",교남동,4385,1651,1059,908,612,125,20,8,1,1,-
"종로구",가회동,1937,928,417,313,207,49,17,4,1,-,1
"종로구",종로1.2.3.4가동,4951,3970,492,265,170,38,11,4,-,1,-
"종로구",종로5.6가동,3620,2609,501,287,175,37,8,3,-,-,-
"종로구",이화동,4288,2787,741,408,262,64,19,4,-,2,1
"종로구",창신1동,2692,1604,565,302,155,49,13,4,-,-,-
"종로구",창신2동,3996,2026,957,544,352,88,26,2,1,-,-
"종로구",창신3동,2772,942,711,594,386,113,21,4,1,-,-
"종로구",숭인1동,2978,1489,678,433,287,71,19,1,-,-,-
"종로구",숭인2동,6562,4718,986,468,308,66,14,2,-,-,-
"종로구",청운효자동,5109,1982,1163,987,725,191,44,9,6,2,-
"종로구",혜화동,9222,5752,1452,1015,748,181,56,11,4,-,3
"중구",소계,64260,33995,14023,8712,5715,1360,321,84,29,8,13
"중구",소공동,1260,753,242,157,89,10,5,2,1,-,1
"중구",회현동,2548,1541,454,296,186,51,9,9,1,1,-
"중구",명동,1440,1001,220,120,75,14,3,3,1,1,2
"중구",필동,2449,1637,413,205,142,40,7,4,-,-,1
"중구",장충동,2869,1952,451,227,173,47,13,3,-,1,2
"중구",광희동,3848,2780,594,274,144,34,17,3,2,-,-
"중구",을지로동,1816,1378,258,114,53,11,2,-,-,-,-
"중구",신당5동,5334,2746,1222,721,494,121,20,6,2,2,-
"중구",황학동,7433,4361,1584,844,506,109,20,7,-,1,1
"중구",중림동,5734,2559,1288,990,693,158,35,8,3,-,-
"중구",신당동,4748,3156,862,408,233,65,19,3,2,-,-
"중구",다산동,6831,3295,1661,1002,682,145,34,7,3,-,2
"중구",약수동,7787,3159,2141,1437,803,178,47,16,3,-,3
"중구",청구동,6186,2563,1591,1066,728,186,45,3,2,2,-
"중구",동화동,3977,1114,1042,851,714,191,45,10,9,-,1
"용산구",소계,109717,54210,23958,16342,11519,2749,688,169,46,18,18
"용산구",후암동,8284,4224,1810,1182,788,208,42,22,3,-,5
"용산구",용산2가동,5092,2838,1191,606,344,91,18,3,1,-,-
"용산구",남영동,4973,3821,612,299,184,42,9,5,-,-,1
"용산구",원효로2동,6181,2492,1416,1134,864,196,57,12,6,1,3
"용산구",효창동,4734,1755,1169,872,724,147,52,8,2,5,-
"용산구",용문동,5319,2117,1345,1015,658,141,33,5,3,2,-
"용산구",이촌1동,9156,1849,2236,2390,2082,458,103,25,9,2,2
"용산구",이촌2동,3598,1296,1009,703,439,115,27,9,-,-,-
"용산구",이태원1동,3477,2009,742,397,250,54,22,2,1,-,-
"용산구",이태원2동,4826,2695,1066,591,346,91,33,2,2,-,-
"용산구",서빙고동,5102,1687,1177,944,921,292,60,18,3,-,-
"용산구",보광동,6992,3823,1621,905,505,112,22,2,1,1,-
"용산구",청파동,11149,6946,2126,1094,725,194,46,13,1,1,3
"용산구",원효로1동,9293,5116,1862,1249,844,177,32,8,3,1,1
"용산구",한강로동,11326,6094,2341,1598,1014,202,56,11,6,2,2
"용산구",한남동,10215,5448,2235,1363,831,229,76,24,5,3,1
"성동구",소계,133551,58763,30327,23334,16720,3381,766,189,47,14,10
"성동구",왕십리2동,7368,2943,1718,1396,1024,206,64,13,2,1,1
"성동구",마장동,10936,5316,2382,1645,1220,263,88,9,8,2,3
"성동구",사근동,8310,6263,968,553,415,91,12,8,-,-,-
"성동구",행당1동,6469,2832,1360,1200,851,182,30,9,4,1,-
"성동구",행당2동,9257,2471,2465,2231,1688,307,69,20,3,1,2
"성동구",응봉동,5949,1618,1469,1402,1183,218,44,10,4,1,-
"성동구",금호1가동,6538,2273,1653,1409,954,192,40,12,4,1,-
"성동구",금호4가동,6405,2309,1676,1343,865,168,36,6,2,-,-
"성동구",성수1가1동,7469,3257,1756,1264,958,180,44,7,3,-,-
"성동구",성수1가2동,5977,2801,1345,963,686,140,31,8,2,1,-
"성동구",성수2가1동,7770,3933,1747,1143,748,152,37,7,3,-,-
"성동구",성수2가3동,5309,2792,1089,702,552,135,28,9,1,1,-
"성동구",송정동,5425,2998,1141,676,475,109,17,7,-,2,-
"성동구",용답동,7511,5070,1273,603,438,91,30,4,-,-,2
"성동구",왕십리도선동,12218,5135,2701,2232,1704,343,71,26,4,1,1
"성동구",금호2.3가동,9892,3566,2600,2045,1338,271,48,18,5,-,1
"성동구",옥수동,10748,3186,2984,2527,1621,333,77,16,2,2,-
"광진구",소계,169950,84705,35252,25345,19536,3931,874,219,62,13,13
"광진구",화양동,18258,15069,1953,682,435,82,28,7,1,-,1
"광진구",군자동,11385,7035,2055,1292,796,151,41,10,3,2,-
"광진구",중곡1동,8657,4836,1933,1058,656,138,26,10,-,-,-
"광진구",중곡2동,10667,5240,2487,1564,1073,236,52,10,4,1,-
"광진구",중곡3동,8584,4475,2064,1119,727,167,23,7,2,-,-
"광진구",중곡4동,13124,5420,3344,2311,1593,347,79,24,4,1,1
"광진구",능동,6463,3851,1303,714,445,107,36,6,1,-,-
"광진구",구의1동,13139,7591,2626,1553,1069,240,47,9,2,-,2
"광진구",구의2동,11517,4390,2763,2161,1714,375,79,27,4,-,4
"광진구",구의3동,12128,4363,2748,2463,2041,392,92,18,10,-,1
"광진구",광장동,11824,2283,2105,3149,3531,596,121,26,10,2,1
"광진구",자양1동,12093,6688,2519,1511,1087,227,44,11,3,3,-
"광진구",자양2동,10837,4315,2584,2054,1456,329,72,19,7,-,1
"광진구",자양3동,11004,3216,2582,2489,2194,386,96,28,9,3,1
"광진구",자양4동,10270,5933,2186,1225,719,158,38,7,2,1,1
"동대문구",소계,171388,86047,35751,25424,18605,4330,938,215,54,17,7
"동대문구",회기동,6751,4775,898,525,435,92,20,3,2,-,1
"동대문구",휘경1동,7823,4704,1299,904,708,161,39,7,-,1,-
"동대문구",휘경2동,12788,6873,2427,1729,1363,325,52,13,4,1,1
"동대문구",청량리동,10025,5220,2318,1324,883,208,57,10,4,1,-
"동대문구",용신동,20608,12619,3719,2271,1555,342,80,20,1,1,-
"동대문구",제기동,13474,7769,2665,1624,1070,255,71,14,3,1,2
"동대문구",전농1동,14850,7545,3194,2207,1481,333,62,20,6,1,1
"동대문구",전농2동,7562,2378,1930,1627,1250,297,67,10,1,1,1
"동대문구",답십리2동,12519,4715,3260,2353,1698,380,86,20,6,1,-
"동대문구",장안1동,18410,8453,4150,3023,2103,548,101,25,4,3,-
"동대문구",장안2동,14260,5328,3297,2802,2208,470,120,26,6,2,1
"동대문구",이문1동,10770,6997,1723,1023,781,185,44,12,3,2,-
"동대문구",이문2동,8691,3320,2085,1586,1298,322,63,13,4,-,-
"동대문구",답십리1동,12857,5351,2786,2426,1772,412,76,22,10,2,-
"중랑구",소계,188020,84282,45850,30681,21254,4752,929,211,39,15,7
"중랑구",면목2동,12237,5956,2939,1836,1186,259,45,10,5,1,-
