"동별(1)",동별(2),2023. 07,2023. 07,2023. 07,2023. 07,2023. 07,2023. 07,2023. 07,2023. 07,2023. 07,2023. 07,2023. 07
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72440,37951,14414,10265,7351,1841,453,108,36,9,12
"종로구",사직동,4559,2293,927,661,512,118,29,13,3,1,2
"종로구",삼청동,1123,553,265,132,111,44,14,3,1,-,-
"종로구",부암동,4136,1667,990,753,533,136,42,10,4,-,1
"종로구",평창동,7206,2328,1768,1475,1172,343,84,21,12,-,3
"종로구",무악동,3014,704,746,707,668,155,24,8,-,1,1
"종로구",교남동,4354,1632,1049,900,622,123,17,9,1,1,-
"종로구",가회동,1940,929,421,315,206,48,16,3,1,-,1
"종로구",종로1.2.3.4가동,4939,3962,487,267,169,38,12,3,-,1,-
"종로구",종로5.6가동,3627,2613,500,290,176,36,9,3,-,-,-
"종로구",이화동,4280,2790,731,409,261,64,19,2,2,1,1
"종로구",창신1동,2684,1598,565,313,144,48,12,4,-,-,-
"종로구",창신2동,3981,2029,955,538,350,81,25,2,1,-,-
"종로구",창신3동,2775,940,721,602,381,108,19,3,1,-,-
"종로구",숭인1동,2982,1495,683,440,272,70,21,1,-,-,-
"종로구",숭인2동,6565,4726,984,470,302,70,11,2,-,-,-
"종로구",청운효자동,5084,1968,1170,980,717,185,45,11,5,3,-
"종로구",혜화동,9191,5724,1452,1013,755,174,54,10,5,1,3
"중구",소계,64465,34187,14059,8749,5677,1338,323,81,29,9,13
"중구",소공동,1251,755,235,155,88,9,5,2,1,-,1
"중구",회현동,2552,1546,456,292,186,52,10,8,1,1,-
"중구",명동,1431,995,222,119,70,15,3,3,1,1,2
"중구",필동,2473,1654,415,210,142,40,7,3,1,-,1
"중구",장충동,2859,1941,461,223,168,46,14,3,-,1,2
"중구",광희동,3895,2832,590,277,140,34,17,4,1,-,-
"중구",을지로동,1962,1465,299,123,61,11,3,-,-,-,-
"중구",신당5동,5341,2769,1210,724,491,115,22,6,2,2,-
"중구",황학동,7449,4385,1584,841,502,109,20,6,-,1,1
"중구",중림동,5731,2556,1296,1003,672,160,36,5,3,-,-
"중구",신당동,4727,3143,858,409,230,64,18,3,2,-,-
"중구",다산동,6841,3308,1660,1002,682,140,36,8,3,-,2
"중구",약수동,7781,3158,2140,1447,799,171,44,16,3,-,3
"중구",청구동,6185,2562,1596,1063,730,181,44,5,2,2,-
"중구",동화동,3987,1118,1037,861,716,191,44,9,9,1,1
"용산구",소계,109674,54251,24032,16256,11461,2752,675,166,48,14,19
"용산구",후암동,8282,4260,1778,1184,775,215,42,20,4,-,4
"용산구",용산2가동,5090,2844,1180,617,334,92,19,3,1,-,-
"용산구",남영동,4926,3770,621,294,185,43,9,3,-,-,1
"용산구",원효로2동,6215,2516,1447,1122,865,192,51,12,5,2,3
"용산구",효창동,4736,1767,1177,866,715,147,49,8,2,4,1
"용산구",용문동,5320,2102,1344,1034,653,143,32,7,5,-,-
"용산구",이촌1동,9167,1849,2243,2401,2081,453,102,25,8,2,3
"용산구",이촌2동,3602,1311,1015,693,435,113,27,8,-,-,-
"용산구",이태원1동,3460,1989,748,399,244,58,19,2,1,-,-
"용산구",이태원2동,4826,2696,1078,587,337,91,32,3,2,-,-
