"동별(1)",동별(2),2023. 06,2023. 06,2023. 06,2023. 06,2023. 06,2023. 06,2023. 06,2023. 06,2023. 06,2023. 06,2023. 06
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72507,37989,14405,10258,7382,1848,463,106,37,8,11
"종로구",사직동,4570,2316,919,657,513,118,28,13,3,1,2
"종로구",삼청동,1127,550,267,132,117,42,15,3,1,-,-
"종로구",부암동,4128,1664,982,746,543,136,42,10,4,-,1
"종로구",평창동,7209,2332,1764,1480,1169,344,84,22,12,-,2
"종로구",무악동,3010,702,742,705,673,155,22,9,-,1,1
"종로구",교남동,4375,1645,1055,903,618,124,20,8,1,1,-
"종로구",가회동,1934,928,417,313,205,50,16,3,1,-,1
"종로구",종로1.2.3.4가동,4942,3965,493,262,169,37,12,3,-,1,-
"종로구",종로5.6가동,3621,2606,502,289,175,37,9,3,-,-,-
"종로구",이화동,4271,2773,739,411,258,64,20,2,1,2,1
"종로구",창신1동,2684,1598,566,305,150,48,13,4,-,-,-
"종로구",창신2동,3996,2028,961,543,354,81,26,2,1,-,-
"종로구",창신3동,2776,940,716,601,385,110,20,3,1,-,-
"종로구",숭인1동,2974,1486,683,435,280,68,21,1,-,-,-
"종로구",숭인2동,6570,4728,985,472,301,69,13,2,-,-,-
"종로구",청운효자동,5116,1992,1164,989,722,185,47,9,6,2,-
"종로구",혜화동,9204,5736,1450,1015,750,180,55,9,6,-,3
"중구",소계,64375,34100,14043,8715,5710,1351,324,81,30,8,13
"중구",소공동,1253,748,237,161,89,9,5,2,1,-,1
"중구",회현동,2541,1532,459,289,187,54,10,8,1,1,-
"중구",명동,1436,998,221,119,74,14,3,3,1,1,2
"중구",필동,2462,1646,415,208,141,40,7,3,1,-,1
"중구",장충동,2875,1954,455,229,170,48,13,3,-,1,2
"중구",광희동,3850,2782,592,274,145,35,18,2,2,-,-
"중구",을지로동,1905,1433,284,119,55,12,2,-,-,-,-
"중구",신당5동,5327,2754,1209,726,490,116,22,6,2,2,-
"중구",황학동,7438,4371,1585,838,506,111,18,7,-,1,1
"중구",중림동,5738,2561,1298,988,691,157,34,6,3,-,-
"중구",신당동,4752,3167,857,407,233,64,19,3,2,-,-
"중구",다산동,6841,3315,1661,993,680,144,35,8,3,-,2
"중구",약수동,7778,3152,2139,1442,802,175,46,16,3,-,3
"중구",청구동,6193,2574,1587,1066,730,182,46,4,2,2,-
"중구",동화동,3986,1113,1044,856,717,190,46,10,9,-,1
"용산구",소계,109679,54192,24002,16312,11490,2749,679,169,47,18,21
"용산구",후암동,8280,4238,1794,1189,775,211,42,22,3,-,6
"용산구",용산2가동,5093,2849,1187,601,341,92,19,3,1,-,-
"용산구",남영동,4948,3795,613,298,186,42,9,4,-,-,1
"용산구",원효로2동,6201,2492,1438,1137,866,191,55,12,5,2,3
"용산구",효창동,4740,1766,1175,866,719,148,50,8,2,5,1
"용산구",용문동,5308,2115,1325,1034,645,144,32,6,5,2,-
"용산구",이촌1동,9153,1846,2244,2389,2084,452,101,24,8,2,3
"용산구",이촌2동,3598,1304,1001,709,432,116,28,8,-,-,-
"용산구",이태원1동,3472,2009,745,394,245,55,21,2,1,-,-
"용산구",이태원2동,4826,2695,1075,587,341,91,33,2,2,-,-
"용산구",서빙고동,5102,1680,1183,936,932,290,59,18,4,-,-
"용산구",보광동,6970,3806,1622,898,509,109,22,2,1,1,-
"용산구",청파동,11136,6928,2150,1079,719,196,46,13,1,1,3
"용산구",원효로1동,9327,5152,1854,1253,846,177,32,8,3,1,1
"용산구",한강로동,11335,6091,2353,1583,1026,205,55,12,6,2,2
"용산구",한남동,10190,5426,2243,1359,824,230,75,25,5,2,1
"성동구",소계,133484,58796,30338,23304,16662,3364,760,186,50,15,9
"성동구",왕십리2동,7364,2945,1721,1394,1019,208,60,13,2,1,1
"성동구",마장동,10926,5319,2384,1640,1211,265,84,9,9,2,3
"성동구",사근동,8278,6241,966,549,412,90,12,8,-,-,-
"성동구",행당1동,6464,2831,1365,1200,854,170,30,9,4,1,-
"성동구",행당2동,9258,2466,2485,2221,1676,314,70,20,3,1,2
"성동구",응봉동,5946,1615,1467,1406,1178,222,44,9,4,1,-
"성동구",금호1가동,6551,2285,1660,1415,947,188,39,12,4,1,-
"성동구",금호4가동,6419,2327,1671,1342,868,167,35,7,2,-,-
"성동구",성수1가1동,7456,3253,1762,1252,955,181,43,7,3,-,-
"성동구",성수1가2동,5982,2816,1340,958,689,137,31,8,2,1,-
"성동구",성수2가1동,7742,3920,1748,1126,748,152,38,7,3,-,-
"성동구",성수2가3동,5301,2771,1102,704,551,135,27,9,1,1,-
"성동구",송정동,5423,3011,1124,679,475,107,17,7,1,2,-
"성동구",용답동,7521,5081,1273,605,435,93,29,3,-,1,1
"성동구",왕십리도선동,12224,5149,2696,2238,1699,336,77,23,4,1,1
"성동구",금호2.3가동,9882,3559,2601,2043,1341,264,48,20,5,-,1
"성동구",옥수동,10747,3207,2973,2532,1604,335,76,15,3,2,-
"광진구",소계,169857,84746,35248,25277,19471,3931,876,219,63,13,13
"광진구",화양동,18246,15031,1971,689,436,83,27,7,1,-,1
"광진구",군자동,11387,7050,2056,1283,789,153,41,10,3,2,-
"광진구",중곡1동,8637,4835,1924,1054,648,141,26,9,-,-,-
"광진구",중곡2동,10666,5250,2486,1557,1069,239,49,11,4,1,-
"광진구",중곡3동,8557,4456,2065,1112,722,170,23,7,2,-,-
"광진구",중곡4동,13116,5438,3334,2312,1576,344,81,25,4,1,1
"광진구",능동,6461,3853,1304,709,443,108,37,6,1,-,-
"광진구",구의1동,13170,7616,2634,1557,1061,240,49,9,2,-,2
"광진구",구의2동,11514,4396,2777,2137,1717,374,78,27,4,-,4
"광진구",구의3동,12084,4345,2744,2445,2043,383,95,18,10,-,1
"광진구",광장동,11830,2293,2111,3149,3526,594,116,27,11,2,1
"광진구",자양1동,12074,6670,2529,1500,1086,227,45,11,3,3,-
"광진구",자양2동,10837,4326,2572,2054,1454,330,74,19,7,-,1
"광진구",자양3동,11005,3239,2569,2492,2182,387,96,27,9,3,1
"광진구",자양4동,10273,5948,2172,1227,719,158,39,6,2,1,1
"동대문구",소계,171703,86251,35761,25535,18642,4314,912,212,51,16,9
"동대문구",회기동,6716,4745,890,528,435,92,20,3,2,-,1
"동대문구",휘경1동,7796,4681,1300,901,707,161,38,7,-,1,-
"동대문구",휘경2동,12779,6875,2423,1722,1363,326,51,13,4,1,1
"동대문구",청량리동,10087,5288,2312,1338,875,207,52,10,4,1,-
"동대문구",용신동,21024,12722,3803,2404,1646,348,79,19,2,1,-
"동대문구",제기동,13445,7787,2638,1617,1068,244,71,14,3,1,2
