"동별(1)",동별(2),2021. 11,2021. 11,2021. 11,2021. 11,2021. 11,2021. 11,2021. 11,2021. 11,2021. 11,2021. 11,2021. 11
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73586,37838,14528,10472,8012,2053,489,131,41,9,13
"종로구",사직동,4687,2350,947,703,515,120,32,15,2,-,3
"종로구",삼청동,1239,634,253,161,136,35,15,5,-,-,-
"종로구",부암동,4274,1691,985,774,596,172,39,11,2,1,3
"종로구",평창동,7497,2444,1832,1483,1275,348,79,18,13,3,2
"종로구",무악동,3074,700,718,745,696,175,25,12,1,1,1
"종로구",교남동,4464,1651,1075,906,664,127,32,6,2,1,-
"종로구",가회동,2008,946,438,320,219,57,19,6,2,-,1
"종로구",종로1.2.3.4가동,5237,4182,521,281,188,43,16,4,2,-,-
"종로구",종로5.6가동,3408,2438,494,259,171,38,6,2,-,-,-
"종로구",이화동,4324,2738,748,441,297,74,16,7,2,1,-
"종로구",창신1동,2825,1693,565,304,186,57,16,4,-,-,-
"종로구",창신2동,4036,1974,962,539,408,121,25,5,2,-,-
"종로구",창신3동,2802,920,707,611,404,129,29,-,2,-,-
"종로구",숭인1동,2971,1458,677,426,310,77,21,2,-,-,-
"종로구",숭인2동,6260,4388,940,492,341,80,14,5,-,-,-
"종로구",청운효자동,5249,2001,1173,1015,787,204,48,12,7,2,-
"종로구",혜화동,9231,5630,1493,1012,819,196,57,17,4,-,3
"중구",소계,63493,32654,13872,8879,6125,1456,369,90,24,7,17
"중구",소공동,1289,781,230,179,79,12,3,3,-,1,1
"중구",회현동,2762,1709,464,290,220,57,12,8,1,1,-
"중구",명동,1530,1071,222,130,76,19,4,3,2,-,3
"중구",필동,2489,1675,394,229,138,41,10,-,1,-,1
"중구",장충동,2764,1798,456,240,189,57,18,2,1,1,2
"중구",광희동,3374,2324,541,298,148,43,17,1,1,-,1
"중구",을지로동,1353,1103,157,53,27,10,2,1,-,-,-
"중구",신당5동,5378,2736,1195,749,533,127,29,5,3,1,-
"중구",황학동,7060,3974,1538,872,529,111,25,9,-,1,1
"중구",중림동,5669,2437,1298,1010,721,155,35,13,-,-,-
"중구",신당동,4710,3039,884,428,266,69,17,5,2,-,-
"중구",다산동,6887,3214,1689,1025,738,170,35,11,3,-,2
"중구",약수동,7848,3118,2141,1412,899,202,59,10,3,-,4
"중구",청구동,6281,2500,1619,1108,810,180,53,5,3,2,1
"중구",동화동,4099,1175,1044,856,752,203,50,14,4,-,1
"용산구",소계,111126,54095,23935,16725,12416,2979,711,177,50,16,22
"용산구",후암동,8452,4183,1840,1257,867,232,45,16,6,2,4
"용산구",용산2가동,5255,2883,1202,647,394,103,20,5,1,-,-
"용산구",남영동,5193,3990,624,292,225,39,16,6,-,-,1
"용산구",원효로2동,5984,2237,1359,1165,934,206,61,13,3,2,4
"용산구",효창동,4394,1633,1052,810,673,167,45,10,1,1,2
"용산구",용문동,5370,2068,1321,1023,742,164,38,9,3,2,-
"용산구",이촌1동,9581,2089,2257,2423,2176,481,110,32,9,3,1
"용산구",이촌2동,3698,1298,1025,731,477,127,28,9,3,-,-
"용산구",이태원1동,3629,2081,775,431,256,60,20,3,1,-,2
"용산구",이태원2동,4917,2666,1101,646,362,104,28,7,1,1,1
