"동별(1)",동별(2),2021. 10,2021. 10,2021. 10,2021. 10,2021. 10,2021. 10,2021. 10,2021. 10,2021. 10,2021. 10,2021. 10
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,73613,37774,14538,10492,8062,2065,482,139,39,10,12
"종로구",사직동,4686,2346,953,698,518,120,30,16,2,-,3
"종로구",삼청동,1251,644,256,160,137,35,14,5,-,-,-
"종로구",부암동,4278,1693,992,767,602,166,40,12,2,1,3
"종로구",평창동,7479,2438,1810,1482,1282,354,75,21,12,4,1
"종로구",무악동,3078,694,725,744,701,174,24,14,-,1,1
"종로구",교남동,4460,1642,1075,904,666,132,31,7,2,1,-
"종로구",가회동,2013,937,443,328,219,58,20,5,2,-,1
"종로구",종로1.2.3.4가동,5235,4173,525,281,188,46,16,4,2,-,-
"종로구",종로5.6가동,3408,2438,492,261,170,39,6,2,-,-,-
"종로구",이화동,4312,2726,739,441,306,76,14,7,2,1,-
"종로구",창신1동,2842,1701,571,300,191,59,16,4,-,-,-
"종로구",창신2동,4045,1976,960,546,410,121,25,5,2,-,-
"종로구",창신3동,2810,921,709,616,402,131,29,-,2,-,-
"종로구",숭인1동,2966,1448,677,428,310,79,22,2,-,-,-
"종로구",숭인2동,6232,4347,944,499,344,78,15,5,-,-,-
"종로구",청운효자동,5252,2006,1168,1015,794,198,49,14,6,2,-
"종로구",혜화동,9266,5644,1499,1022,822,199,56,16,5,-,3
"중구",소계,63409,32523,13848,8893,6170,1466,371,89,25,7,17
"중구",소공동,1282,779,226,179,78,13,3,2,-,1,1
"중구",회현동,2773,1719,464,286,223,58,13,8,1,1,-
"중구",명동,1531,1070,226,125,78,19,5,3,2,-,3
"중구",필동,2495,1673,398,231,138,44,9,-,1,-,1
"중구",장충동,2754,1793,450,241,190,56,18,2,1,1,2
"중구",광희동,3362,2309,541,299,150,43,17,1,1,-,1
"중구",을지로동,1352,1100,156,54,29,10,2,1,-,-,-
"중구",신당5동,5378,2733,1204,740,536,127,29,5,3,1,-
"중구",황학동,6978,3891,1530,876,529,116,25,8,1,1,1
"중구",중림동,5663,2415,1302,1011,733,154,34,12,2,-,-
"중구",신당동,4711,3038,876,436,266,70,17,7,1,-,-
"중구",다산동,6898,3233,1666,1028,750,169,37,10,3,-,2
"중구",약수동,7849,3115,2146,1401,910,201,60,10,2,-,4
"중구",청구동,6276,2489,1612,1118,811,182,53,5,3,2,1
"중구",동화동,4107,1166,1051,868,749,204,49,15,4,-,1
"용산구",소계,111067,53964,23877,16768,12479,2997,712,180,51,17,22
"용산구",후암동,8455,4168,1840,1263,876,232,47,16,7,2,4
"용산구",용산2가동,5236,2859,1198,653,397,105,18,5,1,-,-
"용산구",남영동,5160,3960,617,291,226,43,16,6,-,-,1
"용산구",원효로2동,5968,2221,1344,1171,942,207,60,13,4,2,4
"용산구",효창동,4393,1630,1050,817,673,163,46,10,1,1,2
"용산구",용문동,5369,2054,1336,1021,736,169,40,8,3,2,-
"용산구",이촌1동,9603,2094,2255,2417,2191,485,114,34,9,3,1
"용산구",이촌2동,3695,1291,1024,736,479,127,26,9,3,-,-
"용산구",이태원1동,3630,2082,772,436,252,62,19,5,-,-,2
"용산구",이태원2동,4928,2683,1088,649,368,101,29,7,1,1,1
"용산구",서빙고동,5311,1795,1163,957,1011,312,59,13,1,-,-
"용산구",보광동,7456,4072,1663,950,596,137,34,3,1,-,-
"용산구",청파동,11067,6714,2065,1170,833,218,48,12,2,1,4
"용산구",원효로1동,8107,4051,1677,1231,924,177,33,7,4,2,1
"용산구",한강로동,11686,6309,2450,1579,1059,208,56,16,7,1,1
"용산구",한남동,11003,5981,2335,1427,916,251,67,16,7,2,1
"성동구",소계,134517,57649,30258,23850,17936,3696,827,215,59,17,10
"성동구",왕십리2동,7419,2917,1734,1421,1055,210,66,10,5,-,1
"성동구",마장동,10967,5190,2369,1661,1348,291,78,15,10,3,2
"성동구",사근동,8015,5877,1007,556,436,115,17,6,1,-,-
"성동구",행당1동,6442,2722,1397,1187,897,187,37,12,2,1,-
"성동구",행당2동,9254,2366,2451,2202,1792,330,82,23,5,2,1
"성동구",응봉동,6058,1627,1435,1437,1238,255,48,10,6,1,1
"성동구",금호1가동,6577,2182,1677,1427,1025,210,46,10,-,-,-
"성동구",금호4가동,6384,2283,1620,1363,906,164,31,14,3,-,-
"성동구",성수1가1동,7806,3380,1782,1286,1095,205,46,6,5,1,-
"성동구",성수1가2동,6189,2853,1356,1025,748,162,34,7,3,1,-
"성동구",성수2가1동,8200,4124,1788,1221,847,167,39,9,3,2,-
"성동구",성수2가3동,5598,2935,1132,736,588,152,39,12,2,-,2
"성동구",송정동,5583,2985,1166,745,516,136,28,6,-,1,-
"성동구",용답동,7105,4577,1236,677,476,103,26,8,-,1,1
"성동구",왕십리도선동,11885,4758,2547,2265,1846,350,83,25,8,2,1
"성동구",금호2.3가동,10111,3642,2591,2094,1413,294,52,21,3,-,1
"성동구",옥수동,10924,3231,2970,2547,1710,365,75,21,3,2,-
"광진구",소계,167559,80514,34792,25619,21060,4299,954,233,57,14,17
"광진구",화양동,17629,14341,1967,708,492,87,24,8,1,-,1
"광진구",군자동,11312,6821,2077,1304,862,181,50,12,3,1,1
"광진구",중곡1동,8344,4412,1904,1092,727,157,41,8,2,1,-
"광진구",중곡2동,10654,4918,2540,1655,1190,278,55,12,5,1,-
"광진구",중곡3동,8467,4261,2002,1143,831,192,27,9,2,-,-
"광진구",중곡4동,13156,5172,3288,2483,1713,388,85,19,5,2,1
"광진구",능동,6393,3711,1301,726,492,114,39,8,2,-,-
"광진구",구의1동,12153,7016,2450,1414,982,229,47,10,2,-,3
"광진구",구의2동,11590,4260,2745,2208,1845,402,94,27,4,1,4
"광진구",구의3동,12103,4224,2675,2431,2227,430,84,24,6,1,1
"광진구",광장동,11956,2274,2078,3087,3700,632,147,26,8,2,2
"광진구",자양1동,11896,6366,2485,1588,1132,268,44,6,5,1,1
"광진구",자양2동,11028,4188,2631,2100,1654,349,80,22,3,-,1
"광진구",자양3동,11098,3139,2585,2417,2404,413,97,31,7,4,1
"광진구",자양4동,9780,5411,2064,1263,809,179,40,11,2,-,1
"동대문구",소계,167754,81924,34970,25433,19517,4599,993,233,57,18,10
"동대문구",회기동,6524,4454,923,558,445,111,26,4,2,1,-
"동대문구",휘경1동,7508,4322,1315,893,752,179,35,11,-,1,-
"동대문구",휘경2동,12104,6194,2219,1759,1495,342,75,13,5,-,2
"동대문구",청량리동,9671,4772,2242,1393,949,247,58,7,3,-,-
"동대문구",용신동,18631,11895,3253,1858,1236,298,71,14,6,-,-
"동대문구",제기동,13460,7534,2719,1633,1164,311,78,15,3,2,1
"동대문구",전농1동,14897,7441,3130,2262,1599,371,62,23,5,2,2
"동대문구",전농2동,7662,2322,1953,1620,1353,327,71,11,4,-,1
"동대문구",답십리2동,12679,4697,3210,2427,1811,408,101,19,5,1,-
"동대문구",장안1동,18368,8228,4168,3038,2248,561,95,23,5,2,-
"동대문구",장안2동,14028,5077,3195,2804,2314,480,117,34,4,2,1
"동대문구",이문1동,10395,6437,1776,1052,869,192,47,15,3,2,2
"동대문구",이문2동,8736,3249,2056,1614,1391,329,70,21,3,2,1
"동대문구",답십리1동,13091,5302,2811,2522,1891,443,87,23,9,3,-
"중랑구",소계,185505,80760,44578,30897,22798,5154,1008,239,46,16,9
"중랑구",면목2동,12160,5825,2817,1864,1297,293,50,10,4,-,-
"중랑구",면목4동,9160,3912,2285,1581,1073,242,50,16,-,1,-
"중랑구",면목5동,6446,2219,1650,1362,969,208,27,11,-,-,-
"중랑구",면목7동,10628,4680,2656,1763,1220,238,58,8,5,-,-
"중랑구",상봉1동,10288,3365,2575,2184,1775,310,61,14,3,1,-
"중랑구",상봉2동,12266,7551,2494,1299,722,156,34,9,1,-,-
"중랑구",중화1동,9095,3545,2368,1671,1191,257,45,14,2,2,-
"중랑구",중화2동,13662,7321,3141,1774,1118,243,48,10,3,2,2
"중랑구",묵1동,14858,5285,3536,2862,2427,585,121,34,4,4,-
"중랑구",묵2동,9291,4189,2288,1504,1003,244,54,5,1,2,1
"중랑구",망우3동,8230,3858,1969,1331,834,184,45,7,1,1,-
"중랑구",신내1동,14627,3717,3685,3033,3080,890,165,44,9,1,3
"중랑구",신내2동,9038,3123,2384,1835,1371,264,46,9,5,-,1
"중랑구",면목본동,17669,8955,4130,2496,1638,362,68,15,3,1,1
"중랑구",면목3.8동,12691,6027,3133,1908,1295,251,61,14,1,1,-
"중랑구",망우본동,15396,7188,3467,2430,1785,427,75,19,4,-,1
"성북구",소계,195126,79522,43519,34586,29091,6553,1381,314,99,29,32
"성북구",돈암1동,6128,1854,1660,1261,1054,231,56,7,2,2,1
"성북구",돈암2동,8620,1767,1965,2164,2096,480,102,32,10,2,2
"성북구",안암동,9404,6403,1426,808,614,115,31,4,1,-,2
"성북구",보문동,7734,3809,1613,1195,871,210,24,7,3,1,1
"성북구",정릉1동,7370,2253,1692,1650,1377,301,74,15,3,2,3
"성북구",정릉2동,9878,3354,2542,1968,1559,339,80,25,7,3,1
"성북구",정릉3동,7870,4307,1623,985,726,170,41,10,2,2,4
"성북구",정릉4동,10865,3839,2765,2122,1632,390,85,19,10,2,1
"성북구",길음1동,12544,2522,2521,3129,3518,682,134,22,8,2,6
"성북구",길음2동,6911,2290,1557,1440,1286,268,56,10,2,2,-
"성북구",월곡1동,10852,3379,2647,2241,2008,454,95,22,4,1,1
"성북구",월곡2동,9646,4673,2032,1451,1121,280,65,10,11,2,1
"성북구",장위1동,10744,4016,2599,1992,1652,389,69,21,4,2,-
"성북구",장위2동,6701,2920,1744,1094,692,193,48,9,-,1,-
"성북구",장위3동,6518,2102,1401,1411,1272,263,53,13,2,1,-
"성북구",성북동,8239,4027,1836,1182,865,236,64,16,8,-,5
"성북구",삼선동,11543,5830,2344,1567,1400,308,71,17,4,1,1
"성북구",동선동,9549,6329,1516,896,602,164,29,7,4,1,1
"성북구",종암동,17169,6617,3880,3111,2778,628,119,23,10,2,1
"성북구",석관동,16841,7231,4156,2919,1968,452,85,25,4,-,1
"강북구",소계,144501,63439,35388,23612,17000,3979,839,167,42,16,19
"강북구",번1동,10266,5738,2196,1280,850,157,39,5,1,-,-
"강북구",번2동,7595,3097,2129,1286,815,206,50,9,1,-,2
"강북구",번3동,7488,2499,2254,1396,1024,249,55,9,2,-,-
"강북구",수유1동,10350,4910,2492,1592,1012,264,59,11,2,3,5
"강북구",수유2동,9843,3830,2645,1780,1196,307,63,15,2,4,1
"강북구",수유3동,12944,7369,2680,1612,981,239,48,7,5,2,1
"강북구",삼양동,11159,4662,2774,1912,1371,347,73,11,6,2,1
"강북구",미아동,11695,6317,2538,1538,999,244,45,7,5,1,1
"강북구",송중동,13995,6095,3379,2296,1731,382,81,24,3,1,3
"강북구",송천동,13555,6509,3316,2000,1362,300,53,10,2,1,2
"강북구",삼각산동,11562,2623,2589,2758,2852,590,115,27,8,-,-
"강북구",우이동,9613,3808,2620,1650,1168,288,62,11,4,1,1
"강북구",인수동,14436,5982,3776,2512,1639,406,96,21,1,1,2
"도봉구",소계,138655,48459,35717,27330,21064,4797,966,237,57,22,6
"도봉구",쌍문1동,9405,3306,2507,1864,1274,350,79,20,3,2,-
"도봉구",쌍문2동,8582,3270,2306,1569,1103,269,49,10,3,1,2
"도봉구",쌍문3동,7865,3304,1966,1384,944,224,35,7,1,-,-
"도봉구",쌍문4동,7110,1664,1726,1721,1633,308,50,6,2,-,-
"도봉구",방학1동,12923,5020,3179,2291,1830,477,97,18,6,2,3
"도봉구",방학2동,9396,3939,2454,1602,1057,279,49,11,4,1,-
"도봉구",방학3동,10018,2020,2602,2460,2271,522,110,25,5,3,-
"도봉구",창1동,10973,4013,2728,2106,1725,314,69,13,5,-,-
"도봉구",창2동,12579,4232,3363,2551,1861,439,89,33,6,5,-
"도봉구",창3동,6538,2633,1764,1120,782,193,29,14,3,-,-
"도봉구",창4동,10728,3155,2544,2390,2119,424,72,15,7,1,1
"도봉구",창5동,10253,3154,2646,2192,1795,357,81,21,4,3,-
"도봉구",도봉1동,10373,4508,2786,1726,1013,255,63,16,5,1,-
