"동별(1)",동별(2),2022. 09,2022. 09,2022. 09,2022. 09,2022. 09,2022. 09,2022. 09,2022. 09,2022. 09,2022. 09,2022. 09
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72797,37856,14425,10318,7636,1923,468,111,41,8,11
"종로구",사직동,4583,2315,921,682,498,115,32,13,4,-,3
"종로구",삼청동,1157,569,255,151,119,42,16,5,-,-,-
"종로구",부암동,4177,1660,970,791,553,150,38,9,3,1,2
"종로구",평창동,7323,2345,1827,1458,1247,327,85,20,12,-,2
"종로구",무악동,3024,700,737,708,690,155,22,10,-,1,1
"종로구",교남동,4396,1639,1045,912,639,128,22,8,1,2,-
"종로구",가회동,1942,931,415,311,202,58,17,4,2,1,1
"종로구",종로1.2.3.4가동,4922,3915,504,268,176,42,12,3,2,-,-
"종로구",종로5.6가동,3457,2525,485,254,148,36,7,2,-,-,-
"종로구",이화동,4316,2770,750,428,281,64,16,4,1,2,-
"종로구",창신1동,2743,1655,551,292,171,57,12,5,-,-,-
"종로구",창신2동,4002,2002,940,550,380,100,25,3,2,-,-
"종로구",창신3동,2778,936,703,597,395,123,21,2,1,-,-
"종로구",숭인1동,2969,1473,683,427,290,75,19,2,-,-,-
"종로구",숭인2동,6552,4688,955,493,324,74,15,2,1,-,-
"종로구",청운효자동,5154,1970,1184,995,748,191,49,8,8,1,-
"종로구",혜화동,9302,5763,1500,1001,775,186,60,11,4,-,2
"중구",소계,63300,32965,13900,8721,5820,1405,346,97,22,6,18
"중구",소공동,1298,788,245,168,79,9,5,2,1,-,1
"중구",회현동,2548,1518,453,294,199,58,14,9,1,1,1
"중구",명동,1493,1040,226,119,75,20,5,3,2,-,3
"중구",필동,2447,1632,406,217,138,42,10,1,-,-,1
"중구",장충동,2851,1926,443,238,174,47,17,2,1,-,3
"중구",광희동,3494,2466,545,275,144,38,20,3,2,1,-
"중구",을지로동,1301,1065,151,53,22,7,3,-,-,-,-
"중구",신당5동,5324,2715,1217,728,505,130,19,7,2,1,-
"중구",황학동,7171,4110,1552,855,512,108,23,9,-,1,1
"중구",중림동,5728,2509,1321,987,706,163,32,8,2,-,-
"중구",신당동,4823,3181,876,438,238,66,17,6,1,-,-
"중구",다산동,6814,3229,1669,1005,706,151,39,11,2,-,2
"중구",약수동,7778,3127,2134,1412,844,195,44,17,1,-,4
"중구",청구동,6224,2522,1632,1075,758,178,51,4,2,1,1
"중구",동화동,4006,1137,1030,857,720,193,47,15,5,1,1
"용산구",소계,109954,53982,23832,16478,11932,2761,709,171,55,16,18
"용산구",후암동,8281,4132,1817,1240,808,207,47,17,7,2,4
"용산구",용산2가동,5093,2798,1188,618,376,87,22,3,1,-,-
"용산구",남영동,5016,3842,617,289,203,43,13,8,-,-,1
"용산구",원효로2동,6056,2351,1375,1145,903,205,59,12,2,1,3
"용산구",효창동,4673,1712,1161,856,721,163,44,11,2,2,1
"용산구",용문동,5325,2118,1285,1056,674,143,36,9,2,2,-
"용산구",이촌1동,9186,1882,2218,2392,2105,438,110,27,9,3,2
"용산구",이촌2동,3604,1300,953,736,462,119,25,8,1,-,-
"용산구",이태원1동,3491,2009,746,405,250,57,20,2,2,-,-
"용산구",이태원2동,4850,2674,1090,601,354,95,31,3,2,-,-
"용산구",서빙고동,5175,1726,1185,927,957,301,58,19,2,-,-
"용산구",보광동,7125,3875,1634,918,549,117,28,3,-,1,-
"용산구",청파동,11069,6848,2078,1122,761,193,50,11,1,1,4
"용산구",원효로1동,9110,4963,1814,1249,862,177,28,8,7,1,1
"용산구",한강로동,11435,6140,2413,1549,1058,198,55,13,8,-,1
"용산구",한남동,10465,5612,2258,1375,889,218,83,17,9,3,1
"성동구",소계,133819,58390,30201,23490,17187,3500,779,186,59,16,11
"성동구",왕십리2동,7396,2960,1712,1391,1057,201,60,10,3,1,1
"성동구",마장동,10951,5257,2393,1664,1261,270,81,11,9,2,3
"성동구",사근동,8219,6143,981,540,435,99,13,8,-,-,-
"성동구",행당1동,6473,2815,1402,1168,865,173,36,10,3,1,-
"성동구",행당2동,9252,2485,2433,2186,1721,325,71,23,5,2,1
"성동구",응봉동,5931,1587,1448,1409,1193,231,43,11,6,2,1
"성동구",금호1가동,6511,2200,1659,1437,967,194,43,8,2,1,-
"성동구",금호4가동,6306,2249,1615,1354,877,172,31,6,2,-,-
"성동구",성수1가1동,7672,3318,1770,1325,1004,201,43,4,7,-,-
"성동구",성수1가2동,5983,2754,1337,1008,695,151,31,4,2,1,-
"성동구",성수2가1동,8005,4054,1773,1176,789,167,34,8,3,1,-
"성동구",성수2가3동,5458,2891,1097,712,567,146,36,7,1,-,1
"성동구",송정동,5489,2984,1152,710,488,125,23,6,-,1,-
"성동구",용답동,7256,4863,1197,619,445,98,25,7,-,-,2
"성동구",왕십리도선동,12108,4991,2658,2252,1756,339,74,28,8,1,1
"성동구",금호2.3가동,10040,3636,2621,2049,1378,280,56,16,3,-,1
