"동별(1)",동별(2),2024. 07,2024. 07,2024. 07,2024. 07,2024. 07,2024. 07,2024. 07,2024. 07,2024. 07,2024. 07,2024. 07
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"종로구",소계,72429,38210,14621,10090,7102,1805,417,125,34,14,11
"종로구",사직동,4570,2325,946,659,482,115,25,13,2,-,3
"종로구",삼청동,1114,552,252,142,111,40,10,6,1,-,-
"종로구",부암동,4124,1667,1011,727,515,146,40,13,4,-,1
"종로구",평창동,7144,2274,1833,1457,1115,350,77,25,9,3,1
"종로구",무악동,3000,718,759,680,652,156,24,6,3,1,1
"종로구",교남동,4333,1625,1043,902,620,118,14,9,-,2,-
"종로구",가회동,1881,914,393,308,192,52,18,2,1,-,1
"종로구",종로1.2.3.4가동,4935,3953,492,271,160,44,11,3,-,1,-
"종로구",종로5.6가동,3549,2557,494,286,165,38,6,3,-,-,-
"종로구",이화동,4340,2857,764,387,254,54,16,5,1,2,-
"종로구",창신1동,2600,1530,552,305,152,49,8,4,-,-,-
"종로구",창신2동,3945,2016,966,524,328,81,25,3,2,-,-
"종로구",창신3동,2757,929,750,569,390,99,16,4,-,-,-
"종로구",숭인1동,2998,1496,706,441,271,60,22,2,-,-,-
"종로구",숭인2동,6942,5070,1035,479,287,57,12,2,-,-,-
"종로구",청운효자동,4993,1953,1159,948,696,175,41,13,5,3,-
"종로구",혜화동,9204,5774,1466,1005,712,171,52,12,6,2,4
"중구",소계,65338,35169,14337,8720,5363,1300,314,91,24,7,13
"중구",소공동,1257,754,245,152,87,9,6,3,-,-,1
"중구",회현동,2497,1524,434,295,173,50,13,6,1,1,-
"중구",명동,1370,958,206,106,73,18,3,3,-,1,2
"중구",필동,2752,1881,467,214,140,39,6,3,1,-,1
"중구",장충동,2850,1936,453,233,159,48,16,2,1,1,1
"중구",광희동,3978,2914,600,283,118,42,15,3,3,-,-
"중구",을지로동,2148,1504,411,150,65,15,3,-,-,-,-
"중구",신당5동,5427,2827,1268,730,462,107,21,8,3,1,-
"중구",황학동,7684,4629,1641,830,451,108,19,4,-,1,1
"중구",중림동,5980,2792,1319,1035,637,152,39,4,2,-,-
"중구",신당동,4726,3162,876,387,214,59,20,8,-,-,-
"중구",다산동,6797,3377,1625,971,649,130,28,12,3,-,2
"중구",약수동,7759,3218,2119,1410,768,178,46,14,3,-,3
"중구",청구동,6125,2570,1593,1051,695,170,36,7,-,2,1
"중구",동화동,3988,1123,1080,873,672,175,43,14,7,-,1
"용산구",소계,104057,51519,22948,15389,10687,2620,639,168,50,16,21
"용산구",후암동,8289,4287,1819,1178,746,190,42,21,2,1,3
"용산구",용산2가동,5004,2800,1196,565,331,89,18,5,-,-,-
"용산구",남영동,4832,3711,591,297,174,49,7,2,-,-,1
"용산구",원효로2동,6267,2611,1474,1120,814,182,42,15,4,2,3
"용산구",효창동,4729,1777,1205,864,678,147,42,10,1,4,1
"용산구",용문동,5288,2150,1347,989,618,148,28,3,3,-,2
"용산구",이촌1동,9104,1781,2280,2415,2029,451,108,28,7,3,2
"용산구",이촌2동,3580,1335,1023,670,421,100,24,7,-,-,-
"용산구",이태원1동,3444,1938,785,408,227,65,18,3,-,-,-
"용산구",이태원2동,4891,2740,1134,557,331,92,25,9,2,-,1
"용산구",서빙고동,5126,1670,1230,939,921,279,62,17,8,-,-
"용산구",보광동,4325,2466,976,529,268,62,19,4,1,-,-
"용산구",청파동,11199,7160,2074,1054,658,191,47,8,2,2,3
"용산구",원효로1동,9312,5272,1796,1200,816,175,38,6,5,1,3
"용산구",한강로동,11248,6074,2368,1537,996,193,59,11,9,-,1
"용산구",한남동,7419,3747,1650,1067,659,207,60,19,6,3,1
"성동구",소계,133102,59087,30753,23066,15941,3256,759,172,49,10,9
"성동구",왕십리2동,7416,3043,1787,1349,956,208,57,12,3,-,1
"성동구",마장동,10820,5314,2368,1630,1158,251,78,11,5,2,3
"성동구",사근동,8314,6291,973,528,409,89,15,9,-,-,-
"성동구",행당1동,6479,2840,1396,1177,841,178,33,9,3,2,-
"성동구",행당2동,9216,2459,2527,2193,1651,296,71,13,3,1,2
"성동구",응봉동,5941,1621,1491,1425,1134,217,40,8,4,1,-
"성동구",금호1가동,6467,2265,1674,1393,887,196,42,6,3,1,-
"성동구",금호4가동,6379,2346,1655,1356,817,153,39,11,2,-,-
"성동구",성수1가1동,7465,3332,1766,1251,896,170,41,6,3,-,-
"성동구",성수1가2동,5889,2757,1351,973,648,121,32,5,2,-,-
"성동구",성수2가1동,7578,3859,1749,1064,717,139,36,12,2,-,-
"성동구",성수2가3동,5161,2706,1088,669,531,131,30,5,1,-,-
"성동구",송정동,5344,2986,1152,653,432,95,21,5,-,-,-
